Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
1/11/2019,6.05,6.1,6,6.05,279.86,0,-,-,47849600,29539700,10026500,8283400,6.136155031,6.114785925,6.072080063,-0.009748611,50
4/11/2019,6.05,6.1,6,6.05,279.86,0,-,-,80312300,44294600,27106800,8910900,6.129527735,6.112245308,6.071860362,-0.015066544,45.45455596
5/11/2019,6,6.1,6,6.05,279.86,0,-,-,90134300,63527300,12456500,14150500,6.123410232,6.109804323,6.071642848,-0.019061318,40.00000636
6/11/2019,6.05,6.1,6,6.05,279.86,0,-,-,88550500,66482100,11764300,10304100,6.117763306,6.107459063,6.071427498,-0.021973903,35.71429545
7/11/2019,6,6.25,6,6.05,279.86,0,-,-,255126600,144037700,86720700,24368200,6.112550758,6.105205774,6.071214291,-0.024005429,14.28568834
8/11/2019,6.05,6.1,6,6.05,279.86,0,-,-,114912700,33621900,61035000,20255800,6.107739176,6.103040849,6.071003206,-0.025323513,18.7499702
11/11/2019,6.05,6.05,5.25,5.4,249.8,0,-,-,562102500,204324300,333576800,24201400,6.053297708,6.075470623,6.064326558,-0.077919473,14.28568834
12/11/2019,5.35,5.45,5.2,5.35,247.48,0,-,-,208687700,81178100,112794400,14715200,5.999197877,6.047020791,6.05721883,-0.122227782,4.999973774
13/11/2019,5.3,5.45,5.3,5.35,247.48,0,-,-,54453800,29024300,20282900,5146600,5.949259572,6.019686639,6.050181826,-0.15554936,6.249966472
14/11/2019,5.45,5.7,5.4,5.7,208.71,0,-,-,136396400,78795100,42980800,14620500,5.930085744,6.0071499,6.046697428,-0.151963147,34.78258706
15/11/2019,5.7,5.7,5.5,5.55,203.22,0,-,-,71151300,17699300,45723000,7729000,5.900848394,5.989222461,6.041755167,-0.159387443,30.76921948
18/11/2019,5.6,5.8,5.55,5.8,212.37,0,-,-,79275900,34584400,33162900,11528600,5.89309084,5.98180198,6.039349644,-0.143444799,40.00000636
19/11/2019,5.85,6.05,5.85,6.05,221.53,0,-,-,97253500,42747900,36589300,17916300,5.90516079,5.984476419,6.03945562,-0.109376404,50
20/11/2019,6,6.05,5.9,5.9,223.31,0,-,-,51237200,10871200,27031000,13335000,5.904763813,5.981163622,6.038068003,-0.093404007,45.94594316
21/11/2019,5.85,6.05,5.85,6,227.1,0,-,-,47171500,20690900,19346800,7133800,5.912089674,5.981902304,6.037689217,-0.071848387,48.7179437
