Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,212,215,211,215,12.52,1.04,17.173,7,5038800,3276600,1406600,355600,208.8104867,207.2428431,205.6398852,2.124323083,77.77777778
24/1/2018,215,216,213,215,12.52,1.04,17.173,7,4809600,2881300,1332400,595900,209.2866031,207.5470454,205.7330207,2.299403063,77.77777778
25/1/2018,215,217,211,211,12.29,1.02,17.173,7,5658600,2287300,2702300,669000,209.4184029,207.6824554,205.7854284,2.091281645,61.9047619
26/1/2018,210,211,206,210,12.23,1.02,17.173,7,8469400,3210700,4418800,839900,209.4631411,207.7733395,205.8273645,1.824619205,57.14285714
29/1/2018,212,212,209,209,12.17,1.02,17.173,7,3898300,1601800,573200,1723300,209.4275149,207.8214438,205.858933,1.515130179,52.38095238
30/1/2018,210,210,207,207,12.05,1.01,17.173,7,5741100,1419000,3198400,1123700,209.240783,207.7892303,205.8702869,1.095842422,52.38095238
31/1/2018,207,209,206,207,12.05,1.01,17.173,7,3031900,1314600,1083900,633400,209.068415,207.7582801,205.8815278,0.754852386,47.36842105
1/2/2018,209,210,207,208,12.11,1.01,17.173,7,4652200,2211400,1874500,566300,208.9862293,207.7677593,205.9026071,0.558864723,47.36842105
2/2/2018,209,210,207,210,12.23,1.02,17.173,7,3207400,1433500,1199000,574900,209.0642116,207.8552982,205.9433772,0.558488466,44.44444444
5/2/2018,206,209,205,208,12.11,1.01,17.173,7,4487800,2037600,1523500,926700,208.9823492,207.8609728,205.9638411,0.392284978,40
6/2/2018,206,207,201,206,12,1,17.173,7,9105800,4383000,3806200,916600,208.7529377,207.7879934,205.9642009,0.098053926,33.33333333
7/2/2018,209,210,204,204,11.88,0.99,17.173,7,3735500,819300,1860100,1056100,208.3873271,207.6394447,205.9446566,-0.293130561,30.43478261
8/2/2018,204,207,204,206,12,1,17.173,7,2149700,788500,825200,536000,208.2036866,207.5751527,205.9452073,-0.436729455,37.5
9/2/2018,203,208,203,208,12.11,1.01,17.173,7,4265700,1974300,1333900,957500,208.1880184,207.5918134,205.965653,-0.384714578,44
