Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,21.2,21.2,21,21.1,32.18,5.55,0.639,6,15407900,8780600,3412500,3214800,21.01101895,21.00476019,21.00104599,0.017781222,52.94117647
24/1/2018,21,21.2,20.9,21.2,32.33,5.58,0.639,6,64678700,7717500,3506200,53455000,21.02555601,21.01241668,21.00302564,0.03016338,52.94117647
25/1/2018,21.2,21.2,20.9,21,32.03,5.53,0.639,6,16777100,6965300,8329200,1482600,21.02359016,21.01192975,21.00299553,0.023566281,52.94117647
26/1/2018,21,21.2,20.9,21.1,32.18,5.55,0.639,6,21466700,8582200,7400400,5484100,21.02946787,21.0153835,21.00396075,0.026106291,52.94117647
29/1/2018,21,21.5,21,21.4,32.64,5.63,0.639,6,35584400,23195900,9264700,3123800,21.05797031,21.03046649,21.00790144,0.051730383,59.99996185
30/1/2018,21.4,21.6,21.3,21.6,32.94,5.68,0.639,6,36593400,18197500,9987300,8408600,21.09966493,21.05280115,21.01379297,0.087171195,61.9047273
31/1/2018,21.5,21.7,21.4,21.6,32.94,5.68,0.639,6,45270900,26624900,11364300,7281700,21.13815228,21.07425994,21.01962588,0.11394481,64.99996662
1/2/2018,21.6,22.5,21.6,22.4,34.16,5.9,0.639,6,97739700,74587000,14672400,8480300,21.23521746,21.12624974,21.03336094,0.197440374,74.07401913
2/2/2018,22.3,22.5,21.9,22.2,33.86,5.84,0.639,6,46782300,19288000,20724700,6769600,21.30943156,21.16835762,21.0449693,0.24465277,76.92308257
5/2/2018,21.8,22,21.7,22,33.55,5.79,0.639,6,34412500,12558800,13086300,8767400,21.36255221,21.20097105,21.05447209,0.262899996,70.37035729
6/2/2018,21.5,21.9,21.4,21.8,33.25,5.74,0.639,6,55195500,15021400,29514200,10659900,21.39620198,21.22446235,21.06189027,0.258245768,67.85712339
7/2/2018,21.7,21.8,21.5,21.7,33.09,5.71,0.639,6,33566800,14634500,14570200,4362100,21.41957111,21.24311091,21.06823963,0.243679235,64.28572888
8/2/2018,21.8,22.1,21.6,21.7,33.09,5.71,0.639,6,38968800,12687300,18872900,7408600,21.44114263,21.26102816,21.07452581,0.229489738,60
9/2/2018,21.5,21.7,21.3,21.6,32.94,5.68,0.639,6,40560200,13010100,20279000,7271100,21.45336245,21.27432119,21.07975441,0.207780104,57.69229923
12/2/2018,21.6,22.3,21.6,22.3,34.01,5.87,0.639,6,29726300,18638300,6865000,4223000,21.51848836,21.31454386,21.09189615,0.244243632,68.74998882
13/2/2018,22.3,22.3,22,22.3,34.01,5.87,0.639,6,25264700,8443400,10851500,5969800,21.57860458,21.35318917,21.10391708,0.27002852,67.74191961
14/2/2018,22.3,22.4,21.9,22.1,33.7,5.82,0.639,6,21160300,4989100,12259800,3911400,21.61871195,21.38247588,21.11382836,0.271198782,67.74196129
15/2/2018,22.2,22.5,22.1,22.5,34.31,5.92,0.639,6,29072700,10433800,10483600,8155300,21.68650334,21.42630036,21.12762111,0.300933872,70.58825509
16/2/2018,22.5,22.7,22.3,22.7,34.62,5.97,0.639,6,25431000,13805500,8383700,3241800,21.76446468,21.47624939,21.14326668,0.336755625,69.69700297
19/2/2018,22.7,22.8,22.4,22.4,34.16,5.9,0.639,6,19580200,8220600,8561800,2797800,21.81335198,21.51247489,21.15577148,0.337051715,61.76470258
20/2/2018,22.5,22.6,22.1,22.3,34.01,5.87,0.639,6,11305200,2922100,7066700,1316400,21.85078639,21.5433582,21.16715683,0.325465411,59.9999891
21/2/2018,22.2,22.3,21.9,22.1,33.7,5.82,0.639,6,16974100,4497400,7248000,5228700,21.86995669,21.5651873,21.17643886,0.29672449,44.82759528
22/2/2018,22.2,22.4,21.9,21.9,33.4,5.76,0.639,6,24359800,9829300,11597800,2932700,21.87226769,21.5783172,21.18363847,0.254870722,44.8275658
23/2/2018,21.9,22.5,21.9,22.5,34.31,5.92,0.639,6,20581600,11363100,6394100,2824400,21.92055479,21.61446162,21.19673659,0.267038077,57.57575933
26/2/2018,22.6,22.6,22.3,22.6,34.47,5.95,0.639,6,10039900,3812400,3123300,3104200,21.97281983,21.6531102,21.21069942,0.281504975,62.50002235
27/2/2018,22.6,22.6,22.1,22.2,33.86,5.84,0.639,6,31056000,9442800,16659500,4953700,21.99029529,21.67455689,21.22054321,0.257722603,57.14285714
28/2/2018,22.1,22.4,22.1,22.1,33.7,5.82,0.639,6,21731400,6116300,8410700,7204400,21.99873414,21.69124095,21.22929403,0.228175443,55.55554967
2/3/2018,22,22.6,21.9,22.6,34.27,5.55,0.643,6,32049100,15231100,9735800,7082200,22.04498539,21.72687857,21.2429329,0.242311708,62.5
5/3/2018,22.6,22.6,22.3,22.5,34.12,5.53,0.643,6,15920800,5201200,6920200,3799400,22.07998652,21.75719706,21.25544103,0.242648504,52.94118637
6/3/2018,22.4,22.5,22.1,22.2,33.66,5.45,0.643,6,16086400,5404700,6723100,3958600,22.08921838,21.77456191,21.26483963,0.216215588,48.64866955
7/3/2018,22.3,22.4,22.1,22.4,33.97,5.5,0.643,6,14122500,7537800,4536100,2048600,22.11312463,21.79908888,21.27613476,0.208996367,54.05404291
8/3/2018,22.6,23.2,22.5,23.1,35.03,5.67,0.643,6,75361100,44574600,23618800,7167700,22.18903815,21.85010502,21.29428267,0.256799074,57.50000119
9/3/2018,23.2,23.2,22.8,23.1,35.03,5.67,0.643,6,32956500,12044800,16224800,4686900,22.25911217,21.89912052,21.31225001,0.291324852,55.26315129
12/3/2018,23.1,23.1,22.7,22.9,34.73,5.62,0.643,6,24361700,8602700,11066400,4692600,22.3084112,21.93837068,21.32804852,0.299100545,56.75675536
13/3/2018,23,23.1,22.8,23,34.88,5.65,0.643,6,23049800,10324700,9347400,3377700,22.36161034,21.98000321,21.34468485,0.309761298,59.45946782
