Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,7.75,7.8,7.7,7.75,40.07,3.92,0.193,6,36649900,16441000,10618300,9590600,7.754994967,7.753791531,7.751333615,0.000380685,50
24/1/2018,7.75,7.75,7.65,7.7,39.81,3.89,0.193,6,52686000,22123700,23140800,7421500,7.75076457,7.751682052,7.750822831,-0.004061367,50
25/1/2018,7.7,7.75,7.65,7.7,39.81,3.89,0.193,6,68986300,33655300,27530000,7801000,7.746859589,7.749655297,7.750317129,-0.007495324,37.50000745
26/1/2018,7.7,7.75,7.6,7.6,39.29,3.84,0.193,6,35650300,6479900,20402700,8767700,7.73556269,7.743786458,7.748821435,-0.01807753,37.50000745
29/1/2018,7.65,7.75,7.6,7.75,40.07,3.92,0.193,6,34604800,19903000,5015500,9686300,7.736673252,7.744030127,7.748833162,-0.0141966,44.44446211
30/1/2018,7.75,7.75,7.65,7.65,39.55,3.87,0.193,6,15492400,3082000,6581200,5829200,7.730006086,7.740342674,7.747849749,-0.018971402,47.05884663
31/1/2018,7.65,7.8,7.6,7.75,40.07,3.92,0.193,6,57802800,41883300,8963900,6955600,7.73154408,7.740721393,7.747871144,-0.014518944,50
1/2/2018,7.8,7.85,7.7,7.8,40.33,3.94,0.193,6,33012500,14215800,15088700,3708000,7.736809934,7.743046052,7.748389841,-0.006876475,55.55556733
2/2/2018,7.75,7.8,7.65,7.65,39.55,3.87,0.193,6,24162100,7486700,12983800,3691600,7.730132254,7.739397191,7.747410839,-0.01277624,47.61906492
5/2/2018,7.65,7.7,7.6,7.6,39.29,3.84,0.193,6,42716100,10045100,14828900,17842100,7.720122074,7.733930631,7.745944063,-0.021241584,40
6/2/2018,7.5,7.55,7.35,7.55,39.03,3.82,0.193,6,102163800,35568900,48978900,17616000,7.707035775,7.726717672,7.743994373,-0.031620488,42.10528958
7/2/2018,7.6,7.6,7.4,7.4,38.26,3.74,0.193,6,51684600,12476800,23961900,15245900,7.683417646,7.713905218,7.740571544,-0.05135758,33.33334847
8/2/2018,7.45,7.55,7.4,7.5,38.77,3.79,0.193,6,43718000,21333800,18003400,4380800,7.669308596,7.705516778,7.738177798,-0.058258642,39.13044019
9/2/2018,7.4,7.5,7.4,7.45,38.52,3.77,0.193,6,37196900,20930400,5457400,10809100,7.652438689,7.695496505,7.735310355,-0.06699016,34.78259968
12/2/2018,7.5,7.55,7.45,7.5,38.77,3.79,0.193,6,19808500,12843200,3759700,3205600,7.640712636,7.687829975,7.732968958,-0.069079053,39.13044019
13/2/2018,7.5,7.55,7.4,7.4,38.26,3.74,0.193,6,31252500,5369700,9845800,16037000,7.622196287,7.676542529,7.729655835,-0.077905624,37.5000149
14/2/2018,7.45,7.5,7.4,7.4,38.26,3.74,0.193,6,30899200,13931700,10199400,6768100,7.605104272,7.665697728,7.726375679,-0.083933216,37.5000149
15/2/2018,7.45,7.5,7.4,7.5,38.77,3.79,0.193,6,19191200,10857400,4161700,4172100,7.597019328,7.659199778,7.724123184,-0.079721984,45.8333383
16/2/2018,7.5,7.55,7.45,7.55,39.03,3.82,0.193,6,12713900,5242400,4629300,2842200,7.593402472,7.654917441,7.722390617,-0.071525454,40.90910273
19/2/2018,7.55,7.55,7.4,7.45,38.52,3.77,0.193,6,100930400,5142500,11202800,84585100,7.582371498,7.646881455,7.719680261,-0.072265805,40.909085
20/2/2018,7.5,7.5,7.4,7.4,38.26,3.74,0.193,6,14812900,4845300,6290600,3677000,7.568342928,7.637199833,7.716499364,-0.076010891,33.33334847
21/2/2018,7.45,7.45,7.3,7.4,38.26,3.74,0.193,6,34273100,7953200,19562900,6757000,7.555393479,7.627897883,7.713350117,-0.078078854,30.00000477
22/2/2018,7.35,7.4,7.2,7.3,37.74,3.69,0.193,6,51046200,17553000,28166800,5326400,7.535747842,7.61503915,7.709237183,-0.086786466,31.57895794
23/2/2018,7.25,7.4,7.25,7.35,38,3.72,0.193,6,28310700,18071600,6260900,3978200,7.521459539,7.604645454,7.705662683,-0.088631068,36.84210262
26/2/2018,7.35,7.4,7.3,7.35,38,3.72,0.193,6,11946800,2766600,4935800,4244400,7.508270336,7.594659354,7.702123749,-0.089066229,38.88887417
27/2/2018,7.45,7.5,7.35,7.4,38.26,3.74,0.193,6,28399700,8865700,14198700,5335300,7.499941856,7.587025658,7.699117544,-0.084403548,50
28/2/2018,7.45,7.45,7.25,7.3,35.73,3.69,0.193,6,36022900,9090000,18615000,8317900,7.484561728,7.575769757,7.695146227,-0.087765787,37.5000149
