Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,197.5,198.5,196.5,197.5,37.49,9.26,4.838,6,2084100,383600,357900,1342600,194.5887507,193.5544797,192.4509802,1.306816496,60
24/1/2018,198,200,197.5,198.5,37.68,9.3,4.838,6,1677600,600700,723800,353100,194.889616,193.7484217,192.5111695,1.423022553,58.49056604
25/1/2018,198.5,199,192.5,193,36.64,9.05,4.838,6,1775200,499000,1125700,150500,194.7442609,193.7190718,192.5160335,1.059103964,50.81967213
26/1/2018,193,195,192,193.5,36.73,9.07,4.838,6,1429600,611100,624500,194000,194.6485486,193.7104807,192.5258242,0.801799042,56.14035088
29/1/2018,196,198.5,194,197.5,37.49,9.26,4.838,6,2744300,1373100,993300,377900,194.867891,193.8590893,192.5753185,0.910157874,59.01639344
30/1/2018,197,198,196,196.5,37.3,9.21,4.838,6,1015000,421200,466700,127100,194.9934378,193.9626545,192.61437,0.904910146,42.55319149
31/1/2018,195.5,197,195,196,37.21,9.19,4.838,6,839500,340000,275900,223600,195.0708657,194.0425504,192.6480579,0.850600272,50
1/2/2018,197.5,204,196.5,204,38.73,9.56,4.838,6,4199100,2614300,1179200,405600,195.7577222,194.4330386,192.7610125,1.436532989,64.28571429
2/2/2018,205,207,200,202,38.35,9.47,4.838,6,2303400,840100,1113500,349800,196.2378974,194.7297822,192.8529427,1.719682177,62.06896552
5/2/2018,198,199.5,196,198.5,37.68,9.3,4.838,6,1251700,432700,517700,301300,196.4119053,194.8776338,192.9091324,1.642722912,52.45901639
6/2/2018,194,196.5,192,195,37.02,9.14,4.838,6,2108600,606100,1080400,422100,196.3032972,194.8824325,192.929937,1.284504424,50
7/2/2018,196,198,195.5,197,37.4,9.23,4.838,6,2369600,872100,701100,796400,196.3568897,194.9654744,192.9704352,1.148754845,50.76923077
8/2/2018,196,199.5,196,198,37.59,9.28,4.838,6,1660200,773200,513600,373400,196.4832828,195.0844754,193.0204806,1.109079194,51.51515152
9/2/2018,196.5,197,195,196,37.21,9.19,4.838,6,1669000,719900,662400,286700,196.4461072,195.1203783,193.0501275,0.905811044,48.57142857
12/2/2018,196.5,197,194.5,196.5,37.3,9.21,4.838,6,1964600,774900,1018700,171000,196.4502528,195.1744811,193.0844546,0.776118778,48.57142857
13/2/2018,197,201,197,199,37.78,9.33,4.838,6,3515500,1959200,1359400,196900,196.6463872,195.3245015,193.1433158,0.865093569,50.68493151
14/2/2018,201,202,199,199.5,37.87,9.35,4.838,6,2107500,934100,884900,288500,196.8658959,195.4882465,193.2065664,0.964830586,60.31746032
15/2/2018,201,201,198.5,201,38.16,9.42,4.838,6,744400,266200,358100,120100,197.1839039,195.7043937,193.284113,1.151635024,61.53846154
16/2/2018,201,206,200,206,39.11,9.65,4.838,6,1685700,1220100,267500,198100,197.8620651,196.108143,193.4106392,1.68372813,62.68656716
19/2/2018,205,208,201,204,38.73,9.56,4.838,6,2133500,1005000,953400,175100,198.334214,196.4176276,193.516006,1.921878248,60.86956522
20/2/2018,204,204,197,198,37.59,9.28,4.838,6,2077500,750500,1133800,193200,198.3085052,196.4796814,193.5606228,1.607928874,52.5
21/2/2018,198.5,201,198,198.5,37.68,9.3,4.838,6,1158300,494600,453100,210600,198.3232356,196.5589096,193.6097709,1.383519206,41.53846154
22/2/2018,199.5,203,198.5,201,38.16,9.42,4.838,6,2406500,915900,1242500,248100,198.5291405,196.73307,193.6833055,1.391363265,48.48484848
23/2/2018,202,207,201,207,38.32,9.21,4.838,6,2503500,1609200,666400,227900,199.1807451,197.1356947,193.8158099,1.860285382,61.97183099
26/2/2018,206,207,204,207,38.32,9.21,4.838,6,1466900,520100,725300,221500,199.7822262,197.5225302,193.9469959,2.206474671,68.75
27/2/2018,208,208,203,204,37.76,9.08,4.838,6,1569400,420800,778500,370100,200.1066704,197.7765486,194.0470258,2.213244346,60.60606061
28/2/2018,205,206,204,206,38.13,9.17,4.838,6,565700,115300,148100,302300,200.5600034,198.0990369,194.1659608,2.352870224,61.76470588
2/3/2018,206,210,206,208,38.5,9.26,4.962,6,1899200,796200,811700,291300,201.1323109,198.48731,194.303613,2.594994542,67.64705882
5/3/2018,207,209,204,207,38.32,9.21,4.962,6,2136000,1052000,848900,235100,201.5836716,198.8211409,194.4299452,2.675348415,65.2173913
6/3/2018,209,214,208,210,38.87,9.35,4.962,6,2360100,940100,1166700,253300,202.2310814,199.2595276,194.5848711,2.947131666,65.71428571
7/3/2018,210,212,207,211,39.06,9.39,4.962,6,1498400,769000,490100,239300,202.9056136,199.7199383,194.7482057,3.206253796,66.1971831
8/3/2018,212,220,211,217,40.17,9.66,4.962,6,3599200,2078600,1134000,386600,203.9897972,200.3975877,194.9696166,3.851363683,70
9/3/2018,218,218,212,215,39.8,9.57,4.962,6,2349300,1007500,1023300,318500,204.8367359,200.9702314,195.1689239,4.153357314,62.16216216
12/3/2018,216,217,213,215,39.8,9.57,4.962,6,869600,265600,349000,255000,205.6185254,201.5204184,195.366248,4.342630303,65.71428571
13/3/2018,213,216,213,214,39.61,9.52,4.962,6,752100,273100,319600,159400,206.2632542,202.0098137,195.5516585,4.361660362,76.66666667
14/3/2018,212,212,208,208,38.5,9.26,4.962,6,2241600,683800,1221500,336300,206.3968501,202.244723,195.6755226,3.848231942,63.38028169
15/3/2018,211,215,208,212,39.24,9.44,4.962,6,2215600,888300,1030000,297300,206.8278616,202.6272829,195.8379552,3.721207033,64.86486486
16/3/2018,211,214,208,209,38.68,9.3,4.962,6,1555100,468500,440800,645800,206.9949492,202.8771933,195.9689208,3.339962936,52.94117647
19/3/2018,209,211,207,207,38.32,9.21,4.962,6,1333200,356800,652400,324000,206.9953377,203.038872,196.0786828,2.843661003,50
20/3/2018,207,209,204,209,38.69,9.3,4.962,6,1791300,752100,531900,507300,207.1495425,203.2726418,196.2072531,2.581958224,57.14285714
21/3/2018,209,210,207,207,38.32,9.21,4.962,6,951400,368700,420400,162300,207.1380392,203.4188127,196.3146437,2.187952249,51.42857143
22/3/2018,208,209,206,207,38.32,9.21,4.962,6,491000,120200,241200,129600,207.1274208,203.5592514,196.4209656,1.85432418,48.48484848
23/3/2018,207,209,205,209,38.69,9.3,4.962,6,1022700,537500,292100,193100,207.2714654,203.7726141,196.5461301,1.731346927,52.94117647
26/3/2018,209,211,208,211,39.06,9.39,4.962,6,1421900,697400,433000,291500,207.5582757,204.056041,196.6899497,1.774810938,51.51515152
27/3/2018,213,213,209,211,39.06,9.39,4.962,6,1983900,885200,893900,204800,207.8230237,204.3283531,196.8323383,1.788638173,50
28/3/2018,210,210,206,207,38.32,9.21,4.962,6,1656000,767400,658200,230400,207.7597142,204.4331236,196.9335091,1.459999816,33.33333333
29/3/2018,206,210,206,207,38.32,9.21,4.962,6,1422600,436500,655900,330200,207.7012747,204.5337854,197.0336731,1.185881447,35.71428571
30/3/2018,209,213,207,213,39.43,9.48,4.962,6,2723400,751700,1638200,333500,208.1088689,204.8657938,197.1925421,1.436234504,47.05882353
2/4/2018,212,219,212,218,40.35,9.7,4.962,7,1369800,687400,550200,132200,208.8697252,205.3808607,197.3995814,2.014873115,55.26315789
3/4/2018,217,218,214,215,39.8,9.57,4.962,7,1535700,685400,679700,170600,209.3412848,205.7580819,197.57471,2.205944698,60
4/4/2018,215,218,209,210,38.87,9.35,4.962,7,1492000,405800,703400,382800,209.3919552,205.9244316,197.6983447,1.931645286,47.22222222
5/4/2018,210,214,209,213,39.43,9.48,4.962,7,1054800,514600,383700,156500,209.6694971,206.2019049,197.8506,1.934041528,55.55555556
9/4/2018,213,222,212,221,40.91,9.84,4.962,7,2242000,1429100,645000,167900,210.5410742,206.7822223,198.0809423,2.552055203,66.66666667
10/4/2018,222,223,220,221,40.91,9.84,4.962,7,1021700,525400,298000,198300,211.345607,207.3397822,198.3089926,3.007170702,65
11/4/2018,220,225,218,219,40.54,9.75,4.962,7,2225900,1127000,866400,232500,211.9344064,207.7970457,198.5148733,3.169928763,65
12/4/2018,219,222,216,218,40.35,9.7,4.962,7,1433700,717300,529200,187200,212.4009906,208.1971615,198.7087551,3.181549138,63.41463415
17/4/2018,218,219,216,216,39.98,9.61,4.962,7,875700,342500,296700,236500,212.6778374,208.5031552,198.8808073,2.994852291,58.53658537
18/4/2018,219,220,217,220,40.72,9.79,4.962,7,747900,338900,249900,159100,213.2410807,208.9540119,199.0909485,3.13353878,60.46511628
19/4/2018,222,222,212,214,39.61,9.52,4.962,7,2942600,1262500,1419400,260700,213.2994591,209.1518937,199.2392973,2.727853964,53.06122449
20/4/2018,215,217,213,217,40.17,9.66,4.962,7,962100,480900,276200,205000,213.5841161,209.4596626,199.4160207,2.618239319,60.41666667
23/4/2018,217,218,215,217,40.17,9.66,4.962,7,1014500,419400,502500,92600,213.8468764,209.7553621,199.5909857,2.502521414,60.41666667
24/4/2018,215,220,215,216,39.98,9.61,4.962,7,1488300,795800,553700,138800,214.0125013,210.0002499,199.7542595,2.303568396,53.48837209
25/4/2018,214,220,214,220,40.72,9.79,4.962,7,1706600,777700,735700,193200,214.4730781,210.3923969,199.9557096,2.440530351,52.38095238
26/4/2018,218,218,206,206,38.13,9.17,4.962,7,3423400,952500,2076500,394400,213.8213029,210.2201461,200.0158518,1.403215298,41.50943396
27/4/2018,202,202,195,195,35.43,8.15,4.962,7,6610900,3159600,2708600,742700,212.3735104,209.6232776,199.9659428,-0.302979861,37.28813559
