Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,8.2,8.25,8.1,8.15,49.13,2.34,0.149,3,58966500,5280000,44985400,8701100,8.298834384,8.302979214,8.301645341,-0.02039778,39.99994914
24/1/2018,8.15,8.2,8.15,8.15,49.13,2.34,0.149,3,11359000,2542100,4320100,4496800,8.287385556,8.296980014,8.300136429,-0.029171704,39.99994914
25/1/2018,8.2,8.2,8.05,8.05,48.53,2.31,0.149,3,69922200,14890300,49674100,5357800,8.269125143,8.287294531,8.297647511,-0.043690583,37.4999851
26/1/2018,8.05,8.1,8,8.05,48.53,2.31,0.149,3,40617700,12220000,24740400,3657300,8.252269377,8.277988871,8.295183358,-0.054567874,33.33329095
29/1/2018,8.1,8.1,8,8.1,48.83,2.33,0.149,3,32371000,12793900,13769100,5808000,8.240556378,8.27100893,8.293241239,-0.058479493,23.07691179
30/1/2018,8.1,8.1,8.05,8.05,48.53,2.31,0.149,3,10147100,2206000,2548600,5392500,8.225898209,8.262341921,8.29082093,-0.064866337,24.99996026
31/1/2018,8.05,8.1,8,8.05,48.53,2.31,0.149,3,31533100,12930800,13777300,4825000,8.212367593,8.254014794,8.288424704,-0.069131058,24.99996026
1/2/2018,8.05,8.05,7.95,7.95,47.93,2.28,0.149,3,61888100,21234900,35862700,4790500,8.192185455,8.242092638,8.285057292,-0.079661784,15.38466053
2/2/2018,8,8.1,7.95,8.05,48.53,2.31,0.149,3,33032800,17750500,12227200,3055100,8.181248127,8.2345596,8.282718416,-0.079027287,26.66673448
5/2/2018,8,8,7.95,8,48.23,2.3,0.149,3,16161200,7381400,4356900,4422900,8.167305964,8.225361185,8.279905297,-0.081618198,20.00005086
6/2/2018,7.85,7.9,7.75,7.85,47.32,2.25,0.149,3,58151400,22076600,26348600,9726200,8.142897805,8.210641135,8.275627631,-0.094683811,17.64710832
7/2/2018,7.9,7.95,7.9,7.9,47.62,2.27,0.149,3,29761300,12864100,7730100,9167100,8.124213366,8.198459133,8.271890044,-0.099852766,28.57148696
8/2/2018,7.9,7.9,7.8,7.9,47.62,2.27,0.149,3,29468600,13294100,11232300,4942200,8.106966191,8.186754857,8.268189646,-0.102764594,28.57148696
9/2/2018,7.8,7.85,7.75,7.85,47.32,2.25,0.149,3,36167800,13308500,16591600,6267700,8.087199554,8.17354878,8.264028555,-0.107863453,26.66671753
12/2/2018,7.85,8.05,7.85,8,48.23,2.3,0.149,3,30042900,14572100,10578500,4892300,8.080491896,8.166742946,8.261401405,-0.098663253,41.17650689
13/2/2018,8,8.05,7.9,7.9,47.62,2.27,0.149,3,16822200,7501400,3727600,5593200,8.066607911,8.156282442,8.257805372,-0.098307951,36.84214753
14/2/2018,7.95,8,7.95,8,48.23,2.3,0.181,3,12821400,793000,6178100,5850300,8.061484226,8.150153719,8.255240144,-0.088932063,47.36841577
15/2/2018,8.05,8.1,8,8,39.73,2.3,0.181,3,22042900,9054400,7150800,5837700,8.05675467,8.144265338,8.252700441,-0.08057281,47.36841577
16/2/2018,8.1,8.15,8.05,8.1,40.22,2.33,0.181,3,40343200,13995200,24218200,2129800,8.060081263,8.142529457,8.251181038,-0.065128091,50
19/2/2018,8.1,8.15,8.05,8.15,40.47,2.34,0.181,3,23345100,11348000,8524800,3472300,8.06699806,8.142822405,8.250174257,-0.048296784,54.99996662
20/2/2018,8.15,8.2,8.1,8.15,40.47,2.34,0.181,3,27566000,14269700,8988400,4307900,8.073382795,8.143103864,8.249177495,-0.034559472,54.99996662
21/2/2018,8.2,8.2,8,8.1,40.22,2.33,0.181,3,41712200,16009100,21858900,3844200,8.075430302,8.141413531,8.247693145,-0.027391324,57.89476854
22/2/2018,8.1,8.15,8.05,8.15,40.47,2.34,0.181,3,21221300,12173600,7273500,1774200,8.081166403,8.141750241,8.246721071,-0.017474558,55.55553201
