Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,82,84,82,83.25,63.16,12.04,1.318,4,6576400,3828000,2344800,403600,83.08557729,83.07130516,82.87407668,-0.290620683,51.31578947
24/1/2018,83.5,83.5,82,82.75,62.78,11.97,1.318,4,3641000,1579900,1720400,340700,83.05976365,83.05870496,82.87284209,-0.273080156,48.68421053
25/1/2018,83.25,84,82.5,82.5,62.59,11.93,1.318,4,5156100,2526800,2193100,436200,83.01670491,83.03679496,82.86913222,-0.276168573,39.39393939
26/1/2018,82.25,82.75,81.25,82.25,62.4,11.9,1.318,4,1961500,537300,1044700,379500,82.95772761,83.00594026,82.8629717,-0.295384072,28.07017544
29/1/2018,82.75,83,81.75,82.25,62.4,11.9,1.318,4,1751100,602000,836700,312400,82.90328702,82.97629554,82.85687248,-0.307072751,30.76923077
30/1/2018,82.25,82.5,81.5,82.25,62.4,11.9,1.318,4,1554100,743200,634000,176900,82.85303417,82.94781336,82.85083395,-0.312731143,28
31/1/2018,82,82.75,81.75,82.5,62.59,11.93,1.318,4,1155700,455900,461300,238500,82.8258777,82.93025206,82.84734306,-0.293657448,34.88372093
1/2/2018,82.5,82.5,81,81.25,61.64,11.75,1.318,4,2871600,609600,1519800,742200,82.70465634,82.86435982,82.8314491,-0.375082246,46.875
2/2/2018,81.25,81.5,80.25,80.25,60.89,11.61,1.318,4,2100300,599500,1008400,492400,82.51583662,82.7618359,82.80576304,-0.514374242,45.45454545
5/2/2018,78,79.25,77.5,77.5,58.8,11.21,1.318,4,8125000,2634700,3801600,1688700,82.13000303,82.5554894,82.75296938,-0.837017552,30.95238095
6/2/2018,75.25,76.5,73.75,76.5,58.04,11.07,1.318,4,8111800,4235600,2859700,1016500,81.69692588,82.31801923,82.69075078,-1.160034191,26.66666667
7/2/2018,77.5,77.5,75.5,75.75,57.47,10.96,1.318,4,5286400,1955900,2563700,766800,81.23947004,82.06044984,82.62168858,-1.459719202,26.08695652
8/2/2018,75.75,77.25,75.25,75.75,57.47,10.96,1.318,4,4284800,1597400,1513800,1173600,80.81720311,81.81298122,82.55331357,-1.677880174,19.04761905
9/2/2018,75,76.75,74.75,76,57.66,10.99,1.318,4,3073200,1578400,928900,565900,80.44664903,81.58502118,82.48810647,-1.809739851,22.5
12/2/2018,76.5,78,76.25,77.5,58.8,11.21,1.318,4,3316600,1852700,1109000,354900,80.21998372,81.42482427,82.43847357,-1.772766779,20.51282051
13/2/2018,77.5,78.25,76,76,57.66,10.99,1.318,4,2287900,675800,1075900,536200,79.89536959,81.21208606,82.37440916,-1.843254921,18.60465116
14/2/2018,76.25,76.75,75.75,76,57.66,10.99,1.318,4,1594700,540700,880700,173300,79.59572577,81.00769053,82.3109822,-1.87747492,19.04761905
15/2/2018,76.25,76.5,75.25,76.25,57.85,11.03,1.318,4,1795900,826300,724000,245600,79.33836225,80.82111443,82.25067392,-1.862946715,21.42857143
16/2/2018,76.5,77.25,76.25,77,58.42,11.14,1.318,4,1689100,833000,630500,225600,79.15848823,80.6712668,82.19842841,-1.770504996,26.66666667
19/2/2018,77,77.5,76,76,57.66,10.99,1.318,4,1769400,758200,721300,289900,78.9155276,80.48807987,82.1367525,-1.757674533,24.48979592
20/2/2018,77.25,77.25,75.25,75.25,57.09,10.88,1.318,4,3530400,1274800,752700,1502900,78.63356394,80.28266497,82.0682276,-1.787420756,21.56862745
21/2/2018,75.25,75.25,69.5,69.5,52.73,10.05,1.318,4,11260800,4126700,4838800,2295300,77.9309821,79.85981537,81.94317061,-2.249046194,15.94202899
22/2/2018,65,67.5,59.5,59.75,47.96,8.64,1.318,4,38224300,15168700,19835700,3219900,76.53244501,79.07119516,81.72234304,-3.362866166,10.57692308
23/2/2018,61,63.75,60,63.25,50.77,8.89,1.318,4,11457200,6021200,3994400,1441600,75.51071847,78.45075613,81.53853863,-3.917991602,23.36448598
26/2/2018,63.25,63.5,60.5,61.25,49.16,8.61,1.318,4,8831300,3027800,4434000,1369500,74.41374013,77.77621667,81.33666263,-4.46781362,22.52252252
27/2/2018,61.75,63.5,61.5,61.75,49.57,8.68,1.318,4,6374600,3208000,2437400,729200,73.43960627,77.14773759,81.14177046,-4.807784561,24.54545455
28/2/2018,62,66.75,61.75,66,52.98,9.28,1.318,4,11008500,6315400,4028600,664500,72.86732887,76.71057141,80.99110608,-4.680322655,34.64566929
2/3/2018,65.5,66,64.25,64.25,51.57,9.03,1.246,4,4156700,1454800,1804600,897300,72.20445742,76.22192155,80.82452791,-4.666723466,32.33082707
5/3/2018,64.5,65.5,62.5,63.75,51.17,8.96,1.246,4,2851500,888000,1496700,466800,71.55411454,75.73282659,80.65463211,-4.642772838,28.68217054
6/3/2018,64.5,65.5,63.5,64,51.37,9,1.246,4,3197500,1133900,1715600,348000,70.9730288,75.27271574,80.48891438,-4.551155989,30.64516129
7/3/2018,63.25,63.5,61,62,49.77,8.72,1.246,4,5826400,2078000,2921300,827100,70.28279582,74.75221708,80.30494508,-4.58705554,28.78787879
8/3/2018,62,63.25,61.5,61.5,49.37,8.65,1.246,4,3066100,1252400,907000,906700,69.60719614,74.2325223,80.1178312,-4.602793871,27.81954887
9/3/2018,62.5,62.5,60.5,61,48.96,8.57,1.246,4,1817700,379500,1071700,366500,68.94510413,73.71359985,79.92760402,-4.602557021,25.75757576
12/3/2018,61.5,62.25,61.25,62,49.77,8.72,1.246,4,2353500,702900,946500,704100,68.41086535,73.254243,79.7492199,-4.470148583,28.78787879
13/3/2018,62,64.5,61.75,64.5,51.77,9.07,1.246,4,3232200,1758900,941000,532300,68.11002955,72.91093935,79.59748637,-4.116037715,34.5323741
14/3/2018,64.25,66.5,64,65.25,52.38,9.17,1.246,4,5307700,3068700,1774500,464500,67.89002728,72.61051036,79.45472531,-3.731864952,42.85714286
15/3/2018,65.25,65.25,63.5,63.5,50.97,8.93,1.246,4,2765500,709000,1379400,677100,67.55233287,72.25323544,79.29597183,-3.52794766,58.62068966
16/3/2018,63.75,63.75,62.25,63,50.57,8.86,1.246,4,2509800,1007900,1186400,315500,67.20215342,71.89036346,79.13382285,-3.367864908,49.33333333
19/3/2018,62.75,63,62,62.25,49.97,8.75,1.246,4,1398600,503400,594700,300500,66.82121854,71.51230999,78.96582462,-3.263892781,52.85714286
20/3/2018,61.75,62.75,61.5,62.25,49.97,8.75,1.246,4,1418900,667900,521900,229100,66.46958635,71.14908215,78.799498,-3.145237779,51.47058824
21/3/2018,62.5,64,62.5,63,50.57,8.86,1.246,4,2007300,790000,1027700,189600,66.20269509,70.8295103,78.64228907,-2.956602232,38.88888889
22/3/2018,63.25,63.25,61.5,61.75,49.57,8.68,1.246,4,1492000,472800,719200,300000,65.86018008,70.47345107,78.47420659,-2.874832476,40.38461538
23/3/2018,61,62.5,61,62.5,50.17,8.79,1.246,4,1858900,804400,633700,420800,65.60170469,70.16076672,78.31525926,-2.718177169,45.28301887
26/3/2018,62,63,61.5,63,50.57,8.86,1.246,4,2437900,639600,537200,1261100,65.40157356,69.87995234,78.16286862,-2.524579112,46.2962963
27/3/2018,63.75,66,63.75,64.75,51.97,9.1,1.246,4,8050600,2815100,2868800,2366700,65.35145252,69.67877774,78.02940724,-2.204528451,60.37735849
28/3/2018,65,65.25,62.25,62.75,50.37,8.82,1.246,4,3063700,905500,1583600,574600,65.15134079,69.40706096,77.87737334,-2.088197836,54.23728814
29/3/2018,63.25,64.25,62,62,49.77,8.72,1.246,4,3709400,1530900,1436400,742100,64.90892996,69.11658798,77.71938952,-2.03308755,53.33333333
30/3/2018,62.5,64.25,62.25,63.75,51.17,8.96,1.246,4,3599100,1764300,1424500,410300,64.8197815,68.90613355,77.58039062,-1.827139747,55.55555556
2/4/2018,63.5,65,63.5,65,52.17,9.14,1.246,3,2503000,1373200,852000,277800,64.83364446,68.75295184,77.45521261,-1.545247426,51.72413793
3/4/2018,64.5,64.5,62.75,63,50.57,8.86,1.246,3,2365900,597100,1371300,397500,64.69259489,68.52734589,77.31137965,-1.466326121,42.85714286
4/4/2018,63.25,63.75,61.5,61.5,49.37,8.65,1.246,3,2253100,661000,1121000,471100,64.44701066,68.2517637,77.15405249,-1.50744104,43.5483871
5/4/2018,62,62.5,60.5,61.5,49.37,8.65,1.246,3,2501000,1175100,1091600,234300,64.22031754,67.98698865,76.99829077,-1.522474768,45
9/4/2018,61.75,62.25,61,61.5,49.37,8.65,1.246,3,1281400,578300,529600,173500,64.01106234,67.73259694,76.84407892,-1.516903191,47.36842105
10/4/2018,61.75,62.25,61.5,62.25,49.97,8.75,1.246,3,1723600,890800,686300,146500,63.87559601,67.51759314,76.69886421,-1.435422289,50
11/4/2018,62.5,63.25,61.5,61.5,49.37,8.65,1.246,3,1830500,494100,566200,770200,63.69285785,67.28160909,76.54763173,-1.415054946,45
12/4/2018,61.5,62.5,61.25,62,49.77,8.72,1.246,3,1410700,617600,584000,209100,63.56263802,67.07448717,76.40287917,-1.343085604,50.87719298
17/4/2018,62,62.75,61,61.25,49.16,8.61,1.246,3,1305400,439500,695500,170400,63.38474279,66.84607591,76.25210425,-1.331222609,45.61403509
18/4/2018,61.5,62,61.25,61.5,49.37,8.65,1.246,3,803600,306000,346700,150900,63.23976257,66.63642587,76.10531715,-1.286814591,44.64285714
19/4/2018,61.75,63,61.5,61.75,49.57,8.68,1.246,3,2616300,1187200,969100,460000,63.12516545,66.44480133,75.96247817,-1.217414411,38
20/4/2018,61.75,62.5,61,61,48.96,8.57,1.246,3,3255000,1776200,1064600,414200,62.96169119,66.23127971,75.81359779,-1.208996442,42.22222222
23/4/2018,61,61,56,56.25,45.15,7.91,1.246,3,11689500,4164700,6679900,844900,62.44540725,65.83985697,75.61893513,-1.567540808,31.14754098
24/4/2018,56.5,57,55,55.25,44.35,7.77,1.246,3,6399100,2345000,3457700,596400,61.89191438,65.42456846,75.41625915,-1.910360004,20.68965517
25/4/2018,55,56.75,54.25,56.5,45.35,7.94,1.246,3,4450000,2308100,1839900,302000,61.47715174,65.07458539,75.22803767,-2.057464957,20.68965517
26/4/2018,56.25,57,53.5,54,43.35,7.59,1.246,3,6343400,2636300,3142800,564300,60.90198622,64.64028792,75.01681342,-2.348701432,20
27/4/2018,54.25,54.75,53,53.25,42.74,7.49,1.246,3,2705900,1131200,1216100,358600,60.3133719,64.19360996,74.80022821,-2.609941388,21.05263158
30/4/2018,53.75,54.75,53.5,54,43.35,7.59,1.246,3,2100500,997800,690400,412300,59.8277279,63.79386055,74.59326076,-2.725044586,25
2/5/2018,54,55.25,54,54.75,43.95,7.7,1.246,3,2219400,1028700,749600,441100,59.43713345,63.43919935,74.39581538,-2.724341455,28.57142857
3/5/2018,54.75,57.75,54.5,57.75,46.36,8.12,1.246,3,7767100,4951900,2263000,552200,59.30735395,63.2160935,74.23018538,-2.453427703,37.5
4/5/2018,57.5,58.25,57.25,58,46.56,8.15,1.246,3,3541700,1531800,1636500,373400,59.20678826,63.01154081,74.068691,-2.193271029,40
7/5/2018,58,58,55.75,56.75,45.55,7.98,1.246,3,2381900,859200,1222700,300000,59.01780455,62.76599019,73.89636571,-2.064165134,35.61643836
8/5/2018,56.5,56.5,54.5,54.5,43.75,7.66,1.246,3,2370800,440200,1616400,314200,58.67028112,62.44183371,73.70336705,-2.118977721,32.91139241
9/5/2018,54.5,55.25,54,55,44.15,7.73,1.246,3,1979100,1105600,694000,179500,58.38795181,62.1499971,73.51726389,-2.097888122,33.75
10/5/2018,55.25,55.25,53.75,54,43.35,7.59,1.246,3,1800000,564100,944200,291700,58.05041705,61.83038937,73.32306226,-2.137229454,31.3253012
11/5/2018,54,55,54,55,44.15,7.73,1.246,3,1493300,667800,549700,275800,57.81576959,61.56253096,73.14074324,-2.063924464,35.71428571
14/5/2018,56,57,55.5,55.75,46.27,7.84,1.246,3,3766200,1543900,1744600,477700,57.65686423,61.33458857,72.96770101,-1.923142213,48.52941176
