Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,8.55,8.6,8.3,8.4,37.15,9.67,0.226,3,46570800,17950200,24114800,4505800,7.989615266,7.976207925,7.989046694,0.07882914,63.33332062
24/1/2018,8.4,8.5,8.35,8.45,37.37,9.73,0.226,3,17094800,6122200,9267600,1705000,8.025029462,7.994787998,7.993633292,0.103575201,74.07405314
25/1/2018,8.45,8.65,8.35,8.35,36.93,9.61,0.226,3,48337800,20865200,22911800,4560800,8.050027225,8.008717896,7.997179233,0.113805635,67.85715867
26/1/2018,8.35,8.55,8.15,8.5,37.59,9.78,0.226,3,36900200,17052200,17631400,2216600,8.084640515,8.027983861,8.002182425,0.132489783,75.86207237
29/1/2018,8.55,8.75,8.5,8.75,38.7,10.07,0.226,3,61545800,35169400,22663800,3712600,8.135822014,8.056298219,8.009623396,0.165561526,81.81819495
30/1/2018,8.7,8.75,8.6,8.7,38.47,10.01,0.226,3,33953000,14141000,12054200,7757800,8.179220306,8.081541419,8.016492813,0.185597075,81.81817131
31/1/2018,8.65,8.75,8.6,8.7,38.47,10.01,0.226,3,28135000,12373600,11044400,4717000,8.219280268,8.105794689,8.023293878,0.199179376,84.37499907
1/2/2018,8.75,8.75,8.6,8.65,38.25,9.96,0.226,3,13384200,3836200,7701800,1846200,8.252412526,8.127136059,8.029529756,0.20356231,81.24998696
2/2/2018,8.65,8.65,8.35,8.4,37.15,9.67,0.226,3,27967200,10179000,15197800,2590400,8.263765379,8.13783659,8.033216023,0.184733415,69.44443709
5/2/2018,8.2,8.4,8.15,8.25,36.48,9.5,0.226,3,20793400,6852200,9679600,4261600,8.262706504,8.142235156,8.035373077,0.155910426,64.10257037
6/2/2018,8.05,8.15,7.85,8.05,35.6,9.27,0.226,3,52683800,24313200,23280200,5090400,8.24634448,8.138618098,8.035518621,0.115597154,51.35135692
7/2/2018,8.2,8.35,8.15,8.3,36.71,9.55,0.226,3,33352000,11960800,17204800,4186400,8.250471842,8.144946808,8.038150278,0.102638355,56.09756324
8/2/2018,8.35,8.45,8.25,8.4,37.15,9.67,0.226,3,17375400,10217800,5786600,1371000,8.261973979,8.154948879,8.041750769,0.099292945,51.35133185
9/2/2018,8.25,8.4,8.25,8.3,36.71,9.55,0.226,3,30647200,16661400,11606800,2379000,8.264899072,8.160637165,8.044320415,0.087563191,44.44444444
12/2/2018,8.35,8.4,8.25,8.35,36.93,9.61,0.226,3,21044800,10270400,8640800,2133600,8.271445326,8.168063174,8.047362007,0.081363961,48.57144881
13/2/2018,8.4,8.4,8.25,8.25,36.48,9.5,0.226,3,15083200,7318200,5265400,2499600,8.269795686,8.171276383,8.049378305,0.067602551,44.44444444
14/2/2018,8.3,8.35,8.15,8.3,36.71,9.55,0.226,3,20154200,7978400,11329400,846400,8.272119109,8.176324375,8.051872055,0.060039039,48.57142234
15/2/2018,8.3,8.35,8.2,8.25,36.48,9.5,0.226,3,7290600,3105200,3022200,1163200,8.270417639,8.179213615,8.053843478,0.049440387,42.42424067
