Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,80.5,80.75,80,80.5,38.71,10.31,2.08,8,15935500,7412800,5912400,2610300,78.86387563,78.65394075,78.52916579,0.471203569,61.11111111
24/1/2018,80.5,80.5,80,80.25,38.59,10.28,2.08,8,10759800,5076100,3476600,2207100,78.97050058,78.71653131,78.54628852,0.510629527,59.45945946
25/1/2018,80.25,81,80,80,38.46,10.25,2.08,8,19633700,10640000,6785200,2208500,79.04969285,78.76686342,78.56075331,0.51575665,62.85714286
26/1/2018,80.25,80.25,79.5,80.25,38.59,10.28,2.08,8,17183900,8458100,6120200,2605600,79.14202417,78.82502563,78.57756174,0.533839078,74.19354839
29/1/2018,80.25,80.25,79.5,79.75,38.34,10.22,2.08,8,11068200,3600300,4971100,2496800,79.18879154,78.86129914,78.58922779,0.502036546,71.875
30/1/2018,79.5,80,79,79.5,38.22,10.19,2.08,8,15510700,5668200,7392400,2450100,79.21273065,78.88634623,78.5982902,0.451455799,64.28571429
31/1/2018,79.75,80,79.5,79.75,38.34,10.22,2.08,8,11590800,5659600,3213700,2717500,79.25405906,78.92021501,78.60975,0.426625232,60
1/2/2018,80.25,80.75,79.75,80,38.46,10.25,2.08,8,25858400,15455200,6929200,3474000,79.31143913,78.96255952,78.62358333,0.422252279,58.33333333
2/2/2018,80.25,80.25,79.25,79.75,38.34,10.22,2.08,8,12489300,4492000,5278500,2718800,79.34517459,78.99343954,78.63479146,0.394071164,63.63636364
5/2/2018,79,79.5,78.75,79.25,38.1,10.15,2.08,8,15084600,3198900,6879000,5006700,79.33785346,79.00350073,78.64091294,0.327615064,56.52173913
6/2/2018,77,79.25,77,78.5,37.74,10.06,2.08,8,33336800,14653200,14125000,4558600,79.2734032,78.9837556,78.63951082,0.211985753,35
7/2/2018,79,79.75,78.75,79.5,38.22,10.19,2.08,8,16196900,7928000,6520400,1748500,79.29083372,79.00400048,78.6480729,0.198749277,50
8/2/2018,79.75,80,79.25,79.25,38.1,10.15,2.08,8,15855700,8701800,4866500,2287400,79.28769266,79.01364752,78.65406222,0.166170849,40
9/2/2018,78.5,79,78.25,78.5,37.74,10.06,2.08,8,22929600,6848500,12059900,4021200,79.22710092,78.99350448,78.65252927,0.078923695,31.81818182
12/2/2018,78.5,78.75,78.25,78.5,37.74,10.06,2.08,8,14449100,4629200,7974000,1845900,79.17117008,78.97415136,78.65101156,0.009668247,31.81818182
13/2/2018,78.5,79.25,78.5,79,37.98,10.12,2.08,8,14069900,5729500,6434900,1905500,79.15800315,78.97516504,78.65448408,-0.004815859,39.13043478
14/2/2018,79.5,80,79,79.5,38.22,10.19,2.08,8,13203400,4858600,6757900,1586900,79.1843106,78.9957468,78.66289718,0.023777117,45.83333333
15/2/2018,79.75,80.5,79.75,80.25,38.59,10.28,2.08,8,12974400,6748200,4105600,2120600,79.26628671,79.0449332,78.67868924,0.105737116,50
16/2/2018,80.5,81.25,80,81.25,39.07,10.41,2.08,8,8154600,3878800,1295000,2980800,79.41888004,79.13140641,78.70427443,0.248517889,60.71428571
19/2/2018,83,85.75,83,83.75,40.27,10.73,2.08,8,44799300,22116100,19964300,2718900,79.75204311,79.31252773,78.75448065,0.556981254,72.97297297
