Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,7.65,7.75,7.65,7.7,18.71,3.07,0.412,6,11668000,5510000,3287000,2871000,7.563201504,7.509930875,7.450188289,0.063447619,62.79069355
24/1/2018,7.7,7.7,7.65,7.65,18.59,3.05,0.412,6,8178000,3967000,2254000,1957000,7.569878318,7.515423786,7.452176466,0.060873992,57.14287012
25/1/2018,7.65,7.73,7.65,7.68,18.65,3.06,0.412,6,9456000,5050000,3363000,1043000,7.577964616,7.521681684,7.454393618,0.060158206,56.09756892
26/1/2018,7.65,7.68,7.58,7.6,18.47,3.03,0.412,6,24143000,10955000,6790000,6398000,7.579659639,7.524752987,7.455842437,0.052928913,47.49998808
29/1/2018,7.6,7.7,7.6,7.65,18.59,3.05,0.412,6,18359000,10382000,5607000,2370000,7.585070443,7.529664638,7.457774354,0.050650377,46.15385368
30/1/2018,7.65,7.75,7.58,7.75,18.83,3.09,0.412,6,8855000,3679000,3061000,2115000,7.597757332,7.538305241,7.460682071,0.056265188,64.70589225
31/1/2018,7.73,7.75,7.65,7.7,18.71,3.07,0.412,6,9078000,3217000,2357000,3504000,7.605622138,7.544646204,7.463063342,0.056034438,54.83869975
1/2/2018,7.7,7.7,7.4,7.4,17.98,2.95,0.412,6,21057000,5824000,11948000,3285000,7.589805058,7.538973808,7.462435847,0.031283481,43.58973983
2/2/2018,7.4,7.4,7.25,7.25,17.62,2.89,0.412,6,9051000,2222000,5135000,1694000,7.563666207,7.527641501,7.460322058,-0.000430621,38.63635773
5/2/2018,7.3,7.35,7.28,7.3,17.74,2.91,0.412,6,12960000,6035000,4010000,2915000,7.543384206,7.518714391,7.458726815,-0.021284325,34.14634487
6/2/2018,7.28,7.28,7.13,7.2,17.5,2.87,0.412,6,9003000,4128000,2771000,2104000,7.516970021,7.50621578,7.456152417,-0.045357379,27.90695508
7/2/2018,7.3,7.3,7.2,7.2,17.5,2.87,0.412,6,16282000,2154000,2781000,11347000,7.492587697,7.494207311,7.453603635,-0.063701141,26.19048052
8/2/2018,7.2,7.25,7.18,7.18,17.43,2.86,0.412,6,18606000,4651000,3997000,9958000,7.468157889,7.481689384,7.450831462,-0.079341367,25.58140876
9/2/2018,7.2,7.28,7.13,7.15,17.37,2.85,0.412,6,7318000,2847000,2887000,1584000,7.443684213,7.468681961,7.447838115,-0.09268524,26.19048052
12/2/2018,7.15,7.28,7.15,7.15,17.37,2.85,0.412,6,5084000,1660000,2279000,1145000,7.421093127,7.456184633,7.444874552,-0.102083599,22.50002742
13/2/2018,7.2,7.33,7.2,7.25,17.62,2.89,0.412,6,7072000,3098000,2664000,1310000,7.407932117,7.448098961,7.442935502,-0.100306439,30.95238852
14/2/2018,7.25,7.28,7.18,7.23,17.56,2.88,0.412,6,5059000,1744000,2014000,1301000,7.393860408,7.439349979,7.440766989,-0.099765294,28.57142857
15/2/2018,7.23,7.25,7.18,7.2,17.5,2.87,0.412,6,1635000,728000,647000,260000,7.378948055,7.429963698,7.438371295,-0.100198703,30.00000477
16/2/2018,7.23,7.25,7.13,7.18,17.43,2.86,0.412,6,5822000,1996000,2925000,901000,7.363259757,7.419965129,7.435750687,-0.101390674,25.64102815
19/2/2018,7.18,7.2,7.15,7.2,17.5,2.87,0.412,6,3855000,2042000,1514000,299000,7.3507013,7.411339038,7.433404907,-0.099174834,19.4444209
20/2/2018,7.18,7.25,7.13,7.13,17.31,2.84,0.412,6,5808000,1728000,3299000,781000,7.333339661,7.400110056,7.430336202,-0.102291471,18.91890359
21/2/2018,7.13,7.15,6.83,6.83,16.58,2.72,0.412,6,13888000,3327000,8015000,2546000,7.294236596,7.377556713,7.424312954,-0.127499204,18.91889384
22/2/2018,6.9,6.9,6.8,6.85,16.64,2.73,0.412,6,12090000,2574000,3123000,6393000,7.260064543,7.356868211,7.418598396,-0.143801561,24.9999851
23/2/2018,6.85,6.93,6.8,6.8,16.52,2.71,0.412,6,11624000,3494000,2504000,5626000,7.224674977,7.335030249,7.41244319,-0.158923879,18.7499702
26/2/2018,6.8,6.83,6.45,6.53,15.86,2.6,0.412,6,19948000,7905000,10011000,2032000,7.170853832,7.303264361,7.403612911,-0.190898081,15.38459281
27/2/2018,6.6,6.7,6.58,6.68,16.89,2.66,0.412,6,21391000,10115000,7794000,3482000,7.132711245,7.27862655,7.396363033,-0.201807797,26.66666384
28/2/2018,6.75,6.95,6.75,6.8,17.2,2.71,0.412,6,31427000,15862000,6449000,9116000,7.107118087,7.259856889,7.390429074,-0.198083982,34.6938704
2/3/2018,6.88,7.03,6.75,6.95,17.58,2.67,0.395,6,24425000,12243000,8830000,3352000,7.095032065,7.247705631,7.386046694,-0.180943314,42.59257624
