Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,70,70,67.75,68.5,68.1,18.55,1.006,8,23159700,6553600,14047600,2558500,60.53180075,57.31146503,54.04457693,4.34675475,81.81818182
24/1/2018,68.25,69.25,67.25,68,67.6,18.41,1.006,8,22272500,10083800,10448800,1739900,61.10627761,57.73062327,54.18343686,4.290547927,81
25/1/2018,68.25,68.5,66,66,65.61,17.87,1.006,8,22924800,7031700,13010800,2882300,61.4827178,58.05491255,54.3010146,4.03807195,74.03846154
26/1/2018,66,67.25,65.25,67.25,66.85,18.21,1.006,8,20668300,11280500,7589000,1798800,61.92635489,58.41550422,54.42986023,3.893960322,74.28571429
29/1/2018,67.5,68.5,67.25,67.5,67.1,18.28,1.006,8,10962400,6093300,3413600,1455500,62.35509682,58.77175895,54.55991137,3.756619755,77.45098039
30/1/2018,67.5,67.5,66,67.25,66.85,18.21,1.006,8,11268900,5007600,4775000,1486300,62.73162783,59.10423899,54.68618091,3.586263245,77.45098039
31/1/2018,67.25,68.75,67,67.75,67.35,18.35,1.006,8,14850300,7553200,5692900,1604200,63.11765646,59.44328844,54.81616916,3.451809988,63.49206349
1/2/2018,68.25,68.25,66.25,66.25,65.86,17.94,1.006,8,14949400,4178300,8334100,2437000,63.35860597,59.71021831,54.92993862,3.187474131,53.96825397
2/2/2018,66.5,67,64.75,65,64.62,17.6,1.006,8,20334200,4969700,13613900,1750600,63.48486705,59.91766073,55.03013824,2.844333798,35.8490566
5/2/2018,63.5,65,63.25,64.5,64.12,17.47,1.006,8,13788000,6555600,4581200,2651200,63.5629542,60.09736031,55.12436572,2.503191556,39.58333333
6/2/2018,63,64.75,61.5,64.25,63.87,17.4,1.006,8,41376400,16447600,18102100,6826700,63.61580387,60.26020892,55.21516805,2.187445451,34.7826087
7/2/2018,65.25,67.25,65,66.25,65.86,17.94,1.006,8,34911000,16753200,15514600,2643200,63.81843434,60.49510269,55.32496737,2.074682031,45.28301887
8/2/2018,66.5,67.25,65.5,66.5,66.11,18.01,1.006,8,15120100,7209100,5972800,1938200,64.02470863,60.73058886,55.43616173,1.982634542,39.58333333
9/2/2018,65.5,68.25,65,68,67.6,18.41,1.006,8,35021500,18677900,13041500,3302100,64.33050027,61.01566381,55.56117504,2.007581557,44.23076923
12/2/2018,68.25,69.25,68,69,68.59,18.69,1.006,8,23541900,13612800,6789000,3140100,64.68969256,61.32877503,55.69489469,2.084020596,51.92307692
13/2/2018,69.25,69.5,67.25,67.25,66.85,18.21,1.006,8,22439300,7958800,11837400,2643100,64.88663928,61.56097993,55.80987086,1.980558071,47.36842105
14/2/2018,67.5,68.25,67.25,67.25,66.85,18.21,1.006,8,13208100,3648800,4815100,4744200,65.06843626,61.78407876,55.923703,1.876927225,55.10204082
15/2/2018,68,68.25,67.25,68,67.6,18.41,1.006,8,6079300,2375000,2383600,1320700,65.29394116,62.02784037,56.04386515,1.834174543,53.19148936
16/2/2018,68.25,68.25,67.5,67.75,67.35,18.35,1.006,8,4112000,1480900,1950800,680300,65.48286877,62.25223879,56.16034411,1.759833558,51.06382979
19/2/2018,68,68,66.5,66.75,66.36,18.08,1.006,8,14425300,6134600,6753400,1537300,65.5803404,62.42862158,56.26571382,1.601762033,48
20/2/2018,67,68,66.75,67,66.61,18.14,1.006,8,8302300,3414500,4033700,854100,65.68954498,62.60789133,56.37252264,1.479606143,46.93877551
21/2/2018,67.5,67.5,66,66.5,66.11,18.01,1.006,8,11649100,2120100,4810600,4718400,65.75188768,62.76052304,56.47329356,1.327152313,51.11111111
22/2/2018,66.5,66.5,64.25,64.25,63.87,17.4,1.006,8,16760000,5456700,9657600,1645700,65.63635786,62.8189339,56.55067372,1.013097007,46.93877551
23/2/2018,64.75,67,64.75,66.75,66.36,18.08,1.006,8,12187100,7389100,3223200,1574800,65.72202264,62.97309335,56.65215955,0.954927214,57.89473684
26/2/2018,67.25,68,66.75,68,67.6,18.41,1.006,8,14313700,8326600,4237400,1749700,65.89725167,63.17022695,56.76507339,0.998185328,62.29508197
27/2/2018,68.25,69.25,67,67.5,67.1,18.28,1.006,8,29228400,16585800,10294000,2348600,66.02054,63.34002197,56.87188858,0.980815642,54.54545455
28/2/2018,67.75,68.5,67.25,67.25,66.85,18.21,1.006,8,11532100,4829000,3685800,3017300,66.11511384,63.49335444,56.97515337,0.936086507,52.72727273
2/3/2018,65.5,66.25,63.25,63.25,61.8,17.13,1.023,8,33007300,10290300,18767500,3949500,65.89472047,63.48381113,57.03758965,0.571286342,35.38461538
5/3/2018,63.25,64,58.75,59.75,58.38,15.19,1.023,8,52862000,21442200,28263300,3156500,65.42204967,63.33738716,57.06457881,-0.000238418,25.33333333
6/3/2018,60.25,60.25,49.75,50.25,49.1,12.78,1.023,8,127336200,47791200,72726600,6818400,64.25496892,62.8241563,56.99677206,-1.205846269,17.9245283
7/3/2018,50.75,52.5,49.25,50.75,49.59,12.91,1.023,8,124889400,61594600,56126200,7168600,63.21612516,62.35065997,56.93461512,-2.096782946,19.44444444
8/3/2018,51.5,52.25,49.5,49.5,48.37,12.59,1.023,8,71676400,33825200,33288800,4562400,62.16103861,61.84671252,56.86063885,-2.870630394,16.36363636
9/3/2018,50.5,50.5,41.5,45.5,44.46,11.57,1.023,8,202239900,90780800,103460400,7998700,60.87942025,61.20566497,56.74759767,-3.763295713,14.4
12/3/2018,46.75,47,42.5,42.5,41.53,10.81,1.023,8,74567800,30525800,36807000,7235000,59.4656187,60.47210948,56.60583053,-4.659107051,13.53383459
13/3/2018,42.75,48.75,42.75,48,46.9,12.21,1.023,8,90154000,54626300,29017900,6509800,58.58364803,59.98300715,56.52020037,-4.869111866,25.32467532
14/3/2018,47.5,50.5,47.25,49,47.88,12.46,1.023,8,71422500,38582800,27771500,5068200,57.84644433,59.55230099,56.44537251,-4.898385018,27.56410256
15/3/2018,49.25,50,47.75,48,46.9,12.21,1.023,8,37373500,16880100,16049700,4443700,57.08902554,59.09926957,56.36133895,-4.945269852,28.47682119
16/3/2018,48.25,48.5,45,45.75,44.7,11.63,1.023,8,35147400,10189500,18486200,6471700,56.2167928,58.57576881,56.25575349,-5.105133812,22
19/3/2018,46,49.25,46,48.25,47.14,12.27,1.023,8,44132800,21965500,19546000,2621300,55.60396259,58.1708367,56.17609425,-4.972774991,24.51612903
20/3/2018,49,49.5,47,47.5,46.41,12.08,1.023,8,42785300,18970200,18734700,5080400,54.98058085,57.75237251,56.08976495,-4.872234319,24.35897436
21/3/2018,47.5,48,46.75,47.25,46.17,12.02,1.023,8,16523500,6754500,7424000,2345000,54.38592079,57.34051477,56.00180709,-4.75788212,24.35897436
22/3/2018,47.75,48.75,47,47,45.92,11.95,1.023,8,18716100,8591100,7614200,2510800,53.81777303,56.93500438,55.91223687,-4.634012082,26.95035461
23/3/2018,46,47.5,46,46.5,45.43,11.83,1.023,8,21882400,10813800,8345600,2723000,53.25486742,56.52578853,55.81858278,-4.524039692,29.45736434
26/3/2018,46.75,47,46,46.5,45.43,11.83,1.023,8,11948600,4304800,4922600,2721200,52.73526223,56.13262035,55.72586056,-4.38632298,41.75824176
27/3/2018,46.75,48.5,46.75,47.75,46.66,12.14,1.023,8,35323100,16311400,15869500,3142200,52.35178052,55.80389014,55.64649876,-4.128723585,43.61702128
28/3/2018,48.25,48.25,44.5,44.75,43.72,11.38,1.023,8,40221700,13528400,21983500,4709800,51.76702817,55.37040425,55.53807589,-4.119165955,40.59405941
29/3/2018,45.5,46,42.75,43.75,42.75,11.13,1.023,8,46599500,14317700,26272200,6009600,51.1503337,54.91470212,55.4207816,-4.144507802,46.06741573
30/3/2018,44.25,44.5,42,43.75,42.75,11.13,1.023,8,33822300,14593000,15246100,3983200,50.58107726,54.47687067,55.30465442,-4.117131666,53.24675325
2/4/2018,43.5,43.75,39,39,38.11,9.92,1.023,8,63180800,21489100,35585900,6105800,49.69022516,53.86993456,55.14241905,-4.427681627,25.67567568
3/4/2018,38.75,39,34,34,33.22,8.65,1.023,8,111986100,34856100,64451000,12679000,48.48328476,53.09072144,54.93204673,-5.019392489,16.66666667
4/4/2018,33,35.75,32,32.75,32,8.33,1.023,8,130865600,61001700,60576300,9287600,47.27303209,52.29304609,54.71132984,-5.525497666,16.48351648
5/4/2018,33.75,35.5,32.75,35.25,34.44,8.96,1.023,8,64259800,33656200,22864300,7739300,46.34818347,51.62469134,54.51768477,-5.659619982,27.17391304
9/4/2018,35,35.25,30.25,30.75,30.05,7.82,1.023,8,86108900,32618200,47111100,6379600,45.1483232,50.806076,54.28119039,-6.059178834,15
10/4/2018,31.75,36,30.75,36,35.18,9.15,1.023,8,90929700,46135100,36200800,8593800,44.44460603,50.22544557,54.099288,-5.884369629,30.50847458
11/4/2018,36,36.5,32.25,33,32.24,8.39,1.023,8,77362400,33216400,38022500,6123500,43.56425172,49.5499379,53.88934484,-5.919668746,27.90697674
12/4/2018,33,35.25,32.25,34.25,33.47,8.71,1.023,8,66672200,34738000,26940200,4994000,42.84777082,48.94994033,53.69392847,-5.780149037,30.82706767
17/4/2018,34.25,35,32.75,33,32.24,8.39,1.023,8,48041700,22238800,21540600,4262300,42.09024999,48.32445248,53.48801874,-5.704683179,30.14705882
18/4/2018,34,35,33.5,34.75,33.95,8.84,1.023,8,48917300,23223000,18563000,7131300,41.52561537,47.79212101,53.30157079,-5.440945733,33.56643357
19/4/2018,35,37.75,34.75,37,36.15,9.41,1.023,8,88159100,50931900,31702900,5524300,41.17749111,47.36890057,53.1393661,-4.992821572,35.37414966
20/4/2018,37,37.5,36,36.75,35.91,9.35,1.023,8,37189100,17351100,15218000,4620000,40.83691487,46.9524731,52.97628783,-4.604771912,38.23529412
23/4/2018,36.5,36.5,35,35,34.2,8.9,1.023,8,25106400,8964700,12644700,3497000,40.38792142,46.48374867,52.7974193,-4.387869507,37.41007194
24/4/2018,35.5,36.5,34.25,34.75,33.95,8.84,1.023,8,37897700,15069200,18114200,4714300,39.95423516,46.02360166,52.61784299,-4.187870534,37.14285714
25/4/2018,34.25,35.25,33.25,33.75,32.98,8.58,1.023,8,34285200,14381800,15541300,4362100,39.4769863,45.54228395,52.43010326,-4.063223242,41.6
26/4/2018,34.25,35.5,34,34.75,33.95,8.84,1.023,8,36185100,17540800,15223800,3420500,39.11337197,45.11905713,52.25418183,-3.839488488,51.37614679
27/4/2018,35.25,36.75,35,36.5,35.66,9.28,1.023,8,50488100,26059600,19542200,4886300,38.91234336,44.78105489,52.0974238,-3.480841733,56.75675676
