Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,14.44,14.44,14.05,14.13,44.12,5.44,0.32,2,7911741,3167718,3510325,1233699,13.91819247,13.81318866,13.71030855,0.148439819,59.37500485
24/1/2018,14.05,14.21,13.82,14.05,43.88,5.41,0.32,2,13445676,6674527,5338215,1432934,13.92866942,13.82264765,13.71373228,0.137024732,54.83871097
25/1/2018,14.05,14.21,13.82,13.82,43.16,5.32,0.32,2,7177825,2030381,3513580,1633863,13.92061737,13.8227004,13.7148294,0.108140259,53.12499394
26/1/2018,13.67,13.82,13.44,13.52,42.2,5.2,0.32,2,15548980,4995347,8590835,1962797,13.88955397,13.81070404,13.71285889,0.059771665,51.51515836
29/1/2018,13.52,13.59,12.9,13.05,40.76,5.02,0.32,2,22204885,9803960,10664189,1736736,13.82543398,13.78110757,13.70632292,-0.015564028,37.14286424
30/1/2018,13.13,13.29,13.05,13.21,41.24,5.08,0.32,2,11757381,5128952,4933884,1694545,13.77806158,13.75869523,13.70138033,-0.062157457,44.11763309
31/1/2018,13.13,13.21,13.05,13.05,40.76,5.02,0.32,2,5707257,2543055,2144323,1019878,13.72251792,13.73113832,13.69495858,-0.110206827,34.37500606
1/2/2018,13.13,13.21,12.98,12.98,40.52,4.99,0.32,2,4560544,2471304,1317300,771941,13.66533914,13.70165029,13.68783654,-0.15272295,33.33333333
2/2/2018,12.98,13.13,12.9,12.98,40.52,4.99,0.32,2,3963098,1275239,1716683,971176,13.61255872,13.67331866,13.68078536,-0.184292871,15.38456762
5/2/2018,12.82,12.82,12.52,12.59,39.32,4.85,0.32,2,8457361,2216204,4080686,2160470,13.53429988,13.63103926,13.66998346,-0.2375594,12.90318317
6/2/2018,12.06,12.67,11.83,12.67,39.56,4.88,0.32,2,20971968,8329355,9146221,3496391,13.46796868,13.59342965,13.66005322,-0.270458683,17.24135421
7/2/2018,13.21,13.44,12.9,13.21,41.24,5.08,0.32,2,20502657,9093613,8054852,3354192,13.44809361,13.57837722,13.65557102,-0.250266964,31.42854811
8/2/2018,13.13,13.21,12.82,12.82,40.04,4.94,0.32,2,4219890,1286438,1766036,1167417,13.40020902,13.54885631,13.64731255,-0.262227586,27.49998448
9/2/2018,12.59,13.13,12.59,13.05,40.76,5.02,0.32,2,4631514,1893651,1841433,896430,13.37373095,13.52952838,13.64142878,-0.2502306,30.95236617
12/2/2018,13.05,13.29,13.05,13.29,41.48,5.11,0.32,2,4708604,1480725,1516796,1711083,13.36701265,13.51999366,13.63789609,-0.219600204,37.20927882
13/2/2018,13.44,13.52,12.9,12.9,40.12,4.83,0.32,2,10331088,3166025,5708559,1456504,13.33127278,13.49577408,13.63057766,-0.223731852,34.04254026
14/2/2018,13.13,13.13,12.82,12.98,40.36,4.86,0.32,2,4649745,1869951,2042231,737563,13.30418977,13.47551602,13.62409623,-0.218292801,37.77776245
15/2/2018,12.98,13.13,12.9,13.05,40.6,4.89,0.32,2,3157170,1070925,1407932,678313,13.28509779,13.45906418,13.61844347,-0.205417245,42.85713863
16/2/2018,13.05,13.13,12.98,13.05,40.6,4.89,0.32,2,1736606,670109,594582,471915,13.26747443,13.44325751,13.61284696,-0.192988621,50
19/2/2018,12.98,13.21,12.98,13.21,41.08,4.95,0.32,2,2263474,1197888,431156,634429,13.263022,13.43409419,13.60883448,-0.168798901,50
20/2/2018,13.21,13.21,12.98,12.98,40.36,4.86,0.32,2,1647406,359926,606432,681048,13.24118905,13.41625495,13.6025694,-0.166302624,48.64863958
21/2/2018,12.98,13.05,12.67,12.67,39.4,4.75,0.32,2,6923376,1923601,3647576,1352198,13.19740483,13.38706826,13.59330994,-0.186957607,44.9999969
22/2/2018,12.52,12.75,12.52,12.67,39.4,4.75,0.32,2,4004117,1301804,2035590,666723,13.15698863,13.35902614,13.58414262,-0.201009714,44.9999969
23/2/2018,12.59,12.67,12.44,12.59,39.16,4.72,0.32,2,6503288,3041144,2267250,1194893,13.11377365,13.32907193,13.57430234,-0.215855015,50
26/2/2018,12.59,12.9,12.59,12.82,39.88,4.81,0.32,2,7337734,2284569,3922079,1131086,13.09160598,13.3093277,13.5668525,-0.206646568,52.63158067
27/2/2018,12.9,12.98,12.67,12.82,39.88,4.81,0.32,2,12455487,3273586,3768029,5413872,13.07114351,13.29035775,13.55947679,-0.197077026,41.93548904
28/2/2018,12.82,12.82,12.52,12.59,39.16,4.72,0.32,2,12624382,3181000,5357487,4085895,13.034532,13.26309642,13.54988194,-0.205713124,44.82757439
2/3/2018,12.52,12.52,12.06,12.21,37.97,4.58,0.322,2,9059105,2205005,6230218,623881,12.97119831,13.22184534,13.53656166,-0.240767453,32.25803092
5/3/2018,12.06,12.59,12.06,12.52,38.93,4.69,0.322,2,10660152,3895905,3263299,3500949,12.93636725,13.19425903,13.52643064,-0.240981864,34.37500606
6/3/2018,12.52,12.52,11.75,11.75,36.54,4.4,0.322,2,16127024,4972298,8976676,2178050,12.84513853,13.13763687,13.50875864,-0.299668624,29.72971159
7/3/2018,11.6,11.75,11.37,11.44,35.58,4.29,0.322,2,13442290,4523562,7928279,990449,12.73729667,13.07118815,13.48820576,-0.366739194,25
8/3/2018,11.36,11.52,11.2,11.2,33.43,4.03,0.322,2,7749910,3357661,2779362,1612887,12.61904292,12.99780814,13.46543752,-0.434508286,21.34388667
9/3/2018,11.44,11.44,11.2,11.36,35.32,4.26,0.322,2,5296576,1975418,1980544,1340614,12.52219329,12.93358028,13.44448787,-0.469888547,25.04709588
12/3/2018,11.52,11.68,11.28,11.36,35.32,4.26,0.322,2,7477011,2749609,3602432,1124971,12.43279363,12.87187116,13.42374668,-0.492253269,21.49905288
13/3/2018,11.44,12.32,11.36,12.32,38.31,4.62,0.322,2,11517480,6566809,3688314,1262357,12.42411703,12.85022907,13.4127641,-0.427584564,41.70696902
14/3/2018,12.4,12.8,12.24,12.72,39.55,4.77,0.322,2,11634865,6130272,4587015,917578,12.44687713,12.84512198,13.40587091,-0.340136563,50.59013789
15/3/2018,12.72,12.8,12.4,12.4,38.56,4.65,0.322,2,4672273,1589260,2106804,976208,12.44327102,12.82766613,13.39586222,-0.29327409,46.90011175
16/3/2018,12.4,12.56,12.32,12.32,38.31,4.62,0.322,2,3070136,717936,1137097,1215103,12.43378847,12.80775756,13.3851571,-0.259598082,46.8659325
19/3/2018,12.24,12.32,11.84,12,37.31,4.5,0.322,2,7193987,2825616,3685439,682933,12.40041998,12.77608072,13.37137443,-0.255782404,40.78575567
20/3/2018,11.92,12.32,11.92,12.32,38.31,4.62,0.322,2,3976464,2269693,865824,840947,12.39423365,12.75819512,13.36091297,-0.224350972,44.73337039
21/3/2018,12.64,12.64,12.08,12.48,38.81,4.68,0.322,2,8862629,5097809,2979879,784942,12.40083088,12.74728541,13.35214764,-0.18440498,48.78217715
22/3/2018,12.56,12.56,12.32,12.48,38.81,4.68,0.322,2,3701190,1980919,1354490,365781,12.40692063,12.73680354,13.34346953,-0.151006781,53.09282683
23/3/2018,12.32,12.48,12.24,12.24,38.06,4.59,0.322,2,1935540,698059,523295,714186,12.39408042,12.71732096,13.33248971,-0.142264506,46.74648435
26/3/2018,12.48,12.48,12.08,12.32,38.31,4.62,0.322,2,3872705,1622138,1534506,716061,12.38838176,12.70173966,13.32241517,-0.127412138,57.9323274
27/3/2018,12.48,12.48,12.08,12.24,38.06,4.59,0.322,2,3270778,958832,1704145,607802,12.37696761,12.68363214,13.31164484,-0.120705437,61.84592551
28/3/2018,12.24,12.56,12.16,12.48,38.81,4.68,0.322,2,4797783,2098179,1853283,846322,12.384893,12.67564647,13.30336975,-0.094930058,69.04761702
29/3/2018,12.48,12.72,12.16,12.48,38.81,4.68,0.322,2,7296246,2995380,3281029,1019837,12.39220874,12.66797397,13.29517699,-0.073653849,67.49999925
30/3/2018,12.72,12.72,12.4,12.56,39.06,4.71,0.322,2,5354206,2270943,2262193,821070,12.40511557,12.6637396,13.28786177,-0.049763333,68.29268151
2/4/2018,12.64,12.64,12.32,12.56,39.06,4.71,0.322,1,3355661,1306111,1445373,604176,12.41702957,12.65967129,13.28061934,-0.03047859,55.17240954
3/4/2018,12.4,12.56,12.4,12.56,39.06,4.71,0.322,1,3008506,955706,1663642,389158,12.42802711,12.65576251,13.27344898,-0.015022126,45.83331057
4/4/2018,12.56,12.64,12.32,12.32,38.31,4.62,0.322,1,3166395,1298361,1365366,502668,12.41971716,12.64259527,13.2639619,-0.021886449,47.82608696
5/4/2018,12.32,12.48,12.16,12.4,38.56,4.65,0.322,1,2697605,1444373,773691,479541,12.41820028,12.63308164,13.25536524,-0.020633302,52.17391304
9/4/2018,12.4,12.4,12.16,12.4,38.56,4.65,0.322,1,2759110,1111970,1110095,537046,12.41680008,12.62394109,13.24685412,-0.019416354,63.15789474
10/4/2018,12.32,12.64,12.24,12.64,39.3,4.74,0.322,1,3453669,1477501,1371617,604551,12.43396919,12.62457079,13.24081576,0.000903721,61.11113687
11/4/2018,12.56,12.64,12.32,12.4,38.56,4.65,0.322,1,1279609,246271,454914,578424,12.431356,12.615764,13.23244941,-0.002331647,47.36842435
12/4/2018,12.32,12.4,12.24,12.32,38.31,4.62,0.322,1,1660391,659431,760440,240520,12.42278998,12.60416533,13.22337029,-0.011221669,45.00000596
17/4/2018,12.24,12.32,12.08,12.08,37.56,4.53,0.322,1,6879711,691434,1494752,4693525,12.39642137,12.58360975,13.21199345,-0.037204185,45.00000596
18/4/2018,12.08,12.4,12.08,12.4,38.56,4.65,0.322,1,4194357,1693019,1736148,765190,12.39669647,12.57640928,13.20391389,-0.031609836,52.17391079
19/4/2018,12.48,12.48,12,12.08,37.56,4.53,0.322,1,7206488,1466000,4870290,870199,12.37233505,12.55694217,13.19273065,-0.052393615,46.15384968
20/4/2018,12.08,12.24,11.92,12.08,37.56,4.53,0.322,1,8042185,3322158,4253612,466415,12.34984759,12.53823848,13.18165868,-0.068080123,39.13044605
