Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,15.42,15.42,15.08,15.32,70.97,0,-,-,29732477,14267220,11634975,3830282,14.31077682,14.00841931,13.71084565,0.4304184,72.72727728
24/1/2018,15.23,15.42,15.13,15.32,70.97,0,-,-,25095580,11772530,11166684,2156367,14.38880593,14.06005601,13.72690844,0.446721583,72.00001029
25/1/2018,15.23,15.28,14.53,14.53,67.31,0,-,-,59633863,18335693,35926975,5371194,14.39998845,14.07864906,13.73494098,0.391306045,60.67414756
26/1/2018,14.44,14.63,13.84,14.53,67.31,0,-,-,125565895,50995752,66404875,8165268,14.41031078,14.09651297,13.74289359,0.343429986,62.06895787
29/1/2018,14.63,14.73,14.34,14.53,67.31,0,-,-,36097906,17001618,15970466,3125822,14.41983909,14.11367633,13.75076708,0.30200652,62.7906982
30/1/2018,14.44,14.44,14.14,14.29,66.17,0,-,-,31939415,12071913,18351370,1516132,14.4096206,14.12047329,13.75610271,0.246392507,55.95238041
31/1/2018,14.14,14.63,14.04,14.53,67.31,0,-,-,34318802,16126226,15990695,2201881,14.41920199,14.13669703,13.76384476,0.219730444,57.95453923
1/2/2018,14.48,14.63,14.48,14.58,67.54,0,-,-,17292910,9132194,7571559,589157,14.43184917,14.15422324,13.77200168,0.20028097,41.26984953
2/2/2018,14.53,14.58,14.29,14.29,66.17,0,-,-,15217963,5025791,7638313,2553859,14.42070683,14.15943012,13.77712603,0.159098655,37.68116145
5/2/2018,13.99,14.34,13.99,14.24,65.94,0,-,-,32591787,17330838,10715586,4545363,14.40661885,14.16249416,13.7817075,0.121076637,43.33333869
6/2/2018,13.84,14.24,13.79,14.19,65.71,0,-,-,62889147,24170628,26161626,12556893,14.38981175,14.16349935,13.78575147,0.085963857,31.37255273
7/2/2018,14.29,14.34,14.04,14.14,65.48,0,-,-,20493072,9790128,8913725,1789218,14.37049477,14.16252647,13.7892633,0.053530618,34.78261052
8/2/2018,14.14,14.44,14.04,14.39,66.62,0,-,-,16637504,8315465,6765955,1556084,14.37167755,14.17128508,13.7951997,0.047227986,36.17022936
9/2/2018,14.14,14.48,14.09,14.44,66.85,0,-,-,40970972,24628806,10434409,5907758,14.37657209,14.18163886,13.80156892,0.045695398,28.57142201
12/2/2018,14.53,15.03,14.44,15.03,69.6,0,-,-,83416608,58902094,19034591,5479923,14.42672337,14.21485062,13.81377758,0.09129727,44.44443651
13/2/2018,15.08,15.08,14.83,14.98,69.37,0,-,-,30691312,12267118,16655710,1768484,14.46921412,14.24482131,13.82537285,0.122041226,43.63636236
14/2/2018,14.98,15.03,14.58,14.73,68.23,0,-,-,35614443,11209164,22834024,1571255,14.4894225,14.26392334,13.83439325,0.125019526,54.54546252
15/2/2018,14.78,14.83,14.58,14.83,68.68,0,-,-,23674522,8864165,11244564,3565793,14.51568194,14.28615361,13.8443077,0.133815468,56.52175007
16/2/2018,14.93,15.23,14.83,15.18,70.29,0,-,-,48262365,22837059,20065743,5359563,14.56654083,14.32108278,13.8575668,0.166787214,62.26416193
19/2/2018,14.98,15.03,14.78,15.03,69.6,0,-,-,41171741,20497623,17452716,3221402,14.60207913,14.34882615,13.86921827,0.178888172,64.70587345
20/2/2018,14.93,14.98,14.83,14.88,68.91,0,-,-,16816021,4142308,11025083,1648630,14.62347542,14.36966555,13.87927809,0.174499546,57.14285714
21/2/2018,14.88,14.88,14.29,14.48,67.08,0,-,-,41359866,11892384,27655002,1812481,14.6128037,14.3741784,13.88530262,0.137523682,48.21428264
22/2/2018,14.39,14.44,14.04,14.14,65.48,0,-,-,34145848,12898756,19520583,1726510,14.57633349,14.3649436,13.8878239,0.079381465,47.36842462
23/2/2018,14.19,14.44,13.89,14.34,66.39,0,-,-,36793770,15385355,19064428,2343987,14.55787979,14.36382562,13.89228769,0.048698294,51.66666935
26/2/2018,14.48,14.73,14.39,14.68,68,0,-,-,34486700,18852534,13125316,2508850,14.56746492,14.37632213,13.90015037,0.051709031,57.57575846
27/2/2018,14.98,14.98,14.53,14.63,45.74,0,-,-,33729139,9788611,17987762,5952766,14.57251,14.38638993,13.90744291,0.049535012,57.57575846
28/2/2018,14.58,14.63,14.34,14.48,45.28,4.52,-,-,14041165,5776272,7760696,504197,14.5657587,14.39024691,13.91318719,0.035436398,51.5625033
2/3/2018,14.34,14.39,14.19,14.29,44.66,4.46,-,-,16366946,6716901,8225448,1424598,14.54431563,14.38619797,13.91690671,0.008212162,47.76119704
5/3/2018,14.34,14.63,14.29,14.53,45.43,4.54,-,-,30118843,13211793,15820269,1086781,14.54353586,14.39200113,13.92304872,0.006507107,41.66666667
6/3/2018,14.58,14.73,14.19,14.53,45.43,4.54,-,-,69359260,21329524,44282391,3747345,14.54281609,14.39757673,13.92912962,0.005097084,42.37287581
7/3/2018,14.48,14.63,14.34,14.53,45.43,4.54,-,-,29101851,11315869,15863760,1922221,14.54215167,14.40293367,13.93515,0.003934278,46.29628968
8/3/2018,14.63,14.63,13.94,14.24,44.5,4.44,-,-,40544149,13706382,24361282,2476484,14.51872179,14.39644855,13.93815909,-0.020683231,39.6551684
9/3/2018,14.19,14.19,12.61,13.35,41.72,4.17,-,-,168267422,61486801,100019217,6761404,14.42864437,14.35532176,13.93228403,-0.110719753,23.1883985
12/3/2018,13.69,14.24,13.5,14.09,44.04,4.4,-,-,166798827,81836250,69298574,15664003,14.40253752,14.34488778,13.93384593,-0.120845239,38.27160817
13/3/2018,13.99,14.48,13.94,14.44,45.12,4.51,-,-,96439769,58129868,27728836,10581066,14.40505822,14.34843361,13.93883559,-0.099795933,44.70587541
14/3/2018,14.29,14.48,14.19,14.24,44.5,4.44,-,-,62511884,36203601,21222818,5085466,14.39217398,14.34408575,13.941808,-0.09794144,46.91357848
15/3/2018,14.24,14.34,14.09,14.09,44.04,4.4,-,-,33461111,13333165,14644483,5483463,14.36887254,14.3340924,13.94327514,-0.107203169,49.35065391
16/3/2018,14.09,14.29,13.89,13.89,43.42,4.34,-,-,56470618,24651563,23153636,8665419,14.33215242,14.31673627,13.94276007,-0.129012301,44.15583505
19/3/2018,13.89,14.09,13.55,13.55,42.34,4.23,-,-,55604329,20724689,27659047,7220593,14.27163753,14.28649009,13.93880683,-0.172234303,35.06493084
20/3/2018,13.55,13.79,13.55,13.59,42.49,4.24,-,-,71901487,42505816,20066249,9329422,14.21958044,14.25936873,13.93538482,-0.200191253,36.36363864
21/3/2018,13.64,13.89,13.59,13.69,42.8,4.27,-,-,66855467,29345605,30699909,6809952,14.17913322,14.23718825,13.93298066,-0.211926301,39.47367285
22/3/2018,13.74,14.04,13.64,13.84,43.27,4.32,-,-,45207849,23133913,18950137,3123799,14.15320569,14.22169363,13.93207613,-0.206874415,44.00000617
23/3/2018,13.69,14.04,13.64,14.04,43.88,4.38,-,-,44227268,23821179,15014160,5391929,14.14448362,14.21456128,13.9331482,-0.184784437,43.24324042
26/3/2018,14.09,14.19,13.99,14.14,44.19,4.41,-,-,40005057,19256600,13614342,7134116,14.14403803,14.21158598,13.9351934,-0.157484429,44.73684277
27/3/2018,14.19,14.24,14.09,14.14,44.19,4.41,-,-,26048852,10612420,10759583,4676848,14.14362672,14.20872735,13.93721825,-0.13430084,44.73684277
28/3/2018,14.09,14.14,13.84,13.84,43.27,4.32,-,-,27606453,7300496,15138060,5167897,14.12043046,14.19434884,13.93627155,-0.138268209,44.73684277
29/3/2018,13.89,13.99,13.64,13.74,42.96,4.29,-,-,33323050,9357742,20209366,3755942,14.09141297,14.17665685,13.93435048,-0.14768808,56.66666559
30/3/2018,13.84,13.84,13.25,13.4,41.88,4.18,-,-,77578639,32829979,36087286,8661374,14.0380082,14.14608799,13.92900521,-0.180990567,36.53845012
2/4/2018,13.35,13.5,13.3,13.4,41.88,4.18,-,-,30190149,14255588,13273490,2661070,13.9887115,14.11671791,13.92371313,-0.205019688,26.66667524
3/4/2018,13.35,13.45,12.95,13.05,40.79,4.07,-,-,72531101,18776676,46877718,6876707,13.91658752,14.07492897,13.91503041,-0.249114742,25.00001005
4/4/2018,13,13.1,12.56,12.66,39.56,3.95,-,-,62587741,24219177,34716800,3651765,13.8195894,14.01926948,13.90249888,-0.312372117,22.64151836
5/4/2018,12.75,12.8,12.11,12.46,38.94,3.89,-,-,71536867,32580661,34028522,4927683,13.71484157,13.95803803,13.88812444,-0.374147422,22.64151836
9/4/2018,12.31,12.75,12.31,12.56,39.25,3.92,-,-,36810964,18171336,15292303,3347325,13.62575682,13.90308516,13.87487683,-0.410395849,29.16668509
10/4/2018,12.7,13.25,12.51,13.25,41.41,4.14,-,-,52245878,31655204,15741883,4848791,13.59676346,13.87742861,13.86864764,-0.378908212,44.26228938
11/4/2018,13.25,13.25,12.9,13.15,41.1,4.1,-,-,32797613,13415091,15049560,4332962,13.56239481,13.84890086,13.86149663,-0.357807608,40.98361174
