Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,58,58.5,57.5,57.5,21.79,2.78,2.465,7,34853200,18211100,11059400,5582700,56.82408256,56.4143054,55.94760934,0.460037645,56.60377358
24/1/2018,57.5,58.25,57.5,57.5,21.79,2.78,2.465,7,18435700,6864200,7573100,3998400,56.87607621,56.45688166,55.96305601,0.445180648,54
25/1/2018,57.5,58.25,55.75,56.5,21.41,2.73,2.465,7,33095800,10699900,19284000,3111900,56.84714727,56.45857258,55.96839874,0.348695187,44.89795918
26/1/2018,56.5,56.75,55,56.25,21.32,2.72,2.465,7,32172100,15493000,14072200,2606900,56.80121286,56.45039326,55.97120074,0.249184411,51.1627907
29/1/2018,56.75,57,56.25,56.75,21.51,2.74,2.465,7,13138000,5245400,5027900,2864700,56.79727341,56.46214254,55.97894999,0.208266459,47.5
30/1/2018,56.5,56.75,55.75,56,21.23,2.7,2.465,7,20747900,7725600,8058700,4963600,56.73594469,56.44401931,55.97915944,0.114005768,50
31/1/2018,55.5,56.5,55.25,56,21.23,2.7,2.465,7,31448100,16710800,11631400,3105900,56.67933356,56.42660678,55.97936681,0.038855588,44.11764706
1/2/2018,56.25,56.75,55.25,55.5,21.04,2.68,2.465,7,17758900,5728500,8473300,3557100,56.58861559,56.39026926,55.97459699,-0.060351597,40
2/2/2018,55.75,56,54.5,55.5,21.04,2.68,2.465,7,24687500,7061700,13173300,4452500,56.50487593,56.35535674,55.96987463,-0.137390256,27.5862069
5/2/2018,53.25,54.25,53,53.5,20.28,2.58,2.465,7,50380600,19069500,24250200,7060900,56.27373163,56.24338197,55.94529876,-0.355726639,25
6/2/2018,51.5,53.5,50.25,53.25,20.18,2.57,2.465,7,125284500,53432600,54492600,17359300,56.04113689,56.12599444,55.91847987,-0.542677062,19.35483871
7/2/2018,54,54.25,52.25,52.25,19.8,2.52,2.465,7,64952900,28689600,23678600,12584700,55.74951097,55.97399466,55.88197758,-0.762735917,20
8/2/2018,52.5,52.75,50.75,50.75,19.24,2.45,2.465,7,53829100,22169800,25958700,5700600,55.36493321,55.76913212,55.83091313,-1.046112674,6.25
9/2/2018,50,53.5,49.5,53.25,20.18,2.57,2.465,7,79218900,45898000,22335600,10985300,55.20224604,55.67034263,55.8052324,-1.056779789,29.26829268
12/2/2018,53.5,53.5,52.25,53,20.72,2.64,2.465,7,28722900,13319600,12240600,3162700,55.0328425,55.56562331,55.77731964,-1.073037161,28.57142857
13/2/2018,53.5,53.75,52.75,53,20.72,2.64,2.465,7,15701800,6369600,6286400,3045800,54.87647,55.46501063,55.74968462,-1.073546074,28.57142857
14/2/2018,53.25,54.5,53.25,53.75,21.02,2.68,2.465,7,33221700,17928600,11567200,3725900,54.78981846,55.39775531,55.72978726,-1.001881592,36.58536585
15/2/2018,54.25,55,53.75,54.75,21.41,2.73,2.465,7,24388100,14415300,4982100,4990700,54.7867555,55.37235314,55.72003813,-0.854544672,43.18181818
16/2/2018,54.75,55.5,54.5,55,21.51,2.74,2.465,7,26025200,12980300,9479900,3565000,54.80315892,55.35775106,55.71287358,-0.709428343,41.86046512
