Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,222,227,222,227,13.97,1.59,16.408,5,15340400,6765700,5821800,2752900,233.3016726,235.0076184,236.4772722,-2.88135906,38.0952381
24/1/2018,227,228,225,226,13.91,1.58,16.408,5,11436700,4213200,5253600,1969900,232.7400055,234.6543785,236.3730208,-3.030180278,28.94736842
25/1/2018,227,231,226,226,13.91,1.58,16.408,5,9579400,3759000,4945700,874700,232.2215435,234.3149911,236.2698066,-3.11224613,29.72972973
26/1/2018,226,230,226,229,14.1,1.6,16.408,5,7286300,3891800,2387100,1007400,231.9737325,234.1065601,236.1974703,-2.901759306,35
29/1/2018,231,234,229,232,14.28,1.62,16.408,5,12495800,6802000,3592700,2101100,231.9757531,234.0239499,236.1557044,-2.464463255,45.94594595
30/1/2018,233,234,231,234,14.41,1.64,16.408,5,8684300,3311900,3894800,1477600,232.1314644,234.0230107,236.1342546,-1.934223178,51.35135135
31/1/2018,233,234,230,230,14.16,1.61,16.408,5,9812400,3575800,4398700,1837900,231.9675056,233.8652456,236.0732172,-1.815838808,46.34146341
1/2/2018,232,232,229,229,14.1,1.6,16.408,5,4815600,861100,3244700,709800,231.7392359,233.6744516,236.002837,-1.782166281,37.83783784
2/2/2018,230,232,228,230,14.16,1.61,16.408,5,5359300,1863700,2498400,997200,231.6054485,233.5303555,235.9431072,-1.655703004,44.11764706
5/2/2018,227,229,226,229,14.1,1.6,16.408,5,8316600,2960600,3229600,2126400,231.4050294,233.3526945,235.8740216,-1.617525759,42.85714286
6/2/2018,227,229,224,228,14.04,1.59,16.408,5,11959200,5179300,4196100,2583800,231.1431041,233.1427849,235.7956731,-1.64895355,44.11764706
7/2/2018,229,230,225,227,13.97,1.59,16.408,5,4942800,1272300,2716200,954300,230.8244038,232.9018914,235.708154,-1.734557049,50
8/2/2018,227,227,223,223,13.73,1.56,16.408,5,7319500,1972100,3315800,2031600,230.2225265,232.5135819,235.5817047,-2.100946605,44.11764706
9/2/2018,220,225,220,224,13.79,1.57,16.408,5,7682500,3925800,2282500,1474200,229.7438707,232.1797159,235.4664638,-2.284289458,55.17241379
12/2/2018,224,226,222,225,13.85,1.57,16.408,5,4048400,1601000,1603000,844400,229.3789575,231.8981585,235.3623199,-2.322130275,45.83333333
13/2/2018,225,226,223,225,13.85,1.57,16.408,5,5992500,2778000,1542800,1671700,229.0421146,231.6276424,235.2592123,-2.325314616,47.82608696
