Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,23.3,24,23,23.4,20.07,5.18,1.166,6,19632000,8367000,9459000,1806000,20.03131676,19.31392955,18.68024114,1.184946042,77.34806804
24/1/2018,23.6,23.8,23.5,23.7,20.33,5.24,1.166,6,13777000,7541000,4722000,1514000,20.31352322,19.48593234,18.730189,1.299318768,81.11111982
25/1/2018,23.8,24.7,23.6,24,20.59,5.31,1.166,6,26799000,12817000,10781000,3201000,20.59709835,19.6629546,18.78262493,1.39805154,91.56627613
26/1/2018,24.2,24.4,23.8,23.9,20.5,5.29,1.166,6,14645000,6024000,7399000,1222000,20.85116768,19.82911323,18.83354408,1.451496827,89.80892494
29/1/2018,24,24.4,24,24.4,20.93,5.4,1.166,6,6092000,2868000,2089000,1135000,21.12415475,20.00836368,18.8889317,1.51671468,90.96385459
30/1/2018,24.3,24.9,24.2,24.3,20.85,5.38,1.166,6,18391000,9550000,7247000,1594000,21.36845048,20.17666311,18.94277316,1.542549553,87.85713741
31/1/2018,24.2,24.5,24,24,20.59,5.31,1.166,6,8248000,4891000,2178000,1179000,21.57087737,20.32659789,18.99309383,1.521280074,83.21168066
1/2/2018,24.2,24.2,23.5,23.8,20.42,5.26,1.166,6,8801000,3168000,4824000,809000,21.74234828,20.46280971,19.04092373,1.471324951,80.85105635
2/2/2018,24,24,23.8,23.9,20.5,5.29,1.166,6,3585000,1682000,1130000,773000,21.90832146,20.59760147,19.08927275,1.423396325,79.85074287
5/2/2018,23.6,23.8,23,23.4,20.07,5.18,1.166,6,10265000,4223000,4982000,1060000,22.02306594,20.70749944,19.13216555,1.329738326,80.4511151
6/2/2018,23,23.7,22.4,23.4,20.07,5.18,1.166,6,18012000,10497000,6097000,1418000,22.12898391,20.81308768,19.17463156,1.241205838,69.04761148
7/2/2018,23.9,24.4,23.6,24,20.59,5.31,1.166,6,13088000,5978000,5472000,1638000,22.27290823,20.93806463,19.22264518,1.205561261,63.88888006
8/2/2018,24.5,26.1,24.3,26.1,22.39,5.77,1.166,6,38469000,21064000,12773000,4632000,22.56729993,21.14049349,19.29107657,1.331417406,78.57142371
9/2/2018,25.7,27.1,25.6,26.8,22.99,5.93,1.166,6,28118000,12700000,12816000,2602000,22.89289218,21.36243489,19.36579222,1.470690164,80.32785758
12/2/2018,27,27.3,26.1,26.6,22.82,5.88,1.166,6,20812000,9828000,7690000,3294000,23.17805435,21.56782961,19.43777439,1.547092671,76.66667302
13/2/2018,26.8,26.8,26,26.2,22.48,5.8,1.166,6,15046000,4987000,7826000,2233000,23.41051177,21.74948338,19.50506023,1.557412698,70.4918084
14/2/2018,26.4,26.6,25.8,25.9,20.21,5.73,1.166,6,14828000,4365000,7827000,2636000,23.60201083,21.91224873,19.56869146,1.523818181,65.57376639
