Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,11.7,11.8,11.5,11.5,13.08,2.92,0.879,6,22481800,6636000,12710100,3135700,10.98346024,10.81573845,10.65912404,0.257892884,66.66666667
24/1/2018,11.5,11.8,11.3,11.7,13.31,2.97,0.879,6,55629700,30981700,13093200,11554800,11.03857867,10.85041537,10.66948101,0.276290795,71.42858116
25/1/2018,11.8,11.8,11.5,11.5,13.08,2.92,0.879,6,22903100,9222700,9476600,4203800,11.07407262,10.87588927,10.67774488,0.271602099,65.51724705
26/1/2018,11.5,11.7,11.4,11.5,13.08,2.92,0.879,6,33188200,18698000,11937500,2552700,11.10683626,10.9003642,10.68592653,0.264833438,65.51724705
29/1/2018,11.5,11.7,11.5,11.6,13.19,2.94,0.879,6,13367200,8305800,3020500,2040900,11.14477197,10.92780092,10.69502179,0.26448955,65.51725839
30/1/2018,11.5,11.6,11.3,11.5,13.08,2.92,0.879,6,24157200,7223900,14669200,2264100,11.1720972,10.9502401,10.70303152,0.253228757,65.51723684
31/1/2018,11.4,11.7,11.4,11.6,13.19,2.94,0.879,6,52795200,14408400,18952300,19434500,11.20501283,10.97572089,10.71195659,0.24949764,66.66666667
1/2/2018,11.6,12,11.6,11.8,13.42,2.99,0.879,6,97828700,51143900,20342900,26341900,11.25078109,11.00804557,10.72278289,0.259685522,66.66666667
2/2/2018,11.9,12.2,11.6,11.8,13.42,2.99,0.879,6,116379300,43188500,37956100,35234700,11.29302871,11.03910261,10.73350147,0.264708102,65.51724818
5/2/2018,11.1,11.2,10.9,11.2,12.74,2.84,0.879,6,676666500,134589100,118763700,423313700,11.28587264,11.04541231,10.73814325,0.217763277,51.51514276
6/2/2018,10.9,11,10.7,10.8,12.28,2.74,0.879,6,194885100,55788000,82953200,56143900,11.24849784,11.0357883,10.73875874,0.14659271,31.03449637
7/2/2018,11,11.1,10.8,10.9,12.4,2.76,0.879,6,76978400,31890700,28522900,16564800,11.22169028,11.03046326,10.74036312,0.097138883,40
8/2/2018,10.9,11.1,10.8,11,12.51,2.79,0.879,6,58123400,22638900,12517200,22967300,11.20463718,11.02926862,10.74294658,0.065263251,37.49999007
9/2/2018,10.8,10.9,10.7,10.9,12.4,2.76,0.879,6,58439200,16670600,22493300,19275300,11.18120352,11.02419925,10.74450929,0.031568485,33.33333333
12/2/2018,10.8,11,10.8,10.9,12.4,2.76,0.879,6,25002600,11716000,10319300,2967300,11.15957245,11.01932867,10.74605646,0.004809698,36.36363242
13/2/2018,11,11.1,10.9,10.9,12.4,2.76,0.879,6,38339100,16032600,10637800,11668700,11.13960531,11.0146491,10.74758823,-0.016209976,30.00000477
14/2/2018,10.9,11,10.8,11,12.51,2.79,0.879,6,44664900,25749300,11972500,6943100,11.12886644,11.01407463,10.75009979,-0.024516413,36.84211583
15/2/2018,11,11.1,10.9,10.9,12.4,2.76,0.879,6,14577800,6036800,4880600,3660400,11.1112613,11.0096011,10.75159133,-0.038722155,35.00000477
16/2/2018,10.9,11,10.8,11,12.51,2.79,0.879,6,18517100,9023300,6695100,2798700,11.10270274,11.00922458,10.75406306,-0.041433493,35.00000477
19/2/2018,11,11,10.9,10.9,12.4,2.76,0.879,6,21540600,11290100,6354800,3895700,11.08711019,11.00494125,10.75551517,-0.051062823,35.00000477
20/2/2018,11,11.1,10.9,11,12.51,2.79,0.879,6,31351500,16670600,9977800,4703100,11.08040941,11.00474748,10.75794785,-0.050048019,35.00000477
21/2/2018,11.1,11.1,10.9,11,12.51,2.79,0.879,6,25177900,1137400,17855800,6184700,11.07422407,11.0045613,10.76035633,-0.048682596,27.77779838
22/2/2018,11,11.1,10.9,10.9,12.4,2.76,0.879,6,26127000,13521400,7242000,5363600,11.06082219,11.00046084,10.76174582,-0.055035272,26.31580532
23/2/2018,10.9,11,10.9,11,12.51,2.79,0.879,6,15100300,5174100,5345800,4580400,11.05614356,11.00044277,10.7641165,-0.051408018,42.85716232
26/2/2018,11,11.2,11,11.2,12.74,2.84,0.879,6,60648100,35719900,18510000,6418200,11.06720942,11.00826854,10.76845365,-0.032025906,66.66661368
27/2/2018,11.2,11.2,11,11,12.51,2.79,0.879,6,48248600,16279100,25412100,6557400,11.06203947,11.00794428,10.77075759,-0.032429923,53.84615949
28/2/2018,11,11.1,10.9,11,12.51,2.79,0.879,6,46152000,17155000,24059900,4937100,11.0572672,11.00763274,10.77303861,-0.032376889,50
2/3/2018,11,11,10.8,10.8,12.33,2.74,0.876,6,31437600,7563200,16615800,7258600,11.03747743,10.99949029,10.77330689,-0.047920772,46.15387437
5/3/2018,10.8,10.9,10.8,10.8,12.33,2.58,0.876,6,31328000,12543200,13856500,4928300,11.01920995,10.99166715,10.77357249,-0.059552922,46.15387437
6/3/2018,10.9,11,10.8,10.9,12.45,2.6,0.876,6,35382200,14172000,16218300,4991900,11.01003993,10.98807234,10.77483047,-0.060010602,50
7/3/2018,10.9,11,10.8,10.8,12.33,2.58,0.876,6,18429800,5140100,9776600,3513100,10.99388302,10.98069696,10.77508092,-0.067662463,42.85715259
8/3/2018,10.8,10.9,10.8,10.8,12.33,2.58,0.876,6,27008900,6480100,10644900,9883900,10.97896896,10.97361082,10.77532887,-0.07288643,46.15386873
9/3/2018,10.9,11,10.8,10.9,12.45,2.6,0.876,6,45108700,11548500,21940100,11620100,10.97289439,10.9707241,10.77656938,-0.068171504,46.15382922
12/3/2018,11,11.1,10.9,11,12.56,2.63,0.876,6,39655600,20576800,13500700,5578100,10.97497944,10.97187218,10.77879257,-0.055723352,53.84617078
13/3/2018,11,11,10.8,10.8,12.33,2.58,0.876,6,49894900,6380100,29670600,13844200,10.9615195,10.9651321,10.77900359,-0.061289903,42.85714286
14/3/2018,10.9,10.9,10.8,10.9,12.45,2.6,0.876,6,28491800,9838600,13473300,5179900,10.9567872,10.96257788,10.78020753,-0.056975538,46.66664971
15/3/2018,10.8,11,10.8,10.9,12.45,2.6,0.876,6,18590000,10230800,2872600,5486600,10.95241892,10.96012383,10.78139949,-0.052946044,50
16/3/2018,11,11,10.8,10.9,12.45,2.6,0.876,6,45341900,19744100,13011900,12585900,10.94838667,10.95776602,10.78257959,-0.049185659,46.15382358
19/3/2018,11,11,10.8,10.9,12.45,2.6,0.876,6,25316500,11081400,10503100,3732000,10.94466459,10.95550067,10.78374795,-0.045678969,36.36359696
20/3/2018,10.9,10.9,10.8,10.8,12.33,2.58,0.876,6,15391600,3347700,4239300,7804600,10.93353656,10.94940261,10.78390966,-0.050388166,39.99998093
21/3/2018,10.9,11,10.6,10.8,12.33,2.58,0.876,6,75993200,18636900,46633800,10722500,10.92326453,10.9435437,10.78406977,-0.053503483,39.99998093
22/3/2018,10.7,10.8,10.5,10.6,12.11,2.53,0.876,6,42782000,9091900,25467200,8222900,10.89839806,10.93007141,10.78223823,-0.071288934,39.99998093
23/3/2018,10.5,10.6,10.3,10.5,11.99,2.51,0.876,6,34869700,17951200,10065300,6853200,10.86775205,10.91320586,10.77942989,-0.092388232,36.36359696
26/3/2018,10.5,10.7,10.4,10.6,12.11,2.53,0.876,6,37855200,17704500,14132900,6017800,10.84715577,10.9009233,10.77764452,-0.099888926,36.36365213
27/3/2018,10.7,10.7,10.5,10.5,11.99,2.51,0.876,6,12907800,2573200,5025900,5308700,10.82045148,10.88520081,10.77488189,-0.112604441,36.3636206
28/3/2018,10.5,10.6,10.5,10.6,12.11,2.53,0.876,6,35598600,11351300,18536300,5711000,10.8034937,10.87401648,10.77314178,-0.113306259,41.66667329
29/3/2018,10.8,11,10.5,10.6,12.11,2.53,0.876,6,98127000,24421600,38415000,35290400,10.78784037,10.86327075,10.77141898,-0.112564877,36.36367577
30/3/2018,10.7,10.7,10.2,10.5,11.99,2.51,0.876,6,56644100,20222200,29532600,6889300,10.7656988,10.84902484,10.76871829,-0.11867847,27.27273515
2/4/2018,10.5,10.8,10.5,10.8,12.33,2.58,0.876,7,34229100,13185500,10657600,10386000,10.76833737,10.84710231,10.76902955,-0.098184222,50
3/4/2018,10.6,10.7,10.6,10.6,12.11,2.53,0.876,7,25550300,11704600,7882200,5963500,10.75538837,10.83741203,10.76734767,-0.096962967,38.46157796
4/4/2018,10.7,10.8,10.6,10.7,12.22,2.55,0.876,7,42409900,20156700,15461200,6792000,10.75112771,10.83202332,10.76667754,-0.08692399,42.85715259
5/4/2018,10.7,10.8,10.6,10.7,12.22,2.55,0.876,7,18288600,7433800,7534500,3320300,10.7471948,10.82684593,10.76601408,-0.078068108,42.85715259
