Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
5/3/2021,29.75,31.25,29.75,30.25,39.95,0,-,-,183299000,87985200,75233800,20080000,30.03051013,29.80167787,29.43184635,0.077656182,53.33333333
8/3/2021,30.5,30.75,29.5,29.75,39.29,0,-,-,113331600,35846700,64410400,13074500,30.00893243,29.79965129,29.43501206,0.044170568,30.23255814
9/3/2021,29.75,30.25,29.5,29.75,39.29,0,-,-,64557300,23733400,31191800,9632100,29.98901455,29.79770418,29.43814627,0.017432031,34.21052632
10/3/2021,29.5,30.5,29.5,30.5,40.28,0,-,-,130051100,83585700,34728300,11737100,30.02832112,29.82524519,29.44871197,0.05611344,57.14285714
11/3/2021,31,31,30,30.25,39.95,0,-,-,74434600,21822100,33470600,19141900,30.04537334,29.84190224,29.45668499,0.065836897,50
12/3/2021,30,30.25,29.5,30.25,39.95,0,-,-,90147500,37384700,46239100,6523700,30.06111386,29.85790607,29.46457867,0.072704712,38.0952381
15/3/2021,30,30.25,29.75,30,39.62,0,-,-,44795000,8368900,31449900,4976200,30.05641279,29.86347839,29.46990625,0.057313916,33.33333333
16/3/2021,30,30.25,29.75,29.75,39.29,0,-,-,27874200,9568100,10703400,7602700,30.03284258,29.85902825,29.47269325,0.024659429,36.84210526
17/3/2021,30,33,29.75,33,43.58,0,-,-,379451800,251739200,105264700,22447900,30.26108545,29.98220362,29.50779083,0.25805367,64.51612903
18/3/2021,33.25,33.5,32.25,33,43.58,0,-,-,143663700,49574500,69177500,24911700,30.47177119,30.10054857,29.54253918,0.437971623,76.92307692
19/3/2021,32.5,33,31.5,32,42.26,0,-,-,138146200,47537700,74093000,16515500,30.58932725,30.17503686,29.56699153,0.494169773,66.66666667
22/3/2021,31.75,32,30.75,31.75,41.93,0,-,-,111732600,53096800,49213300,9422500,30.67860977,30.23680012,29.588713,0.512625078,66.66666667
23/3/2021,32.75,33,31.75,32.25,42.59,0,-,-,143316300,55030100,68723700,19562500,30.79948594,30.31574914,29.61519347,0.561128521,66.66666667
24/3/2021,32,33,31.75,33,43.58,0,-,-,151579400,76645800,51469500,23464100,30.96875625,30.42101388,29.64887314,0.652564228,69.6969697
25/3/2021,33,33.5,32,32,42.26,0,-,-,152619400,55485600,82441600,14692200,31.0480827,30.4829349,29.67226743,0.63699318,60
26/3/2021,32.25,32.75,31.75,32.75,43.25,0,-,-,75557900,45938100,21920900,7698900,31.17899941,30.57183942,29.70289164,0.677363519,66.66666667
29/3/2021,32.75,33,32.25,32.75,43.25,0,-,-,42536500,14542800,23377400,4616300,31.29984561,30.65725748,29.73321113,0.70127346,66.66666667
30/3/2021,32.75,32.75,32,32.5,42.92,0,-,-,58305400,18916400,32655900,6733100,31.39216518,30.72952189,29.76074136,0.69207158,61.76470588
31/3/2021,32.5,32.75,32,32.25,42.59,0,-,-,52508200,19642300,25526100,7339800,31.45815247,30.78914848,29.78551011,0.657032254,61.76470588
1/4/2021,32.25,32.75,32.25,32.25,42.59,0,-,-,44737300,16481500,20235000,8020800,31.51906382,30.84643678,29.81003239,0.622092243,61.76470588
2/4/2021,32.25,32.75,32,32.25,42.59,0,-,-,46379400,16126600,23246300,7006500,31.57528968,30.90147847,29.83431068,0.587628221,63.63636364
5/4/2021,32.25,32.5,31.5,31.75,43.34,0,-,-,43847600,8833300,25914500,9099800,31.58872894,30.93475383,29.85337226,0.514043836,61.76470588
7/4/2021,31.5,31.75,31,31.25,42.66,0,-,-,52088900,16765000,25712900,9611000,31.56267286,30.94711642,29.86726906,0.410648163,34.7826087
8/4/2021,31.25,31.75,31,31.5,43,0,-,-,43703500,18342900,17585100,7775500,31.55785187,30.96879813,29.88351514,0.344903426,37.5
9/4/2021,31.5,31.75,30.75,31,42.32,0,-,-,53209600,10425200,35266500,7517900,31.51494019,30.97002173,29.89462444,0.249577454,40.90909091
12/4/2021,30.75,30.75,30.25,30.25,41.29,0,-,-,34441800,3026100,24044200,7371500,31.4176371,30.94178559,29.89816051,0.112218615,37.5
16/4/2021,30.5,30.5,29.75,30.5,41.63,0,-,-,62491300,27845600,28746400,5899300,31.34704963,30.92446066,29.90414897,0.023265467,34.7826087
19/4/2021,30.5,31,30.25,30.75,41.97,0,-,-,36424000,17359800,15825600,3238600,31.30112274,30.91761907,29.91256539,-0.026749284,28.57142857
20/4/2021,30.5,30.75,30,30.25,41.29,0,-,-,48010700,16321900,25674700,6014100,31.22026714,30.89143793,29.91592295,-0.105515835,31.57894737
21/4/2021,30,30.5,30,30.25,41.29,0,-,-,18045700,6015500,5882800,6147400,31.14563121,30.8662835,29.9192471,-0.166025061,18.75
22/4/2021,30.25,30.5,30,30,40.95,0,-,-,33276500,12834500,13171300,7270700,31.05750573,30.8323116,29.92005061,-0.23148357,17.64705882
23/4/2021,30,30.25,29.75,30,40.95,0,-,-,28240400,12575900,11121600,4542900,30.97615914,30.79967193,29.92084613,-0.280130737,18.75
26/4/2021,30,30,29.5,29.5,40.27,0,-,-,38327700,17734000,13242600,7351100,30.86260843,30.7487044,29.91665861,-0.354938282,17.64705882
27/4/2021,29.5,30,29.25,29.75,40.61,0,-,-,44876400,22544800,18124000,4207600,30.77702317,30.70953952,29.91500031,-0.389560281,22.22222222
28/4/2021,30,30.25,29.75,30,40.95,0,-,-,35085700,20537800,9586400,4961500,30.71725216,30.68171444,29.91584608,-0.392303325,26.31578947
29/4/2021,30,30.75,30,30.75,41.97,0,-,-,49202300,27200500,16714500,5287300,30.71977122,30.68439231,29.92414612,-0.330152681,40
30/4/2021,30.75,30.75,30,30.5,41.63,0,-,-,27887500,8653300,13359400,5874800,30.70286574,30.67716124,29.92987601,-0.297639753,42.10526316
5/5/2021,30.25,30.25,29.5,29.5,40.27,0,1.974,-,58259100,25056500,25831200,7371400,30.61033761,30.63099805,29.92559863,-0.348546834,31.81818182
6/5/2021,29.75,30,29.5,29.75,40.61,0,1.974,-,28534800,11449200,10945200,6140400,30.54415779,30.59644911,29.92385138,-0.364516236,38.0952381
7/5/2021,29.75,30,29.5,29.75,40.61,0,1.974,-,24418600,6587200,14845800,2985600,30.48306873,30.56325502,29.92212152,-0.372873845,44.44444444
10/5/2021,29.75,30,29,29.25,39.93,0,1.974,-,55464500,16617400,32760800,6086300,30.38821729,30.51175483,29.91543374,-0.415058594,36.84210526
11/5/2021,29.25,29.5,28.75,29,39.59,0,1.974,-,46255300,11810100,29197900,5247300,30.28143134,30.45247032,29.90632495,-0.463322331,31.57894737
12/5/2021,29.5,29.75,28.5,28.5,31.39,0,1.974,-,69410600,12906900,40151500,16352200,30.14439816,30.37590286,29.89233167,-0.535741814,31.57894737
13/5/2021,28,28.75,27.5,28.5,31.39,3.58,1.974,-,69127900,32149800,31996500,4981600,30.017906,30.30233804,29.87847762,-0.586375405,31.57894737
14/5/2021,28.75,29,28.25,28.5,31.39,3.58,1.974,-,36645600,14537800,18460000,3647800,29.901144,30.23165812,29.86476143,-0.619363256,33.33333333
17/5/2021,28.25,28.75,28,28.25,31.11,3.54,1.974,-,35819400,14544800,17641300,3633300,29.77413292,30.15394604,29.84869415,-0.658093188,31.57894737
18/5/2021,28.5,29.25,28.5,29.25,32.21,3.67,1.974,-,37244400,19228900,12349500,5666000,29.733815,30.11849717,29.84273699,-0.601165435,47.61904762
19/5/2021,29,29.5,29,29.25,32.21,3.67,1.974,-,25980100,11674600,11059400,3246100,29.69659847,30.08443846,29.83683911,-0.549713031,45
20/5/2021,29.5,29.75,29,29.25,32.21,3.67,1.974,-,38453700,17875600,18596200,1981900,29.66224474,30.05171538,29.83099992,-0.503136782,42.10526316
21/5/2021,29.5,29.5,29,29.5,32.49,3.7,1.974,-,25522600,11184900,10352200,3985500,29.64976437,30.03007949,29.82770638,-0.440968646,35.29411765
24/5/2021,29.75,30.25,29.5,29.75,32.76,3.73,1.974,-,41406500,20800800,15110400,5495300,29.65747481,30.01909598,29.82693319,-0.367293114,41.17647059
25/5/2021,30,30.25,29.75,30,33.04,3.76,1.974,-,23771700,10565600,9728300,3477800,29.6838229,30.01834711,29.82865524,-0.285441422,57.14285714
27/5/2021,30,30.75,29.75,30,33.04,3.76,1.974,-,85264400,36656500,21250500,27357400,29.70814421,30.01762762,29.83036017,-0.21805971,53.84615385
28/5/2021,30.25,30.75,30,30.25,33.32,3.79,1.974,-,43283100,22311500,15934400,5037200,29.74982543,30.02674026,29.83453569,-0.14283974,57.14285714
31/5/2021,30.25,30.25,30,30,33.04,3.76,1.974,-,17981700,8048500,6872700,3060500,29.76906963,30.02569162,29.8361821,-0.102221931,61.53846154
1/6/2021,30.25,32,30,32,35.24,4.01,1.974,-,139868600,92768500,30170700,16929400,29.94067965,30.10311548,29.85771263,0.09031022,80
2/6/2021,31.75,32,31,31.25,34.42,3.92,1.974,1,80001500,31462400,38702400,9836700,30.0413966,30.14809135,29.87156623,0.180296262,76.19047619
4/6/2021,31.25,31.5,31,31.25,34.42,3.92,1.974,1,25461400,10545800,11388600,3527000,30.1343661,30.19130345,29.88528199,0.248743489,76.19047619
7/6/2021,31.25,32,31,31,34.14,3.89,1.974,1,75512600,33032200,35175500,7304900,30.20095332,30.22301704,29.89637371,0.27959253,72.72727273
8/6/2021,31,31.25,30,30,33.04,3.76,1.974,1,56898200,8988300,38150100,9759800,30.18549537,30.21427127,29.89740482,0.220803687,64
9/6/2021,30.25,30.75,30,30.75,33.87,3.86,1.974,1,49620200,24589000,19212800,5818400,30.2289188,30.23528024,29.90588835,0.23205683,62.5
10/6/2021,31,31.25,30.25,30.25,33.32,3.79,1.974,1,44336100,14335800,23229100,6771200,30.23054044,30.23585749,29.90931235,0.198342834,57.69230769
11/6/2021,30.5,31.25,30.25,31,34.14,3.89,1.974,1,46304400,30572300,9150500,6581600,30.28972963,30.26582386,29.92016496,0.229497477,62.06896552
