Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
7/11/2018,24,24.3,23.9,24.3,28.69,0,-,-,11462000,6143100,4064500,1254400,25.43007351,26.08996984,26.89604762,-0.659852602,35.32337817
8/11/2018,24.4,24.7,24.2,24.3,28.69,0,-,-,12837400,5649400,5649700,1538300,25.34314472,26.01977492,26.87021629,-0.651568013,42.77107908
9/11/2018,24.2,24.5,24.2,24.2,28.57,0,-,-,4475800,2260100,1295600,920100,25.25521057,25.94841122,26.84364698,-0.645629048,43.55828508
12/11/2018,24.4,24.4,24,24,28.33,0,-,-,4958200,2218900,1911000,828300,25.15865591,25.87200294,26.81535199,-0.649572893,52.20587699
13/11/2018,23.9,24.4,23.8,24,28.33,0,-,-,15524100,5443100,3516700,6564300,25.06952853,25.79859106,26.78733853,-0.645260261,58.19672336
14/11/2018,24.1,24.3,24,24.1,28.45,0,-,-,5955600,2637400,2639700,678500,24.99494944,25.73197966,26.76059885,-0.626550786,46.87500745
15/11/2018,24,24.2,23.9,24,29.67,0,-,-,8423300,2178500,5703400,541400,24.91841487,25.66405889,26.73313021,-0.612729423,51.13636807
16/11/2018,24.1,24.2,23.9,24,29.67,0,-,-,6230500,577500,5166400,486600,24.84776757,25.59880168,26.70593488,-0.594918049,51.13636807
19/11/2018,24,24.5,24,24.4,30.16,0,-,-,8445600,4251000,3502800,691800,24.81332388,25.55178983,26.68299025,-0.542274775,47.5609654
20/11/2018,24.3,24.4,24.1,24.2,29.92,0,-,-,9031400,1448100,6489800,1093500,24.76614518,25.4987785,26.65828389,-0.510804599,25.39681963
21/11/2018,24.1,24.6,24.1,24.5,30.29,0,-,-,13328100,6786600,4817900,1723600,24.74567248,25.45961071,26.63680843,-0.456395781,31.88404195
22/11/2018,24.8,25.25,24.4,24.5,30.29,0,-,-,33447900,12313100,17797900,3336900,24.72677459,25.42197892,26.61554665,-0.408566697,34.3749851
23/11/2018,24.6,25,24.4,24.9,30.78,0,-,-,11951800,4393200,4922700,2635900,24.7400996,25.40150914,26.59847653,-0.334528937,71.42859738
26/11/2018,25,25.25,24.8,25,30.91,0,-,-,17541400,7410500,6414600,3716300,24.76009193,25.38576369,26.58257129,-0.26473261,72.72730425
27/11/2018,25.25,25.25,25,25,30.91,0,-,-,5074100,1299200,2590700,1184200,24.7785464,25.3706357,26.56682431,-0.207031983,68.4210949
28/11/2018,25,25.5,25,25.25,31.21,0,-,-,4794600,2081000,1751100,962500,24.81481206,25.36590489,26.55372158,-0.13952258,72.09306452
29/11/2018,25.25,25.25,24.9,24.9,30.78,0,-,-,9231300,3328500,5167300,735500,24.82136495,25.34763409,26.53726664,-0.112960855,64.58331181
30/11/2018,25,25.25,24.9,25,30.91,0,-,-,3550200,1591300,1432700,526200,24.83510611,25.33400138,26.52197045,-0.082885845,71.73913765
3/12/2018,25,25.25,25,25,30.91,0,-,-,5165600,1101400,2063300,2000900,24.84779025,25.32090329,26.50682647,-0.058378235,71.73913765
4/12/2018,25,25.25,25,25.25,31.21,0,-,-,3661900,1352800,1393800,915300,24.87872947,25.31812277,26.49432073,-0.018568817,73.46939093
6/12/2018,25,25.25,24.8,25,30.91,0,-,-,9194800,2983800,5272700,938300,24.88805797,25.30564737,26.47945187,-0.007110511,69.23078052
7/12/2018,25,25.25,24.9,25,30.91,0,-,-,3832700,1184500,2146500,501700,24.89666889,25.2936612,26.46473096,0.001947825,69.23078052
11/12/2018,25,25.25,25,25,30.91,0,-,-,4617800,721600,3396000,500200,24.90461744,25.28214507,26.45015652,0.009022615,63.6363794
12/12/2018,25.25,25.75,25,25.25,31.21,0,-,-,10453300,5094500,3409900,1948900,24.93118533,25.28088448,26.43821466,0.034405739,73.33331638
13/12/2018,25.25,25.25,24.9,24.9,30.78,0,-,-,6780500,867700,4660500,1252300,24.92878643,25.26594782,26.42290904,0.025980456,58.69563955
14/12/2018,24.9,25,24.5,24.8,30.66,0,-,-,9948400,3141900,5002000,1804500,24.91887972,25.24767532,26.40676068,0.011106139,56.24998013
17/12/2018,24.9,25,24.5,24.8,30.66,0,-,-,7881100,3146900,4206600,527600,24.90973507,25.2301194,26.39077301,-0.000674094,47.49999285
18/12/2018,24.8,24.8,24.3,24.4,30.16,0,-,-,8365900,1996700,5678100,691100,24.87052465,25.19756568,26.37096432,-0.041804741,36.95651994
19/12/2018,24.5,24.8,24.4,24.8,30.66,0,-,-,2617800,1479100,788900,349800,24.86509962,25.18197484,26.35533282,-0.041644398,46.29628321
20/12/2018,24.8,24.8,24.3,24.5,30.29,0,-,-,3968100,1543300,1672300,752500,24.83701503,25.15523073,26.3368718,-0.064975756,36.36363636
21/12/2018,24.4,24.7,24.3,24.5,30.29,0,-,-,4216100,2082400,1295200,838500,24.8110908,25.12953541,26.31859447,-0.082514846,41.66667329
