Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,48.8,49.2,48.4,48.8,11.72,1.76,4.163,9,57954000,30307000,20503000,7144000,46.88638893,46.15813068,45.34296033,0.861964916,77.14280732
24/1/2018,48.8,49.2,48.6,49.2,11.82,1.78,4.163,9,39009000,17578000,12273000,9158000,47.06435907,46.2774197,45.38133884,0.917517399,69.23072409
25/1/2018,49.6,49.8,48.4,48.6,11.67,1.76,4.163,9,61475000,21065000,34264000,6146000,47.18248518,46.36850122,45.41336531,0.902721955,66.66661957
26/1/2018,48.8,49,48.4,49,11.77,1.77,4.163,9,68574000,22978000,30494000,15102000,47.32229401,46.47169725,45.44905321,0.912751607,71.4285325
29/1/2018,49.6,50,49.2,49.8,11.96,1.8,4.163,9,58525000,25869000,23700000,8956000,47.51288672,46.6022189,45.49234621,0.974025471,74.9999553
30/1/2018,49.4,49.8,48.8,49,11.77,1.77,4.163,9,80895000,31142000,40143000,9610000,47.62728005,46.69624953,45.52724824,0.947114452,64.70585925
31/1/2018,48.6,49.8,48.6,49.2,11.82,1.78,4.163,9,90316000,44401000,28754000,17161000,47.74825857,46.79443585,45.56379304,0.93119147,64.70585925
1/2/2018,49.6,50,49.2,49.8,11.96,1.8,4.163,9,67883000,33765000,24093000,10025000,47.90608477,46.91230108,45.60594434,0.955967456,69.44441648
2/2/2018,50.4,51,50,50.2,12.06,1.81,4.163,9,97874000,46161000,36922000,14791000,48.08253985,47.04123048,45.65165635,0.99639358,64.51610323
5/2/2018,49.2,50.2,49.2,50,12.01,1.81,4.163,9,84678000,38221000,29662000,16795000,48.23003678,47.15726066,45.69492345,1.000757079,64.51610323
6/2/2018,48.6,49,48,48.4,11.63,1.75,4.163,9,242519000,100152000,103686000,38681000,48.24311099,47.2059956,45.72183965,0.86513593,50
7/2/2018,49,49,48.2,48.4,11.63,1.75,4.163,9,104648000,36679000,48162000,19807000,48.2551795,47.25281936,45.74848803,0.749020945,52.77778661
8/2/2018,48.4,49,48,48,11.53,1.73,4.163,9,110274000,37243000,47684000,25347000,48.2355503,47.28212056,45.77089113,0.617602861,51.35135553
9/2/2018,47.6,48.2,47.4,48,11.53,1.73,4.163,9,93781000,39055000,35567000,19159000,48.21743105,47.3102727,45.79307132,0.507601766,47.05881363
12/2/2018,48,48.8,47.8,48.8,11.72,1.76,4.163,9,53934000,30208000,16565000,7161000,48.26224399,47.36869334,45.822991,0.479451539,50
13/2/2018,49.2,49.2,48.4,48.8,11.72,1.76,4.163,9,58719000,23571000,21757000,13391000,48.30360978,47.42482299,45.85261297,0.451932682,47.05881363
14/2/2018,48.8,49,48,48,11.53,1.73,4.163,9,71459000,20576000,37926000,12957000,48.28025518,47.44737895,45.87398001,0.361404492,45.71429661
15/2/2018,48.4,48.8,48,48.6,11.67,1.76,4.163,9,47298000,24041000,16253000,7004000,48.30485082,47.49257971,45.90110457,0.334222403,47.22221045
16/2/2018,49,49,48.4,48.6,11.67,1.76,4.163,9,29081000,9429000,13465000,6187000,48.32755448,47.5360079,45.92795923,0.309117093,40.62499069
19/2/2018,49,49.2,48.8,48.8,11.72,1.76,4.163,9,66271000,28592000,26578000,11101000,48.36389639,47.58557619,45.95653675,0.301879465,48.27585527
20/2/2018,48.8,49.2,48.6,49,11.77,1.77,4.163,9,40507000,16304000,19223000,4980000,48.41282743,47.64104379,45.98681996,0.308723214,48.27585527
21/2/2018,50.8,52.6,50.8,52.2,11.03,1.89,4.163,9,334279000,159399000,123503000,51377000,48.70414846,47.81982642,46.04864266,0.565837628,64.28572077
22/2/2018,52.4,54.8,52.2,54,11.41,1.88,4.163,9,337535000,167428000,131363000,38744000,49.11152165,48.06218616,46.12776064,0.904421936,69.38775272
23/2/2018,54.6,54.8,53.2,53.8,11.37,1.88,4.163,9,168130000,66781000,77078000,24271000,49.47217378,48.28719844,46.20410132,1.143433263,69.38775272
26/2/2018,54.2,56.8,53.6,56.6,11.96,1.97,4.163,9,208501000,126164000,54606000,27731000,50.02046798,48.6131906,46.30754309,1.541024033,87.2727134
