Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,53.83,54.26,51.89,52.32,25.91,7.64,1.857,2,15130132,5579478,8115931,1434723,55.6221471,56.50395752,57.36775049,-1.265801152,32.39436514
24/1/2018,52.54,52.54,50.38,50.6,25.06,7.39,1.857,2,16295140,3617633,10935916,1741591,55.23567921,56.27235387,57.30039043,-1.476529187,21.12674686
25/1/2018,51.03,52.11,50.82,51.46,25.48,7.52,1.857,2,7431370,3968157,2351148,1112064,54.94518916,56.083607,57.24227021,-1.556099714,27.94116651
26/1/2018,51.89,52.11,51.03,51.68,25.59,7.55,1.857,2,7188708,2538427,3783897,866384,54.69360675,55.91070546,57.18687069,-1.583532307,30.769214
29/1/2018,51.89,53.83,51.89,53.61,26.55,7.83,1.857,2,13313188,7224469,5113428,975291,54.61043817,55.82057643,57.15130397,-1.432396987,44.6153712
30/1/2018,53.4,54.05,52.97,53.61,26.55,7.83,1.857,2,9992205,4201182,4964812,826211,54.53366719,55.73398188,57.11609114,-1.297662511,42.85712679
31/1/2018,54.05,54.69,53.83,54.26,26.87,7.93,1.857,2,9894328,4819099,4255520,819709,54.51248897,55.67611398,57.08765591,-1.125785552,37.9310387
1/2/2018,54.69,54.91,54.26,54.48,26.98,7.96,1.857,2,4457661,2731047,1234324,492290,54.50950209,55.6289589,57.061646,-0.961118994,40.35087447
2/2/2018,54.69,54.91,53.4,53.61,26.55,7.83,1.857,2,5693958,2151562,2883843,658554,54.44049541,55.54987876,57.02732529,-0.889857051,42.5925853
5/2/2018,52.54,53.4,52.11,52.75,26.12,7.71,1.857,2,6901694,3888625,1814157,1198911,54.31054739,55.44012552,56.9847765,-0.892587465,45.09802627
6/2/2018,50.82,52.32,50.82,51.89,25.7,7.58,1.857,2,10711018,5233017,3864359,1613642,54.12434611,55.30090219,56.93408151,-0.953257678,46.93878068
7/2/2018,52.54,53.4,51.89,52.54,26.02,7.67,1.857,2,11883341,4383933,6643590,855818,54.00215502,55.19246924,56.89031813,-0.938400707,47.99999717
8/2/2018,52.75,52.97,51.89,52.75,26.12,7.71,1.857,2,6754820,3672203,2324792,757824,53.90592549,55.09673206,56.84913259,-0.898890946,47.99999717
9/2/2018,52.32,52.32,51.46,51.46,25.48,7.52,1.857,2,6870577,3077740,2913102,879736,53.71772419,54.954088,56.7955025,-0.960746792,40.74074196
12/2/2018,51.89,52.54,51.68,52.11,25.8,7.61,1.857,2,2657436,1411734,770828,474874,53.59368694,54.84236847,56.74883322,-0.946733388,49.01959763
13/2/2018,52.54,52.97,52.32,52.32,25.91,7.64,1.857,2,4318914,1880686,1955807,482421,53.49575354,54.74347374,56.70477073,-0.907789279,59.09092373
14/2/2018,52.32,52.75,51.68,51.68,25.59,7.55,1.857,2,2871303,843395,1553151,474758,53.35566618,54.62312645,56.65471946,-0.918459919,51.16278207
15/2/2018,51.89,52.32,51.25,52.11,25.8,7.61,1.857,2,2296927,1181612,810420,304895,53.25947954,54.5243858,56.609451,-0.882001707,52.27273002
