Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,494,498,492,496,10.83,2.36,45.794,7,3393400,826300,1719400,847700,495.5739252,493.5041775,491.051589,2.00182212,55.55555556
24/1/2018,494,504,492,502,10.96,2.39,45.794,7,2946600,791900,1220200,934500,496.0682386,493.8373471,491.1605284,2.216222873,55.55555556
25/1/2018,500,504,494,494,10.79,2.35,45.794,7,3330600,723900,2093600,513100,495.9091434,493.8437256,491.1887819,1.720767932,53.57142857
26/1/2018,496,498,492,496,10.83,2.36,45.794,7,3058900,1762700,962400,333800,495.9161323,493.9282854,491.2366547,1.472525253,53.57142857
29/1/2018,496,498,494,494,10.79,2.35,45.794,7,2184600,666200,1013500,504900,495.7687375,493.9310977,491.2641507,1.101708051,48.14814815
30/1/2018,494,498,492,492,10.74,2.34,45.794,7,3697500,1398800,1667100,631600,495.4788346,493.8553684,491.2714725,0.639082516,37.5
31/1/2018,492,496,490,492,10.74,2.34,45.794,7,2039900,662400,544900,832600,495.211232,493.7826089,491.2787216,0.269343621,42.85714286
1/2/2018,494,496,492,494,10.79,2.35,45.794,7,1850600,641000,768500,441100,495.1180603,493.791134,491.305799,0.136136867,45.45454545
2/2/2018,492,496,490,492,10.74,2.34,45.794,7,1606600,442800,614100,549700,494.8782095,493.7208934,491.3127064,-0.129322975,35
5/2/2018,486,490,486,486,10.61,2.31,45.794,7,2378000,620300,979200,778500,494.1952703,493.4181133,491.2598437,-0.814463046,31.81818182
6/2/2018,482,484,478,480,10.48,2.28,45.794,7,6918700,2163500,3577700,1177500,493.1033264,492.8919128,491.1478054,-1.820604548,28
7/2/2018,482,484,480,480,10.48,2.28,45.794,7,2509700,1035200,783400,691100,492.0953783,492.3863476,491.036882,-2.58814442,28
8/2/2018,480,482,478,480,10.48,2.28,45.794,7,2621700,1061200,1144300,416200,491.1649645,491.9006085,490.9270623,-3.159998799,29.16666667
9/2/2018,476,478,474,476,10.39,2.26,45.794,7,3729900,1747800,1416300,565800,489.9984288,491.2770552,490.7785343,-3.891109793,31.81818182
