Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
18/8/2022,15.9,16,15.8,16,22.15,2.04,-,-,48945000,19696700,22202600,7045700,15.38262261,15.53895502,15.78288304,-0.040518304,62.50000596
19/8/2022,15.9,16.2,15.5,15.8,21.88,2.01,-,-,115670000,46965700,57379800,11324500,15.41472858,15.54919209,15.78305336,-0.001568551,57.50000834
22/8/2022,15.7,15.8,15.4,15.8,21.88,2.01,-,-,46362000,14132300,24826500,7403200,15.44436486,15.5590277,15.78322198,0.028965512,58.9743596
23/8/2022,15.6,16.1,15.6,16,22.15,2.04,-,-,53574900,26705200,19475500,7394200,15.48710602,15.57632073,15.78537898,0.068512521,71.42858311
24/8/2022,16,16.1,15.8,15.9,22.01,2.02,-,-,36728500,9874700,17874500,8979300,15.51886707,15.58901402,15.78651948,0.090738637,69.44444739
25/8/2022,16,16.1,15.8,16,22.15,2.04,-,-,39218300,16643900,16388400,6186000,15.55587729,15.60513112,15.78864366,0.11509544,66.6666763
26/8/2022,16,16,15.6,15.8,21.88,2.01,-,-,42586900,8919200,24368900,9298800,15.57465598,15.61277304,15.78875666,0.116912376,70.96774888
29/8/2022,15.5,15.9,15.5,15.9,22.01,2.02,-,-,31192800,16792800,10626800,3773200,15.59968241,15.62403683,15.78986356,0.124980729,70.96773995
30/8/2022,15.9,16.1,15.8,16,22.15,2.04,-,-,38145600,24660200,8719100,4766300,15.63047607,15.63878048,15.79195447,0.137855044,67.85714772
31/8/2022,16,16.1,15.8,16,22.15,2.04,-,-,56538000,21473000,30198800,4866200,15.65890099,15.65294596,15.79402457,0.146370761,79.16666336
1/9/2022,16.1,16.3,15.6,15.6,21.6,1.99,-,-,206926500,99263600,67658100,40004800,15.65437017,15.65086966,15.79209399,0.119465775,64.00001526
2/9/2022,15.6,15.7,15.5,15.6,21.6,1.99,-,-,39808300,13767600,20570900,5469800,15.65018788,15.64887478,15.79018261,0.097024936,55.00001907
5/9/2022,15.6,15.7,15.5,15.7,21.74,2,-,-,14347700,5202200,6000500,3145000,15.65401957,15.65087969,15.78928526,0.086314548,52.63156574
6/9/2022,15.7,15.7,15.5,15.5,21.46,1.97,-,-,25436200,8800700,12647500,3988000,15.64217191,15.64496284,15.7864068,0.060985175,38.88889478
7/9/2022,15.5,15.9,15.5,15.8,21.88,2.01,-,-,32288600,19411400,9998600,2878600,15.65431255,15.65104273,15.78654206,0.064376877,45.00000238
8/9/2022,15.9,15.9,15.6,15.6,21.6,1.99,-,-,37392200,19402500,13522400,4467300,15.65013469,15.64904107,15.78468593,0.050346153,45.00000238
9/9/2022,15.6,15.9,15.6,15.8,21.88,2.01,-,-,28453300,20250600,5353500,2849200,15.6616628,15.65496104,15.78483831,0.054734075,50
12/9/2022,15.9,15.9,15.7,15.7,21.74,2,-,-,12246300,3051800,8050900,1143600,15.6646118,15.65672726,15.78399414,0.049570918,42.85713637
13/9/2022,15.8,16,15.7,15.9,22.01,2.02,-,-,23208400,14483700,4278300,4446400,15.68271856,15.66626736,15.78514843,0.060915199,50
14/9/2022,16,16.5,15.9,16.3,22.57,2.07,-,-,213567300,85264500,109515400,18787400,15.73020169,15.69111959,15.79027132,0.10101778,55.99998932
15/9/2022,16.4,16.5,16.2,16.3,22.57,2.07,-,-,74971600,30484100,28237900,16249600,15.77403227,15.71499722,15.79534324,0.131285981,60.8695526
16/9/2022,16.3,16.8,16.3,16.8,23.26,2.14,-,-,134501400,73871200,34318700,26311500,15.8529528,15.75754632,15.80533982,0.193390287,66.66666667
19/9/2022,17.1,17.8,16.6,16.6,22.98,2.11,-,-,227459100,95959900,113583100,17916100,15.910418,15.79058373,15.81324689,0.223889304,60.71430274
20/9/2022,16.7,17.7,16.6,17.6,24.37,2.24,-,-,116653000,71827400,31607700,13217900,16.04038588,15.86154125,15.83102553,0.32500518,71.05265139
21/9/2022,17.6,17.8,17.2,17.4,24.09,2.21,-,-,92545800,46656600,35409300,10479900,16.14497155,15.92187295,15.84663721,0.384568781,75
22/9/2022,17.5,17.7,17.3,17.3,23.95,2.2,-,-,63085800,29590000,24804400,8691400,16.23381983,15.97591712,15.86109852,0.418875631,72.97296461
23/9/2022,17.4,17.8,17.3,17.3,23.95,2.2,-,-,90825900,37042200,45168000,8615700,16.31583363,16.02784191,15.87541594,0.440980706,72.22221781
26/9/2022,17.3,17.8,17.3,17.5,24.23,2.23,-,-,76824700,39284200,31059100,6481400,16.40692335,16.0855736,15.89158096,0.469228552,77.77777483
27/9/2022,17.5,17.8,16.4,16.8,23.26,2.14,-,-,230226300,103903300,116771900,9551100,16.43715996,16.11359029,15.90061995,0.430172205,62.4999851
28/9/2022,16.7,16.8,16.5,16.7,23.12,2.13,-,-,36088900,19373600,11735800,4979500,16.45737848,16.13658678,15.90857399,0.38669317,64.10257037
29/9/2022,16.8,16.8,16.1,16.2,22.43,2.06,-,-,110946100,40381600,61312200,9252300,16.4375802,16.1390736,15.91147375,0.308335598,54.76191179
30/9/2022,16.2,16.3,16,16,22.15,2.04,-,-,46135600,12134500,22823800,11177300,16.40392018,16.13361973,15.91235461,0.227476066,53.48837416
3/10/2022,15.9,16.1,15.6,15.6,21.6,1.99,-,-,40683300,10170200,20422600,10090500,16.3420802,16.11269348,15.90924661,0.129623459,46.66667514
4/10/2022,15.8,15.8,15.1,15.3,21.18,1.95,-,-,81358300,22897700,47603300,10857300,16.2619202,16.08082316,15.90318446,0.027549482,38.63637595
5/10/2022,15.3,15.5,15.2,15.3,21.18,1.95,-,-,34753000,17472200,13315800,3965000,16.18792635,16.05020265,15.89718262,-0.052736962,38.63637595
6/10/2022,15.5,15.6,15.3,15.5,21.46,1.97,-,-,35753200,14909600,14612300,6231300,16.13500894,16.02862608,15.89323056,-0.099084054,34.14635224
7/10/2022,15.4,15.5,15,15.1,20.91,1.92,-,-,55387000,20657200,28632200,6097600,16.0553929,15.99220938,15.88533772,-0.166175517,32.55814418
10/10/2022,15,15.3,15,15.2,21.05,1.93,-,-,24003100,9680700,10207300,4115100,15.98959343,15.96114234,15.87851844,-0.208869153,14.70587988
11/10/2022,15.2,15.3,15,15,20.77,1.91,-,-,22443200,8026100,11003400,3413700,15.91347086,15.92345048,15.86977696,-0.255892709,14.705884
12/10/2022,15.1,15.1,14.6,14.9,20.63,1.9,-,-,57794400,28138100,23171300,6485000,15.83551153,15.88331516,15.86012743,-0.297795608,14.705884
17/10/2022,14.9,14.9,14.6,14.8,20.49,1.88,-,-,25772300,8601900,13697100,3473300,15.75585681,15.84083222,15.8495789,-0.335208995,14.28571818
18/10/2022,14.8,15.1,14.8,14.8,20.49,1.88,-,-,31858900,13046800,12312000,6500100,15.68232938,15.80001527,15.83913534,-0.360701432,9.0908907
19/10/2022,15,15.6,14.9,15.4,21.32,1.96,-,-,48766600,25025000,16760300,6981300,15.66061171,15.78432839,15.83476583,-0.328700379,28.1249851
20/10/2022,15.5,15.5,15.2,15.2,21.05,1.93,-,-,40124000,16610300,16787800,6725900,15.62518002,15.76141354,15.82844975,-0.315836857,27.272701
21/10/2022,15.3,15.4,15.2,15.3,21.18,1.95,-,-,14084300,5834600,4092300,4157400,15.60016619,15.7433189,15.82319154,-0.29418208,34.48274161
25/10/2022,15.3,15.4,15,15,20.77,1.91,-,-,24414300,9320400,11932400,3161500,15.55399956,15.71416914,15.81500058,-0.297795223,33.33332274
26/10/2022,15,15.2,14.9,15.2,21.05,1.93,-,-,14134000,3598300,7937100,2598600,15.52676881,15.69400563,15.80888117,-0.281277955,42.85712826
27/10/2022,15.4,15.8,15.3,15.6,21.6,1.99,-,-,47176900,27559400,15687400,3930100,15.53240201,15.69031915,15.80680275,-0.233222751,55.17241946
28/10/2022,15.5,15.6,15.4,15.4,21.32,1.96,-,-,15450500,1967100,9570200,3913200,15.52221721,15.67893407,15.80275496,-0.20886933,51.61289429
31/10/2022,15.4,15.7,15.4,15.5,21.46,1.97,-,-,21407500,10310200,7492600,3604700,15.52050819,15.67191705,15.79974247,-0.179431499,50
1/11/2022,15.6,16,15.5,16,22.15,2.04,1.469,-,43171000,22158900,17158500,3853600,15.55739218,15.68478305,15.80173509,-0.114436828,64.51612109
2/11/2022,15.9,16,15.7,16,22.15,2.04,1.469,-,20394900,7385900,6535400,6473600,15.59143893,15.6971445,15.80370787,-0.062210954,63.33333227
3/11/2022,16,16.3,15.9,16.3,22.57,2.07,1.469,-,50605000,22202700,22640200,5762100,15.64594357,15.72078586,15.80864609,0.003347274,70.96772705
4/11/2022,16.3,16.4,16,16.1,22.29,2.05,1.469,-,30882700,9273800,18236000,3372900,15.68087102,15.73565702,15.81154514,0.038718087,68.75001863
7/11/2022,16.1,16.2,15.8,16,22.15,2.04,1.469,-,21972400,4990500,13603100,3378800,15.7054194,15.74602341,15.81342032,0.058011793,68.74999814
8/11/2022,16,16.1,15.8,15.9,22.01,2.02,1.469,-,18718100,7216300,9103700,2398100,15.72038711,15.75206169,15.8142818,0.064489603,66.66665703
9/11/2022,16,16,15.5,15.5,21.46,1.97,1.469,-,41362900,8303000,24406200,8653700,15.70343426,15.74217692,15.81115462,0.036921084,51.61290918
10/11/2022,15.5,15.6,15.4,15.4,21.32,1.96,1.469,-,25627000,7421900,12908300,5296800,15.68009313,15.7287582,15.80706352,0.006923826,53.33332909
11/11/2022,14.8,15,14.6,14.8,20.49,1.88,1.469,-,124106000,37259500,64344700,22501800,15.61239367,15.69233632,15.79704299,-0.064520406,42.85714286
14/11/2022,14.8,14.9,14.7,14.7,20.35,1.87,1.469,-,23443100,5634300,11956700,5852100,15.54220953,15.65342116,15.78612714,-0.127737195,45.45454283
15/11/2022,14.8,15,14.7,15,20.91,1.92,1.469,1,38961600,18487100,16033700,4440800,15.5005011,15.6277968,15.77830498,-0.151878684,47.05882683
16/11/2022,15,15,14.7,14.8,20.63,1.89,1.469,1,36511700,10232300,19928400,6351000,15.44661642,15.59533419,15.7685706,-0.185016545,37.49999627
17/11/2022,14.7,15,14.7,14.7,20.49,1.88,1.469,1,21224700,8887400,8894100,3443200,15.38918437,15.56022304,15.75793806,-0.216848045,38.70967841
18/11/2022,14.7,14.8,14.5,14.7,20.49,1.88,1.469,1,27034700,5899800,16613500,4521400,15.33617017,15.52648879,15.74741131,-0.239316052,36.66665925
21/11/2022,15,15.2,14.9,15.1,21.05,1.93,1.469,1,58468800,17552500,32048700,8867600,15.31800327,15.50976376,15.74096941,-0.222283065,34.48276316
22/11/2022,15.2,15.2,15,15,20.91,1.92,1.469,1,15331400,5454400,6995900,2881100,15.29354148,15.48977302,15.73359658,-0.21438223,33.33333333
23/11/2022,15.1,15.2,15,15.1,21.05,1.93,1.469,1,14910700,5462500,5739600,3708600,15.2786537,15.47448782,15.72729214,-0.197771777,28.57145777
24/11/2022,15.1,15.3,15.1,15.2,21.19,1.94,1.469,1,40439900,17377700,18666800,4395400,15.2726034,15.46372359,15.72204545,-0.174526917,33.33333333
25/11/2022,15.2,15.3,15,15.1,21.05,1.93,1.469,1,8656800,1266100,5862500,1528200,15.25932625,15.44945993,15.71585595,-0.162303384,33.33334511
28/11/2022,15,15.1,14.9,15,20.91,1.92,1.469,1,13627800,7406100,3982900,2238800,15.23937807,15.43183405,15.708733,-0.158854169,33.33334511
29/11/2022,15,15.1,14.9,15,20.91,1.92,1.469,1,18062300,4367400,7225900,6469000,15.22096438,15.41489938,15.70168093,-0.154341488,39.13044019
