Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,3.06,3.08,3.02,3.04,15.56,1.52,0.088,-,204669500,39379500,138991100,26298900,2.805377167,2.808878415,2.814111791,-0.00220229,43.75008147
24/1/2018,3.04,3.06,3.02,3.02,15.45,1.51,0.088,-,79509800,27357100,29956000,22196700,2.802021303,2.807030279,2.813590787,-0.005357659,41.17651569
25/1/2018,3.02,3.06,2.94,2.96,15.15,1.48,0.088,-,431282300,151063600,253694100,26524600,2.794702895,2.803102895,2.812529008,-0.012145768,38.88893315
26/1/2018,2.96,3,2.88,3,15.35,1.5,0.088,-,340390500,166963800,135918600,37508100,2.790761203,2.800763993,2.811841763,-0.014407699,47.36838133
29/1/2018,3,3.04,2.98,3,15.35,1.5,0.088,-,117029900,54127500,48490600,14411800,2.787122717,2.798516813,2.811161357,-0.016015676,44.44435593
30/1/2018,3,3.02,2.92,2.96,15.15,1.48,0.088,-,205739500,76200300,98233200,31306000,2.780950354,2.794923291,2.810123751,-0.020010948,42.10528843
31/1/2018,2.96,2.96,2.9,2.9,14.84,1.45,0.088,-,240309500,70532700,128334700,41442100,2.771032028,2.789318931,2.808550501,-0.027290186,36.36358788
1/2/2018,2.9,2.96,2.88,2.9,14.84,1.45,0.088,-,217261500,112384800,78093600,26783100,2.76187665,2.78393435,2.806992905,-0.032682294,30.00001304
2/2/2018,2.92,2.98,2.9,2.9,14.84,1.45,0.088,-,292650300,96262700,132576400,63811200,2.753425531,2.778760928,2.805450808,-0.036534432,26.31574253
5/2/2018,2.88,2.92,2.86,2.9,14.84,1.45,0.088,-,150243500,46520300,53179800,50543400,2.745624499,2.773790386,2.803924054,-0.039136142,22.22215785
6/2/2018,2.84,2.96,2.82,2.94,15.04,1.47,0.088,-,417820000,207133300,163220700,47466000,2.74123738,2.770449272,2.802776471,-0.037810473,31.57896542
7/2/2018,2.96,3,2.94,2.96,15.15,1.48,0.088,-,206925900,117676400,62088800,27160700,2.738594659,2.767956437,2.801822297,-0.034881919,35.00006844
8/2/2018,2.96,2.98,2.92,2.94,15.04,1.47,0.088,-,130467900,37055600,61705600,31706700,2.734748297,2.764844105,2.800695627,-0.033648989,26.31577503
9/2/2018,2.9,3,2.88,2.96,15.15,1.48,0.088,-,169454600,102767900,41858700,24828000,2.732604736,2.762571081,2.799762158,-0.030840518,37.50003055
12/2/2018,2.96,2.98,2.92,2.96,15.15,1.48,0.088,-,87701500,25701800,48055900,13943800,2.730626064,2.760387196,2.798837978,-0.028288691,37.50003055
13/2/2018,2.96,2.96,2.88,2.92,14.94,1.46,0.088,-,238753700,65266300,125962400,47525000,2.725985744,2.756854439,2.797559012,-0.028885087,35.29411765
14/2/2018,2.9,2.92,2.88,2.9,14.84,1.45,0.088,-,86133300,24101500,42435300,19596500,2.720295465,2.752742976,2.796110784,-0.03048219,39.99993048
15/2/2018,2.92,2.94,2.9,2.9,14.84,1.45,0.088,-,51354300,14649900,23974300,12730100,2.715042899,2.748792746,2.794676966,-0.031386107,30.76937732
16/2/2018,2.9,2.94,2.9,2.92,14.94,1.46,0.088,-,58981700,21394000,26198900,11388800,2.711601285,2.745714674,2.793439404,-0.030277611,35.71439878
19/2/2018,2.92,2.94,2.9,2.92,14.74,1.46,0.088,-,55523900,22456400,19409200,13658300,2.70842441,2.742757311,2.792214155,-0.029064087,41.66663046
20/2/2018,2.92,2.94,2.9,2.9,14.64,1.41,0.088,-,26589300,3685700,11785000,11118600,2.704085002,2.739198675,2.79081911,-0.029241122,50
21/2/2018,2.9,2.92,2.88,2.9,14.64,1.41,0.088,-,47019700,12246700,21997000,12776000,2.700079395,2.735779594,2.789437946,-0.029046592,50
22/2/2018,2.9,2.92,2.86,2.86,14.43,1.4,0.088,-,171325900,50412200,93895300,27018400,2.693568132,2.731060119,2.787706553,-0.031481161,41.66681151
23/2/2018,2.88,2.92,2.86,2.9,14.64,1.41,0.088,-,82279100,34289600,26691000,21298500,2.690371515,2.727960197,2.786356359,-0.030111834,50
26/2/2018,2.92,2.98,2.92,2.98,15.04,1.45,0.088,-,168860300,88563600,34454300,45842400,2.693048406,2.72785082,2.785747551,-0.0228598,56.24991853
27/2/2018,3,3,2.92,3,15.14,1.46,0.088,-,216428900,78778700,94175200,43475000,2.696926289,2.72846298,2.785326788,-0.015458481,56.24988288
28/2/2018,3,3,2.96,3,15.14,1.46,0.088,-,219713900,45138600,43956800,130618500,2.700505874,2.729051134,2.784910212,-0.009483562,59.99993048
2/3/2018,2.98,3,2.92,2.94,14.84,1.43,0.09,-,164524000,45188500,78749900,40585600,2.699589419,2.727464499,2.783951821,-0.009071292,47.05877391
5/3/2018,2.94,2.94,2.9,2.92,14.74,1.42,0.09,-,91000800,31785900,41810500,17404400,2.697336534,2.725222829,2.782820977,-0.010103946,44.44435593
6/3/2018,2.92,2.94,2.86,2.88,14.53,1.41,0.09,-,169677500,46257900,101118200,22301400,2.692443187,2.721634601,2.781337415,-0.013715836,44.44451686
7/3/2018,2.88,2.94,2.88,2.92,14.74,1.42,0.09,-,131331700,73525900,41834600,15971200,2.690740012,2.719621555,2.780232584,-0.013471384,52.63160061
8/3/2018,2.92,2.94,2.88,2.94,14.84,1.43,0.09,-,94486900,49869000,33733100,10884800,2.690574777,2.718404708,2.779320737,-0.011667306,55.00006844
9/3/2018,2.94,2.94,2.88,2.9,14.64,1.41,0.09,-,105056800,33404700,45050300,26601800,2.687608418,2.715801077,2.778053984,-0.013038945,47.61903284
12/3/2018,2.94,2.96,2.9,2.94,14.84,1.43,0.09,-,114936400,66209300,32215100,16512000,2.687684075,2.714734052,2.777163815,-0.011046949,52.17395247
13/3/2018,2.94,2.94,2.84,2.88,14.53,1.41,0.09,-,183098000,58726700,104275300,20096000,2.683533225,2.711557149,2.775736543,-0.013737386,48.00006674
14/3/2018,2.88,2.9,2.84,2.84,14.33,1.39,0.09,-,193681400,29274500,100688300,63718600,2.676887818,2.707070317,2.773959493,-0.018606796,44.44444444
15/3/2018,2.82,2.84,2.68,2.78,14.03,1.36,0.09,-,738717400,309271800,385563500,43882100,2.666532908,2.700607716,2.771654164,-0.026586827,42.85713621
16/3/2018,2.82,2.84,2.76,2.76,13.93,1.35,0.09,-,178871500,59816400,70173900,48881200,2.655567604,2.693681294,2.769189784,-0.033995039,37.03704777
19/3/2018,2.78,2.84,2.78,2.78,14.03,1.36,0.09,-,298639800,115675200,162110300,20854300,2.646852712,2.687743753,2.766931916,-0.037952751,29.16673003
20/3/2018,2.78,2.84,2.78,2.8,14.13,1.37,0.09,-,124996000,58925000,48667200,17403800,2.640215122,2.682756314,2.764878504,-0.039161978,29.16676851
21/3/2018,2.84,2.88,2.78,2.82,14.23,1.38,0.09,-,296478400,122398700,149842600,24237100,2.63549495,2.67868167,2.763027503,-0.038204148,31.99996037
22/3/2018,2.82,2.84,2.78,2.8,14.13,1.37,0.09,-,107990200,52802500,41030100,14157600,2.629731034,2.674049606,2.761012941,-0.038477276,34.78261609
23/3/2018,2.78,2.8,2.76,2.78,14.03,1.36,0.09,-,80427200,28807500,26748300,24871400,2.62300357,2.668881935,2.758836434,-0.039711813,34.78261609
26/3/2018,2.78,2.82,2.78,2.8,14.13,1.37,0.09,-,47512700,21113500,17072100,9327100,2.618200529,2.664634174,2.756863574,-0.038767451,40.9090936
27/3/2018,2.8,2.84,2.76,2.76,13.93,1.35,0.09,-,212240000,97644900,83232000,31363100,2.6109531,2.65911848,2.754546364,-0.040503842,31.81824107
28/3/2018,2.76,2.78,2.72,2.74,13.83,1.34,0.09,-,270813000,87006600,131020600,52785800,2.60285624,2.65310183,2.75207022,-0.042861714,27.27272727
29/3/2018,2.7,2.7,2.48,2.52,12.72,1.23,0.09,-,1149349700,453029500,590754300,105565900,2.5799063,2.639431445,2.747616855,-0.060269695,19.3548794
30/3/2018,2.54,2.58,2.44,2.56,12.92,1.25,0.09,-,573194600,302911300,223966400,46316900,2.561535592,2.627731667,2.743571783,-0.070303523,19.35491332
2/4/2018,2.54,2.6,2.52,2.58,13.02,1.26,0.09,-,291906200,131869900,122907000,37129300,2.545984924,2.617207951,2.739748949,-0.075904588,24.13799769
3/4/2018,2.56,2.6,2.54,2.54,12.82,1.24,0.09,-,285186900,134228800,94008300,56949800,2.528816627,2.605662426,2.735600174,-0.082345928,24.13800854
4/4/2018,2.54,2.56,2.36,2.4,12.11,1.17,0.09,-,745976200,267461100,406800800,71714300,2.503120648,2.589548954,2.730218768,-0.096667219,21.21218585
5/4/2018,2.42,2.44,2.36,2.4,12.11,1.17,0.09,-,292392700,121673300,145042400,25677000,2.479401283,2.574067384,2.724890909,-0.106785983,21.87507638
9/4/2018,2.42,2.44,2.34,2.38,12.01,1.16,0.09,-,278498100,122743600,127131700,28622800,2.456099577,2.558475686,2.719434075,-0.114955871,18.75003819
10/4/2018,2.4,2.44,2.38,2.42,12.21,1.18,0.09,-,216474600,64196600,137345700,14932300,2.437404144,2.544929932,2.714395516,-0.117128692,21.21216311
11/4/2018,2.44,2.5,2.42,2.46,12.42,1.2,0.09,-,204022500,91260800,84463000,28298700,2.422960601,2.533349859,2.709771064,-0.11457825,23.52951551
12/4/2018,2.46,2.48,2.42,2.46,12.42,1.2,0.09,-,94547400,43716500,39002700,11828200,2.409628099,2.522223907,2.705192626,-0.111274307,24.24249367
17/4/2018,2.46,2.52,2.44,2.5,12.62,1.22,0.09,-,135014800,66248300,53117600,15648900,2.400135009,2.512968771,2.701023724,-0.104499613,29.41186845
18/4/2018,2.54,2.6,2.52,2.56,12.92,1.25,0.09,-,237720400,148508700,65494500,23717200,2.395592862,2.506228313,2.697442265,-0.093623897,33.33338161
19/4/2018,2.58,2.6,2.46,2.52,12.72,1.23,0.09,-,328777300,143926900,148546600,36303800,2.388586259,2.498317674,2.693532462,-0.086954168,33.33338161
20/4/2018,2.52,2.54,2.48,2.54,12.82,1.24,0.09,-,176830200,98524300,57848300,20457600,2.383525551,2.491434513,2.689843552,-0.079278631,36.11119661
23/4/2018,2.48,2.5,2.42,2.42,12.22,1.18,0.09,-,169632300,54444300,68526900,46661100,2.370412736,2.480517824,2.685099427,-0.081115611,41.93556797
24/4/2018,2.44,2.44,2.38,2.4,12.12,1.17,0.09,-,165988900,31041500,96891600,38055800,2.356901672,2.469311984,2.680220516,-0.083089481,36.6666826
25/4/2018,2.38,2.4,2.34,2.36,11.91,1.15,0.09,-,265190000,74780200,127518400,62891400,2.341616086,2.457111085,2.675026173,-0.086607122,32.25806452
26/4/2018,2.36,2.4,2.36,2.36,11.91,1.15,0.09,-,125645400,46526500,37053300,42065600,2.327506315,2.445388653,2.669883515,-0.088376133,34.48277412
27/4/2018,2.36,2.38,2.3,2.36,11.91,1.15,0.09,-,170237400,36742200,91329900,42165300,2.314481911,2.434125923,2.664792028,-0.088754974,45.45451852
30/4/2018,2.38,2.4,2.36,2.36,11.91,1.15,0.09,-,52366600,17135600,18663100,16567900,2.302459383,2.42330487,2.659751203,-0.088040335,45.45451852
2/5/2018,2.34,2.4,2.34,2.38,12.01,1.16,0.09,-,67987600,33800600,19600300,14586700,2.292768592,2.413625428,2.654942525,-0.085018089,50
3/5/2018,2.36,2.38,2.34,2.34,11.81,1.14,0.09,-,187698900,88288800,77917400,21492700,2.281009468,2.402891096,2.649817723,-0.084599358,40.90911515
4/5/2018,2.34,2.36,2.26,2.26,11.41,1.1,0.09,-,409850100,128217100,216914300,64718700,2.264527277,2.389708739,2.644015965,-0.089143242,29.1667753
7/5/2018,2.26,2.3,2.26,2.3,11.61,1.12,0.09,-,151873000,83146400,32732000,35994600,2.252126708,2.378477804,2.638635904,-0.088769413,34.61538654
8/5/2018,2.3,2.38,2.26,2.36,11.91,1.15,0.09,-,477554400,247607200,196202700,33744500,2.244900735,2.369839029,2.633855339,-0.083087882,37.0369816
9/5/2018,2.34,2.36,2.3,2.36,11.91,1.15,0.09,-,268736800,75923300,101042900,91770600,2.238230606,2.36153903,2.629122341,-0.077689669,29.1666214
10/5/2018,2.36,2.38,2.34,2.36,11.91,1.15,0.09,-,133269900,22783600,53526800,56959500,2.232073564,2.353564522,2.624436438,-0.072574947,31.81817643
11/5/2018,2.36,2.42,2.32,2.42,12.22,1.18,0.09,-,208361700,102849900,60096000,45415800,2.230610901,2.348054499,2.620343129,-0.063363537,37.50004753
14/5/2018,2.4,2.42,2.38,2.38,12.01,1.16,0.09,-,67909600,34651800,24265700,8992100,2.226446917,2.341326052,2.615926572,-0.058342579,44.99996415
15/5/2018,2.4,2.42,2.38,2.42,11.96,1.15,0.092,-,52425800,17861500,19548800,15015500,2.225417073,2.33629597,2.611917939,-0.050825857,52.3809849
16/5/2018,2.4,2.42,2.36,2.38,11.77,1.13,0.092,-,95661200,19649800,44075700,31935700,2.221652614,2.330028642,2.607585214,-0.047275525,52.3809849
17/5/2018,2.38,2.38,2.3,2.3,11.37,1.09,0.092,-,200172000,42009000,120807600,37355400,2.212550096,2.321138102,2.602567648,-0.049791237,44.00002294
18/5/2018,2.3,2.34,2.28,2.32,11.47,1.1,0.092,-,76630900,37213400,24702800,14714700,2.205554698,2.313313468,2.597782,-0.04973578,46.15389629
21/5/2018,2.32,2.44,2.32,2.44,12.06,1.16,0.092,-,250528800,133236900,54077600,63214300,2.207538801,2.310099137,2.59413589,-0.040371504,56.24998727
22/5/2018,2.44,2.48,2.4,2.48,12.26,1.18,0.092,-,196701600,110319500,41572500,44809600,2.212184115,2.308445363,2.59089004,-0.029656696,57.5757468
23/5/2018,2.46,2.48,2.42,2.46,12.16,1.17,0.092,-,153010600,53516800,85856800,13637000,2.21506519,2.306139195,2.587494498,-0.022382951,59.37494271
24/5/2018,2.44,2.46,2.4,2.4,11.87,1.14,0.092,-,116991300,30432300,64751700,21807300,2.213503937,2.301771732,2.58358678,-0.0208061,61.29026425
25/5/2018,2.42,2.44,2.4,2.44,12.06,1.16,0.092,-,92855400,16907200,34533000,41415200,2.21487656,2.299010019,2.580081917,-0.016415575,61.29028053
28/5/2018,2.46,2.56,2.42,2.52,12.46,1.2,0.092,-,326591600,204056400,97090500,25444700,2.221771211,2.299225587,2.577339878,-0.006952589,62.49995926
