Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,195,197.5,195,196.5,20.25,13.98,9.698,6,10600700,6081000,3314700,1205000,194.7477718,195.3788086,196.1588958,-0.540211458,50
24/1/2018,196.5,198,195.5,198,20.41,14.09,9.698,6,5378000,2795000,1914400,668600,194.9979432,195.4816004,196.1772153,-0.200547247,61.76470588
25/1/2018,198,198.5,192.5,193,19.89,13.73,9.698,6,11751700,3761900,6885200,1104600,194.8442553,195.3842827,196.1456012,-0.331003523,45.23809524
26/1/2018,193.5,194.5,193,194,20,13.8,9.698,6,6133000,3008000,2588400,536600,194.7793125,195.3299971,196.1242519,-0.349668657,45.23809524
29/1/2018,195,195.5,193.5,194,20,13.8,9.698,6,4524000,1901500,1397600,1224900,194.7193654,195.2778404,196.1031151,-0.360307509,48.71794872
30/1/2018,193.5,194,192.5,193.5,19.94,13.77,9.698,6,5950700,1718900,1079200,3152600,194.6255681,195.2081211,196.0772135,-0.404422763,48.71794872
31/1/2018,193,194.5,192.5,192.5,19.84,13.7,9.698,6,4256500,1498400,1345600,1412500,194.4620629,195.1019203,196.0416193,-0.51414927,51.35135135
1/2/2018,193.5,195,193,194,20,13.8,9.698,6,3898700,2264700,1064000,570000,194.4265196,195.0587077,196.0213047,-0.47459996,55
2/2/2018,194.5,195.5,193.5,194.5,20.05,13.84,9.698,6,4953500,1988600,2075200,889700,194.4321719,195.0367976,196.0061673,-0.398319447,50
5/2/2018,192,194.5,192,194.5,20.05,13.84,9.698,6,6743300,2913800,2047100,1782400,194.4373894,195.0157468,195.9911806,-0.33401626,52.94117647
6/2/2018,191.5,192.5,190.5,192,18.98,13.66,9.698,6,11362400,4004900,4871400,2486100,194.2498979,194.8974822,195.9514673,-0.479260016,48.64864865
7/2/2018,194,195.5,192,193,19.08,11.4,9.698,6,11280400,4717700,4692500,1870200,194.153752,194.8230711,195.9220995,-0.507821249,52.63157895
8/2/2018,193,194,192,192,18.98,11.34,9.698,6,3680700,1107100,1667000,906600,193.9880787,194.7123624,195.8830736,-0.604183227,47.36842105
9/2/2018,191,192.5,190.5,192.5,19.03,11.37,9.698,6,5161900,2448500,1796000,917400,193.8736111,194.6256031,195.8494112,-0.632909184,42.85714286
12/2/2018,193.5,194,193,193.5,19.13,11.43,9.698,6,3315800,1312000,1509200,494600,193.8448718,194.5814618,195.826034,-0.568430556,41.17647059
13/2/2018,194,196,194,195.5,19.32,11.55,9.698,6,6604600,3332400,2615600,656600,193.9721894,194.6174829,195.8227899,-0.351891111,42.85714286
14/2/2018,196.5,196.5,195,195,19.28,11.52,9.698,6,3338900,820400,1799100,719400,194.0512517,194.6324836,195.8146029,-0.218113585,57.69230769
15/2/2018,195.5,196,194.5,196,19.37,11.58,9.698,6,2323400,781300,1299100,243000,194.2011554,194.6861117,195.8164477,-0.031044428,57.69230769
16/2/2018,196.5,197,195,195,19.28,11.52,9.698,6,1882100,353800,1119800,408500,194.262605,194.698421,195.8083238,0.036101429,53.57142857
19/2/2018,195,195.5,193.5,194,19.18,11.46,9.698,6,2918200,802600,1775200,340400,194.2424046,194.671032,195.7903305,0.00852509,51.72413793
