Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,17.69,18.37,17.69,17.95,15.21,1.32,0.855,8,310712675,152777474,137599217,20335984,20.87606351,20.36765632,19.76148739,0.50059152,63.63636889
24/1/2018,18.03,18.12,17.78,17.95,15.21,1.32,0.855,8,78891408,39176122,32026940,7688346,20.90867395,20.40421879,19.77679597,0.459790415,56.36363258
25/1/2018,18.03,18.03,17.53,17.69,15,1.3,0.855,8,102225374,35822454,56076311,10326608,20.91569903,20.42758276,19.78896715,0.398652398,51.7857228
26/1/2018,17.69,18.45,17.53,18.45,15.64,1.35,0.855,8,197117375,111850225,69993947,15273202,20.99141446,20.4853246,19.80997245,0.418004037,61.29032853
29/1/2018,18.71,18.96,18.45,18.96,16.07,1.39,0.855,8,184701638,89031569,61913838,33756231,21.10745951,20.56433147,19.83673889,0.476265276,58.62069646
30/1/2018,18.79,19.04,18.62,18.96,16.07,1.39,0.855,8,174781984,79320437,75634227,19827320,21.214578,20.64024004,19.863239,0.516484022,57.14285714
31/1/2018,18.79,19.38,18.62,19.21,16.28,1.41,0.855,8,213522312,120527178,73676834,19318300,21.33653348,20.72493648,19.8924605,0.56604014,58.62069646
1/2/2018,19.13,19.21,18.87,18.96,16.07,1.39,0.855,8,144081177,60682293,51421315,31977569,21.42603091,20.79454682,19.91840617,0.574483996,56.66666455
2/2/2018,18.87,18.96,18.37,18.37,15.57,1.35,0.855,8,168335034,69541775,81137432,17655827,21.4547977,20.83397632,19.93712848,0.51871221,46.77417966
5/2/2018,17.86,18.37,17.69,18.2,15.42,1.34,0.855,8,198029314,95534536,72395324,30099454,21.46596714,20.86401648,19.95367447,0.453150791,44.44445117
6/2/2018,17.53,18.37,17.44,18.2,15.42,1.34,0.855,8,312477925,126230477,136787681,49459767,21.47627739,20.8928786,19.97005583,0.396620896,45.90163832
7/2/2018,18.45,18.45,17.69,17.69,15,1.3,0.855,8,137839900,48875623,69156421,19807857,21.43964067,20.89707944,19.98030403,0.299947917,37.09676874
8/2/2018,17.78,17.95,17.44,17.53,14.85,1.29,0.855,8,174259198,61255281,94000356,19003560,21.39043748,20.89327237,19.9884602,0.204834292,47.91665839
9/2/2018,17.27,17.86,17.27,17.69,15,1.3,0.855,8,150213031,71824472,54946238,23442321,21.36040383,20.89745777,19.99852527,0.143935254,52.08334161
12/2/2018,17.78,17.95,17.53,17.86,15.14,1.31,0.855,8,89520057,43284951,38585806,7649300,21.34806513,20.9093222,20.01048025,0.110536521,48.88890584
13/2/2018,17.95,18.2,17.78,17.78,15.07,1.3,0.855,8,101294920,40824472,51205317,9265132,21.32898323,20.91679977,20.02132125,0.075132508,47.82609958
14/2/2018,17.86,17.95,17.53,17.53,14.85,1.29,0.855,8,63717897,17007358,35463209,11247330,21.28829215,20.91221936,20.02906929,0.022606396,47.82607975
15/2/2018,17.61,18.37,17.61,18.37,15.57,1.35,0.855,8,115963090,58120342,34468194,23374555,21.32765423,20.94703426,20.04669048,0.060967916,48.93616676
16/2/2018,18.45,18.54,18.12,18.28,15.5,1.34,0.855,8,93189888,39181225,41619511,12389153,21.35629627,20.97656236,20.06314133,0.082351361,40.47620129
19/2/2018,18.37,18.45,18.03,18.2,15.42,1.34,0.855,8,54652979,23381557,23937218,7334204,21.37504274,21.00101091,20.07843346,0.090189056,39.53489094
20/2/2018,18.28,18.37,18.03,18.12,15.35,1.33,0.855,8,71276644,25701519,39609779,5965345,21.38465484,21.02057911,20.0925784,0.087324667,34.14635962
21/2/2018,18.2,18.28,17.78,17.95,15.21,1.32,0.855,8,73030145,30200688,35917636,6911821,21.37814287,21.03153676,20.10459254,0.068130857,35.00000477
22/2/2018,17.95,18.79,17.78,18.2,15.42,1.34,0.855,8,209287562,83659862,106602302,19025398,21.39520883,21.05382945,20.11947222,0.076248268,47.22224135
23/2/2018,18.28,18.79,17.86,18.71,14.51,1.37,0.855,8,186592215,100932115,70305127,15354973,21.45711591,21.09877734,20.14017399,0.129602414,57.49999404
26/2/2018,18.79,19.97,18.62,19.8,15.35,1.42,0.855,8,312814147,190025635,103388203,19400309,21.61426084,21.19294294,20.1736051,0.273630789,67.92450793
27/2/2018,19.72,20.14,19.55,19.55,15.16,1.4,0.855,8,193779255,81454664,87071564,25253026,21.73624083,21.27165109,20.20371849,0.359423669,71.99999084
28/2/2018,19.55,20.05,19.55,19.8,15.35,1.42,0.855,8,137810586,62542725,54940541,20327320,21.87191461,21.35903732,20.23651731,0.44647588,76.47058384
2/3/2018,19.55,19.8,19.13,19.13,14.83,1.37,0.934,8,104499288,29617256,57723000,17159032,21.93561355,21.41162412,20.26102958,0.445773532,64.9122854
5/3/2018,19.3,19.8,19.13,19.55,15.16,1.4,0.934,8,144296701,71389390,56682174,16225136,22.0328741,21.48175654,20.29027308,0.48002926,66.66666667
