Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,31.25,31.5,30.5,30.75,51.24,4.39,1.17,8,19829300,6899400,8856200,4073700,30.50322317,30.43035598,30.30926333,0.010581051,52.63157895
24/1/2018,30.5,31,30.5,31,51.65,4.43,1.17,8,9078600,2172200,3518900,3387500,30.54143677,30.45269496,30.31613634,0.048833213,52.63157895
25/1/2018,30.75,31,29.75,30,49.99,4.29,1.17,8,14183400,2722700,9079800,2380900,30.49978779,30.43494222,30.3129907,-0.001525727,45
26/1/2018,30,30.25,29.25,29.75,49.57,4.25,1.17,8,28164700,13071200,12115200,2978300,30.4421118,30.40808174,30.3073888,-0.06090637,46.15384615
29/1/2018,30.25,30.25,29.5,29.75,49.57,4.25,1.17,8,10311500,3650700,5087200,1573600,30.38887243,30.38227461,30.30184265,-0.106735577,46.15384615
30/1/2018,29.5,29.75,29.25,29.5,49.15,4.22,1.17,8,10839500,4332300,5442100,1065100,30.32049763,30.34767561,30.29386411,-0.16136831,38.88888889
31/1/2018,29.25,30.25,29.25,29.5,49.15,4.22,1.17,8,26743900,15193600,8597600,2952700,30.25738243,30.31443342,30.28596497,-0.202332778,35.29411765
1/2/2018,29.75,30,29.25,29.25,48.74,4.18,1.17,8,11984800,3780700,6419100,1785000,30.17989147,30.27269094,30.27565686,-0.252064681,30.3030303
2/2/2018,29.25,30.25,29.25,29.25,48.74,4.18,1.17,8,31744500,14737300,13162300,3844900,30.10836136,30.23258541,30.26545132,-0.28815589,35.71428571
5/2/2018,28.75,29.25,28.5,29,48.32,4.14,1.17,8,14032500,5361300,6140100,2531100,30.02310279,30.18424873,30.25285976,-0.33309167,43.47826087
6/2/2018,28.25,29.5,28,29.5,49.15,4.22,1.17,8,31786600,16056800,12287800,3442000,29.98286412,30.15741544,30.24536862,-0.32461581,45.83333333
7/2/2018,30,30.25,29.5,30,49.99,4.29,1.17,8,22786500,6189800,9184500,7412200,29.98418226,30.15124229,30.24292714,-0.274389813,59.09090909
8/2/2018,30,30.25,29.5,29.5,49.15,4.22,1.17,8,7827300,1934700,4540300,1352300,29.94693747,30.12570338,30.23553483,-0.271798051,47.61904762
9/2/2018,29,30,29,30,49.99,4.29,1.17,8,12835600,4819200,3487300,4529100,29.95101921,30.12077383,30.2331912,-0.226784015,38.88888889
12/2/2018,30,30.5,29.5,30.5,50.82,4.36,1.17,8,15696200,9342900,3853500,2499800,29.9932485,30.13564545,30.23584601,-0.149046135,47.36842105
13/2/2018,30.75,31,30,30.25,50.4,4.32,1.17,8,17029400,3861400,9376200,3791800,30.01299861,30.14012994,30.23598685,-0.106384876,42.10526316
14/2/2018,30.25,30.5,29.25,29.5,49.15,4.22,1.17,8,18104000,5862900,11019200,1221900,29.97353718,30.1150268,30.2286636,-0.13157751,44.44444444
15/2/2018,29.75,30,29,29.75,49.57,4.25,1.17,8,6727400,2382600,3237000,1107800,29.95634201,30.10071203,30.22390078,-0.12987285,50
16/2/2018,29.75,30.5,29.5,30,49.99,4.29,1.17,8,12573800,7298000,4397200,878600,29.95970032,30.09676254,30.22167291,-0.107114238,52.63157895
19/2/2018,30.25,30.75,30,30.25,50.4,4.32,1.17,8,13762200,6058600,6087500,1616100,29.98203106,30.10277185,30.22195477,-0.068119721,57.89473684
20/2/2018,30.5,30.5,29.75,30,49.99,4.29,1.17,8,6466900,1725000,3538100,1203800,29.98341329,30.09874158,30.21974626,-0.056735188,55
21/2/2018,30,30.25,29.25,29.25,48.74,4.18,1.17,8,12122500,3868100,6073500,2180900,29.92699688,30.0654576,30.21009705,-0.106998188,50
22/2/2018,29.25,29.5,28.5,28.75,47.9,4.11,1.17,8,12164000,2189900,8373400,1600700,29.83645866,30.01387102,30.19556872,-0.185044718,45.83333333
23/2/2018,29,29.5,28.75,29.25,48.74,4.18,1.17,8,6577700,3475500,2018400,1083800,29.79134646,29.9839153,30.18616007,-0.204197472,52
26/2/2018,29.5,30,29.25,29.5,49.15,4.22,1.17,8,8320100,3795200,3264700,1260200,29.76893519,29.96493823,30.17933261,-0.196933135,50
27/2/2018,30,30.5,29.5,29.5,49.15,4.22,1.17,8,22436700,11533300,8825500,2077900,29.74824787,29.94670536,30.17257308,-0.188997451,45.45454545
28/2/2018,29.5,29.75,28.75,28.75,47.9,4.11,1.17,8,14679900,3706800,8637300,2335800,29.67145957,29.89977573,30.15841813,-0.240455277,43.47826087
2/3/2018,28.5,29.25,28,28.75,35.24,4.11,0.816,8,12263300,5724300,4719700,1819300,29.60057807,29.85468649,30.14440402,-0.278031006,38.0952381
5/3/2018,28.75,29.5,28.5,29.25,35.85,4.09,0.816,8,10894100,6724800,3249700,919600,29.57361052,29.83097329,30.13550447,-0.264416196,38.0952381
6/3/2018,29.5,29.75,28.5,28.75,35.24,4.02,0.816,8,11090100,3615100,5817900,1657100,29.51025587,29.78858218,30.12171836,-0.290622072,36.36363636
7/3/2018,28.5,28.75,28,28.25,34.63,3.95,0.816,8,7143500,2169800,3555900,1417800,29.41331311,29.72824563,30.1030943,-0.347727848,38.0952381
8/3/2018,28.5,28.5,25.25,25.5,31.26,3.56,0.816,8,65498800,24405800,36259300,4833700,29.11228902,29.56243207,30.05729236,-0.60787935,22.58064516
9/3/2018,26,26.25,24.3,25.25,30.95,3.53,0.816,8,57979800,21607200,32471400,3901200,28.81518987,29.39331709,30.00945861,-0.824717372,19.35483871
12/3/2018,26,26.25,25.25,26,31.87,3.63,0.816,8,25558200,11542100,10088800,3927300,28.5986368,29.26024583,29.9695635,-0.925377162,24.24242424
13/3/2018,26,27.5,25.75,27.5,33.71,3.84,0.816,8,24523500,14644800,7167600,2711100,28.51412628,29.19121658,29.94499073,-0.874037942,36.84210526
14/3/2018,27.25,28.25,27,27.75,34.02,3.88,0.816,8,19721600,9790800,7260100,2670700,28.45534733,29.13469829,29.92315002,-0.80391134,41.66666667
15/3/2018,27.75,28,27.25,27.25,33.4,3.81,0.816,8,7194700,2575700,3768600,850400,28.36262831,29.06078855,29.89655151,-0.779693503,41.66666667
