Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,51.75,53,51.25,51.75,35.54,6.28,1.456,7,3893800,1394500,2225600,273700,54.66767029,56.10918013,57.78252902,-1.605276114,29.23076923
24/1/2018,51.25,52.25,51,52,35.71,6.31,1.456,7,1834300,707700,840200,286400,54.46246488,55.94803581,57.72499142,-1.578087925,37.03703704
25/1/2018,52,52,50.75,50.75,34.85,6.16,1.456,7,1366200,469500,686400,210300,54.17689066,55.74419127,57.65558852,-1.638517828,36.36363636
26/1/2018,50.5,50.5,49,49.5,33.99,6.01,1.456,7,5679900,2408900,2967000,304000,53.81712984,55.49932102,57.57443839,-1.766905726,41.66666667
29/1/2018,49.5,51.75,49.5,51.5,35.37,6.25,1.456,7,3925000,2244500,1343700,336800,53.63888909,55.3424849,57.51399621,-1.687814698,44
30/1/2018,51.25,51.5,50.5,51.5,35.37,6.25,1.456,7,1516500,453300,854300,208900,53.47435916,55.19179922,57.45415546,-1.606614437,45.83333333
31/1/2018,51.25,52,50.75,51.75,35.54,6.28,1.456,7,1764000,859000,745700,159300,53.34171614,55.0568267,57.39739769,-1.504743983,42.22222222
1/2/2018,52,53.5,51.75,52.5,36.05,6.37,1.456,7,5476100,2981500,2120100,374500,53.27696875,54.95655899,57.34866736,-1.347953809,48.88888889
2/2/2018,52.25,52.5,50.25,50.5,34.68,6.13,1.456,7,5626500,2328700,2428300,869500,53.06335577,54.78179197,57.28052142,-1.369295368,35.41666667
5/2/2018,49.5,49.75,48.25,48.75,33.48,5.91,1.456,7,10639100,4971400,4960400,707300,52.73155917,54.54525111,57.19564061,-1.510012596,26.92307692
6/2/2018,47.25,48.75,47,48.75,33.48,5.91,1.456,7,4984100,2069600,2282800,631700,52.42528539,54.31798636,57.11160439,-1.603053016,29.78723404
7/2/2018,50,50.5,48.25,48.75,33.48,5.91,1.456,7,13145000,4107600,6282400,2755000,52.14257113,54.09963395,57.02840434,-1.657679521,33.33333333
8/2/2018,49.25,50.5,49.25,50.5,34.68,6.13,1.456,7,6963700,3413700,2882300,667700,52.0162195,53.95847184,56.9634451,-1.541985991,45.65217391
9/2/2018,49.25,50.5,49.25,50,34.34,6.07,1.456,7,4267300,2210700,1621700,434900,51.86112569,53.80323765,56.89415708,-1.473656462,43.75
12/2/2018,50.25,51.5,49.75,50.5,34.68,6.13,1.456,7,4170300,2176000,1574800,419500,51.75642372,53.67369892,56.83053363,-1.363442085,44.89795918
13/2/2018,50.75,52,50.75,51.25,35.2,6.22,1.456,7,4262800,1999500,2016800,246500,51.71746805,53.5786519,56.77500593,-1.201724928,47.05882353
14/2/2018,51.5,52,50.5,50.5,34.68,6.13,1.456,7,2913800,1117200,1490500,306100,51.62381666,53.45792045,56.71256806,-1.121157641,48.97959184
15/2/2018,51,51.25,50,50.5,34.68,6.13,1.456,7,3281900,1787300,1144900,349700,51.53736922,53.34192357,56.65075147,-1.045258397,54.54545455
16/2/2018,50.75,51,50.5,51,35.02,6.19,1.456,7,1502000,441700,710700,349600,51.49603313,53.25008343,56.59452508,-0.933995361,47.36842105
19/2/2018,51.25,51.75,51,51.25,35.2,6.22,1.456,7,2494800,1355200,922900,216700,51.4771075,53.17164879,56.54134573,-0.816236625,48.71794872
20/2/2018,51.25,52,51,51,35.02,6.19,1.456,7,2258900,1018200,1099800,140900,51.44040693,53.08648609,56.48620796,-0.734616685,46.15384615
