Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,24.2,24.5,24,24.1,14.15,1.22,1.704,5,35675800,11104300,18037700,6533800,24.49504454,24.61135896,24.74365793,-0.138173721,33.33336361
24/1/2018,24,24.3,23.9,24.1,14.15,1.22,1.704,5,33132700,15259000,14237100,3636600,24.46465653,24.59130568,24.73725337,-0.149001756,38.88890655
25/1/2018,24,24.1,23.6,23.6,13.85,1.2,1.704,5,59348600,18201800,36641200,4505600,24.39814452,24.55243096,24.72593742,-0.195673274,31.81820546
26/1/2018,23.6,24.2,23.6,23.9,14.03,1.21,1.704,5,37214100,24085300,8999200,4129600,24.35982568,24.52684542,24.71771914,-0.20607782,43.47823924
29/1/2018,24,24,23.8,23.9,14.03,1.21,1.704,5,14074900,5648400,5038900,3387600,24.32445444,24.50226323,24.70958262,-0.211881064,40.90911061
30/1/2018,23.8,24.1,23.7,23.8,13.97,1.21,1.704,5,37518300,15853900,13032000,8632400,24.28411174,24.47472347,24.70053204,-0.221990405,29.99999046
31/1/2018,23.7,23.9,23.6,23.6,13.85,1.2,1.704,5,35636200,22883300,9862300,2890600,24.23148779,24.4404206,24.68958148,-0.243335348,27.27273515
1/2/2018,23.7,23.8,23.6,23.6,13.85,1.2,1.704,5,29715300,16464500,7777300,5473500,24.18291183,24.40746294,24.67873988,-0.257285542,30.00001907
2/2/2018,23.6,23.8,23.3,23.4,13.73,1.19,1.704,5,38707900,15977900,15841700,6888300,24.12268782,24.36795458,24.66601609,-0.281237629,27.27273515
5/2/2018,23.2,23.4,23.1,23.2,13.62,1.18,1.704,5,27032300,9361500,12670500,5000300,24.05171189,24.32215247,24.65142887,-0.312752846,26.08698176
6/2/2018,22.7,23.2,22.5,23.1,13.56,1.17,1.704,5,47002800,21974700,16804900,8223200,23.97850331,24.27422494,24.63599178,-0.341857359,14.28568834
7/2/2018,23.1,23.3,22.7,22.9,13.44,1.16,1.704,5,26148200,11101900,11793600,3252700,23.89554149,24.22033375,24.61871822,-0.376718707,14.99997616
8/2/2018,22.8,23.1,22.7,22.8,13.38,1.16,1.704,5,23646400,12571300,8397400,2677700,23.81126901,24.16463435,24.60062152,-0.407715876,14.28568834
9/2/2018,22.6,23,22.5,22.8,13.38,1.16,1.704,5,28661400,16158600,8783700,3719100,23.73347903,24.11111925,24.58270488,-0.427355073,14.99996185
12/2/2018,23,23.3,22.9,23,13.5,1.17,1.704,5,22954400,9593200,7314000,6047200,23.67705756,24.06754595,24.56695657,-0.421917288,23.80951948
13/2/2018,23.1,23.4,23,23.1,13.56,1.17,1.704,5,28559900,8745600,10193900,9620400,23.63266855,24.02960298,24.55235999,-0.404871503,27.27273515
14/2/2018,23.1,23.2,22.9,23,13.5,1.17,1.704,5,16679200,3552600,5152400,7974200,23.58400174,23.9892264,24.53691362,-0.394879861,33.33333333
15/2/2018,23,23.1,22.6,22.9,13.44,1.16,1.704,5,22112800,8586200,11563700,1962900,23.53138619,23.94651162,24.52062592,-0.390528834,18.7500447
16/2/2018,22.9,23,22.8,22.8,13.38,1.16,1.704,5,8344500,2928600,3172100,2243800,23.47512565,23.90155035,24.50350526,-0.390646678,17.64709842
19/2/2018,22.8,23.8,22.8,23.5,13.79,1.19,1.704,5,44074800,27157100,14168100,2749600,23.47703907,23.88580328,24.49352013,-0.330446674,43.47828611
20/2/2018,23.5,23.6,22.9,22.9,13.44,1.16,1.704,5,26846900,5463500,15331300,6052100,23.43265142,23.84714431,24.4776642,-0.327378934,37.03704489
21/2/2018,23,23.3,22.8,22.9,13.44,1.16,1.704,5,25822900,11347500,10984100,3491300,23.3916782,23.81000138,24.46196605,-0.321244619,37.03704489
22/2/2018,22.9,23.2,22.7,22.7,13.32,1.15,1.704,5,17989300,6669500,7718300,3601500,23.33847224,23.76647195,24.44443406,-0.32873195,37.03707105
23/2/2018,22.8,23.1,22.7,22.8,13.38,1.16,1.704,5,21325600,10411600,7519000,3395000,23.29705124,23.72857106,24.42807152,-0.322874773,42.30766974
26/2/2018,22.9,23.1,22.6,22.7,13.32,1.15,1.704,5,37015800,15896400,15044900,6074500,23.25112428,23.68823497,24.41087679,-0.322583418,42.30770077
27/2/2018,22.8,23.2,22.7,22.9,12.92,1.15,1.704,5,33554300,16603900,12016300,4934100,23.22411469,23.65732378,24.39584318,-0.30272466,50
28/2/2018,22.9,23,22.6,22.9,12.92,1.15,1.704,5,28988700,14246600,10192600,4549500,23.19918276,23.62762479,24.38095917,-0.28371595,52.00000916
2/3/2018,22.8,22.9,22.6,22.7,12.81,1.14,1.772,5,15872400,4346900,8111900,3413600,23.16078415,23.59124738,24.36423321,-0.28154418,48.14817431
5/3/2018,22.7,22.8,22.5,22.7,12.81,1.14,1.772,5,15499600,6242400,7699800,1557400,23.12533927,23.55629653,24.34767369,-0.276634171,44.0000061
6/3/2018,22.8,23.9,22.8,23.8,13.43,1.2,1.772,5,89443700,51884300,32669600,4889800,23.17723619,23.5658535,24.34222419,-0.181885605,60
7/3/2018,24.2,24.5,24,24.1,13.6,1.21,1.772,5,99051800,33829600,47946300,17275900,23.24821805,23.58680043,24.339814,-0.081647913,64.86488994
8/3/2018,24.2,24.3,23.6,24,13.54,1.21,1.772,5,45724600,13656700,17157500,14910400,23.30604743,23.60300434,24.33643277,-0.010160886,64.86488994
9/3/2018,24.1,24.3,23.9,24.1,13.6,1.21,1.772,5,30977600,14816700,12333900,3827000,23.36712074,23.62249438,24.33408021,0.0539405,67.56760658
12/3/2018,24.3,24.4,24.1,24.2,13.66,1.22,1.772,5,23197000,10184900,10177600,2834500,23.43118843,23.64514169,24.33274608,0.111524916,61.29035434
13/3/2018,24.2,24.2,24,24.2,13.66,1.22,1.772,5,17333400,6080300,8185600,3067500,23.49032784,23.66690087,24.33142523,0.155369972,76.0000824
14/3/2018,24.2,25.75,24.2,25.5,14.39,1.28,1.772,5,196102000,104584000,75564400,15953600,23.64491801,23.73878711,24.34305284,0.291654556,84.21058972
15/3/2018,25.5,25.75,25,25,14.11,1.26,1.772,5,55941400,27682300,19824900,8434200,23.74915508,23.78824644,24.34958963,0.355220489,78.04880772
16/3/2018,25.25,26.25,25,26.25,14.81,1.32,1.772,5,121710100,63851100,35569900,22289100,23.94152777,23.88478579,24.36849919,0.500689862,82.857174
19/3/2018,26.25,26.5,26,26,14.67,1.31,1.772,5,55435100,26571100,22067500,6796500,24.09987179,23.96773537,24.38473303,0.589012705,80.55556144
20/3/2018,26,26.25,25.5,26,14.67,1.31,1.772,5,48715100,18111100,24676800,5927200,24.2460355,24.04743202,24.40080533,0.651499118,79.80770254
21/3/2018,26,26.25,25.25,25.25,14.25,1.27,1.772,5,39011400,11203000,21211700,6596700,24.32326354,24.09459155,24.40925503,0.633202158,69.74790616
22/3/2018,25.25,25.75,25,25.25,14.25,1.27,1.772,5,56349400,23042600,27665300,5641500,24.39455096,24.13990169,24.41762065,0.611650954,72.17390641
23/3/2018,25,25.5,24.9,25,14.11,1.26,1.772,5,64194700,28714200,27740900,7739600,24.44112396,24.17363103,24.42341547,0.567852707,69.16666031
26/3/2018,25.25,25.25,24.8,25,14.11,1.26,1.772,5,37671900,11344600,17109100,9218200,24.48411442,24.20603766,24.42915263,0.527066584,62.24490193
