Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
11/3/2020,36,36.5,35.25,35.25,19.99,0,-,-,25806600,7426300,15543000,2837300,37.55898315,39.09015972,40.94343648,-1.497249961,37.5
12/3/2020,33.5,33.75,29,30,17.02,0,-,-,48772700,14611700,26057200,8103800,36.9775229,38.73368287,40.83454656,-1.877057325,31.70731707
13/3/2020,28.25,31.5,26,31,17.58,0,-,-,44938600,19428000,21510200,4000400,36.51771345,38.43040118,40.73669038,-2.073464151,39.81481481
16/3/2020,30.75,32.25,29,29.25,16.59,0,-,-,34786900,12053100,18627600,4106200,35.95865857,38.07038545,40.62239495,-2.343316061,35.71428571
17/3/2020,29.5,30.25,29,29,16.45,0,-,-,29290800,8030300,15246000,6014500,35.42337714,37.71468406,40.50674923,-2.547977061,42.55319149
18/3/2020,29.5,29.5,25.5,26,14.75,0,-,-,37312600,15346700,17700000,4265900,34.69850198,37.25528469,40.36240347,-2.918603462,34
19/3/2020,24.7,24.8,23.4,23.5,13.33,0,-,-,47321700,23271300,18955900,5094500,33.83707875,36.71586176,40.19461836,-3.375150033,34
20/3/2020,24.5,26.25,23.8,24.7,14.01,0,-,-,55924100,29798100,19323100,6802900,33.13422659,36.24465152,40.04044306,-3.598653411,33.19838263
23/3/2020,21,21.5,21,21,11.91,0,-,-,45019600,16080800,13984200,14954600,32.20082455,35.64682205,39.85098591,-4.027909356,22.75334767
24/3/2020,21.9,22.8,20.7,21,11.91,0,-,-,37671300,16018600,17813600,3839100,31.33922266,35.07243687,39.66341392,-4.318318892,16.35610979
25/3/2020,21.7,24.1,21.3,24.1,13.67,0,-,-,47287600,24228600,20622300,2436700,30.78235941,34.64214525,39.50855408,-4.249342643,26.35514259
26/3/2020,25,27,24.8,26.5,15.03,0,-,-,61833900,29702800,26852200,5278900,30.45294715,34.32284543,39.37911573,-3.955422903,32.69896285
27/3/2020,27,28,25,25,14.18,0,-,-,45979200,18571300,23330800,4077100,30.03348967,33.95724365,39.23603995,-3.79972598,32.9842941
30/3/2020,25.25,26.5,25,26.5,15.03,0,-,-,30906100,15012800,12694200,3199100,29.76168278,33.66480272,39.10931319,-3.514781371,32.39436714
31/3/2020,27.5,29,27,28,15.88,0,-,-,30319900,14380700,11485900,4453300,29.62616872,33.4426536,38.99877276,-3.131821562,37.34729561
1/4/2020,27.5,28.25,26.5,27,15.31,0,-,-,20430900,8744900,9008700,2677300,29.42415574,33.19000051,38.87938198,-2.875863631,43.8524594
2/4/2020,27.25,28.75,27,28.5,16.16,0,-,-,24447900,14638400,8082700,1726800,29.35306683,33.00607893,38.77610455,-2.522895297,44.97991999
3/4/2020,28.75,28.75,27.25,27.75,15.74,0,-,-,10524300,3715900,5584800,1223600,29.229754,32.79995818,38.66639207,-2.27743127,46.86192489
7/4/2020,29.25,31.75,28.75,31.75,18.01,0,-,-,31809600,14043100,14200500,3566000,29.42361908,32.75878335,38.59757225,-1.740074198,54.97287495
8/4/2020,31.75,33.5,30,31.75,18.01,0,-,-,33412400,13954500,15306700,4151200,29.60257146,32.71922322,38.5294372,-1.29923804,61.66328528
9/4/2020,32.5,33.25,31,31.75,18.01,0,-,-,39921400,18112000,19213200,2596200,29.76775827,32.68121447,38.46198011,-0.939047453,68.62302355
10/4/2020,32,34.5,31.5,34,19.28,0,-,-,47621400,25049300,19645400,2926700,30.09331532,32.73293155,38.4175823,-0.466658277,70.04310114
13/4/2020,33.5,34,32.5,33.25,18.86,0,-,-,22025400,11785600,8050300,2189500,30.33613722,32.75320874,38.36616357,-0.151063813,80.24691358
14/4/2020,34,34.75,32.25,33,18.72,0,-,-,45709400,20805600,21241800,3662000,30.54104974,32.76288683,38.31276891,0.077975311,79.26829268
15/4/2020,33.25,33.5,31.5,31.75,18.01,0,-,-,29640600,12387000,15105700,2147900,30.63404592,32.72316578,38.24746772,0.156818212,70.50938277
16/4/2020,31.5,32.5,31.25,31.5,17.87,0,-,-,25243300,13268300,8980300,2994700,30.70065777,32.67519849,38.18032874,0.196859593,65.15151515
