Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,220,221,219,221,10.72,1.35,20.608,7,265700,96900,129500,39300,219.1357666,219.3897338,219.7996275,-0.059406938,51.85185185
24/1/2018,219,221,218,219,10.63,1.34,20.608,7,405000,110200,227400,67400,219.1253231,219.3744501,219.791671,-0.062015573,53.84615385
25/1/2018,220,221,219,219,10.63,1.34,20.608,7,403800,111300,194500,98000,219.1156828,219.3597658,219.7837937,-0.063352645,56
26/1/2018,219,221,218,221,10.72,1.35,20.608,7,498900,124100,191000,183800,219.2606303,219.4240887,219.7958953,0.095865918,57.69230769
29/1/2018,222,223,221,222,10.77,1.36,20.608,7,718500,177200,332900,208400,219.471351,219.5251048,219.8178266,0.299289397,61.53846154
30/1/2018,222,222,219,220,10.68,1.35,20.608,7,795000,253200,392500,149300,219.5120163,219.5437282,219.8196393,0.295711902,53.84615385
31/1/2018,219,220,218,218,10.58,1.34,20.608,7,544500,140800,213000,190700,219.3957074,219.4831898,219.8015335,0.129994926,39.13043478
1/2/2018,219,219,217,218,10.58,1.34,20.608,7,276000,73200,130400,72400,219.2883453,219.4250255,219.7836077,-0.001321736,47.36842105
2/2/2018,217,220,217,220,10.68,1.35,20.608,7,642300,225800,196200,220300,219.343088,219.4475735,219.7857609,0.055354062,55
5/2/2018,218,219,217,219,10.63,1.34,20.608,7,456300,177000,136200,143100,219.3166966,219.4300216,219.7779424,0.019355281,52.38095238
6/2/2018,218,218,215,218,10.58,1.34,20.608,7,927300,305400,367100,254800,219.2154122,219.3739424,219.7602514,-0.088841544,45
7/2/2018,218,218,216,216,10.48,1.32,20.608,7,665400,258600,268900,137900,218.9680728,219.2416309,219.722836,-0.332142857,47.36842105
8/2/2018,217,218,216,217,10.53,1.33,20.608,7,851800,462500,258100,131200,218.8166826,219.1537238,219.6957431,-0.43920636,47.36842105
9/2/2018,216,220,216,218,10.58,1.34,20.608,7,1024700,568100,330400,126200,218.7538609,219.1084797,219.67887,-0.438310742,44.44444444
12/2/2018,219,222,218,221,10.72,1.35,20.608,7,952200,401700,354300,196200,218.9266408,219.182657,219.6920156,-0.193297813,50
13/2/2018,221,223,220,221,10.72,1.35,20.608,7,1420400,442300,804200,173900,219.08613,219.2539253,219.7050304,0.000866708,55.55555556
14/2/2018,223,223,221,221,10.72,1.35,20.608,7,974600,433100,321800,219700,219.2333507,219.3223989,219.7179156,0.152980031,55.55555556
15/2/2018,222,230,222,229,11.11,1.4,20.608,7,1696600,984900,519300,192400,219.9846315,219.7019126,219.8102747,0.908590411,66.66666667
16/2/2018,229,241,226,241,11.69,1.48,20.608,7,3974800,2104200,1210400,660200,221.6011983,220.5371317,220.0211177,2.447503497,77.14285714
19/2/2018,235,246,235,239,11.6,1.46,20.608,7,2686600,1307500,1138600,240500,222.9395676,221.2611658,220.2099623,3.465768695,77.14285714
20/2/2018,240,240,231,231,10.29,1.42,20.608,7,2244700,724700,1271200,248800,223.5596009,221.6430809,220.3173259,3.585882241,65.85365854
21/2/2018,233,238,231,233,10.38,1.42,20.608,7,2974600,1371900,1202400,400300,224.2857854,222.0884502,220.4435216,3.798667701,67.44186047
22/2/2018,235,236,229,232,10.33,1.42,20.608,7,1473400,516400,805700,151300,224.8791866,222.4771385,220.5585115,3.842318215,64.28571429
