Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,77.51,77.73,75.73,75.95,44.48,3.38,1.018,7,7904591,3225390,3930407,748793,68.75456547,66.61151449,64.51446899,3.132437442,77.77777009
24/1/2018,75.95,77.51,75.95,76.62,44.87,3.41,1.018,7,8476821,3769783,3978785,728252,69.35919123,67.00379629,64.6348693,3.288969685,78.43136531
25/1/2018,76.62,76.84,73.28,73.72,43.18,3.28,1.018,7,11597822,4493883,6430464,673476,69.69459003,67.26715234,64.7252624,3.143161697,66.34614276
26/1/2018,73.5,74.17,71.49,73.5,43.04,3.27,1.018,7,17363340,8141542,8146818,1074980,69.98705682,67.51144669,64.81253997,2.975338542,68.99998938
29/1/2018,74.17,75.95,74.17,75.73,44.35,3.37,1.018,7,8474127,4533393,3314626,626108,70.42834716,67.83350098,64.92111003,2.987612382,76.69902138
30/1/2018,75.06,75.5,74.17,74.84,43.83,3.33,1.018,7,5865080,2724548,2407116,733416,70.76716368,68.10798965,65.01973542,2.89211529,72.81552494
31/1/2018,74.39,74.84,73.94,74.17,43.44,3.3,1.018,7,5298013,2343810,2329779,624425,71.02852111,68.34551203,65.11073119,2.731037189,62.65060241
1/2/2018,74.39,75.06,73.5,73.5,43.04,3.27,1.018,7,4590751,1684140,2241666,664946,71.21837782,68.54751776,65.19417325,2.520413603,62.65060241
2/2/2018,73.5,74.17,71.05,72.39,42.39,3.22,1.018,7,10314401,3794253,5440117,1080031,71.30796967,68.69793165,65.26570458,2.237839357,57.64705882
5/2/2018,70.38,71.94,70.16,71.27,41.74,3.17,1.018,7,7783477,3291278,3295993,1196206,71.30500935,68.7987769,65.3254437,1.902113731,54.44444444
6/2/2018,68.82,71.94,68.38,71.72,42,3.19,1.018,7,13830621,6697609,4888315,2244696,71.33654094,68.91313545,65.38902057,1.652937564,43.83561644
7/2/2018,72.83,74.39,71.94,72.83,42.65,3.24,1.018,7,12833876,5904142,5523067,1406667,71.45130752,69.06667942,65.46304531,1.527710282,48.68421053
8/2/2018,73.28,74.84,72.16,73.94,43.31,3.29,1.018,7,7711864,4112920,2989112,609833,71.64290639,69.2578721,65.54741394,1.501021041,40
9/2/2018,72.83,74.39,72.61,73.94,43.31,3.29,1.018,7,7764957,3598833,3083623,1082501,71.81976689,69.44156703,65.63094309,1.463005013,39.0625
12/2/2018,74.39,76.39,73.94,76.39,44.74,3.4,1.018,7,15274666,7406106,4588955,3279605,72.17147583,69.71413237,65.73801811,1.611980786,51.42857143
13/2/2018,75.95,76.17,73.94,73.94,39.17,3.29,1.018,7,8110675,3316871,3103603,1690201,72.30767714,69.87993474,65.8196507,1.514896714,42.30769231
14/2/2018,74.17,74.61,73.05,73.28,38.82,3.2,1.018,7,5129981,1124481,2057470,1948030,72.38200513,70.01303303,65.89382274,1.368270051,48.52941176
15/2/2018,73.5,73.72,69.94,70.6,37.4,3.08,1.018,7,14709956,5579975,8160849,969132,72.2450304,70.03610364,65.94066364,1.024599337,41.7721519
16/2/2018,71.05,72.16,70.6,71.27,37.76,3.11,1.018,7,7846111,3915703,2933887,996520,72.16998848,70.08447155,65.99368675,0.796965173,36.11111111
19/2/2018,71.05,71.72,70.16,70.38,37.29,3.07,1.018,7,6277248,2464025,3139297,673925,72.03219063,70.09600664,66.03731789,0.53847061,36.11111111
20/2/2018,70.38,71.27,69.71,70.6,37.4,3.08,1.018,7,3624537,1896060,1500168,228308,71.9221247,70.11582339,66.08273098,0.347576583,38.57142857
21/2/2018,70.6,71.05,67.71,68.82,36.46,3,1.018,7,14963071,5201033,6564710,3197329,71.6834686,70.06499091,66.10996346,0.051921781,36
22/2/2018,68.15,68.38,64.81,64.81,34.34,2.83,1.018,7,18981592,8302840,8895611,1783141,71.15479346,69.85893997,66.09703538,-0.500106868,30.68183013
23/2/2018,65.48,67.93,64.81,67.71,35.87,2.95,1.018,7,10247054,6216186,3298687,732181,70.88950293,69.7745116,66.11304515,-0.695942649,41.66668153
26/2/2018,67.71,69.71,67.26,69.71,36.93,3.04,1.018,7,6808845,3706252,2402739,699854,70.79880766,69.77199995,66.14884036,-0.68154529,45.63106506
27/2/2018,69.71,70.38,68.6,68.6,36.34,2.99,1.018,7,5618363,2707375,2380626,530363,70.62942846,69.72591674,66.17319895,-0.751331515,40.77669289
28/2/2018,68.6,68.82,65.93,65.93,34.93,2.88,1.018,7,5397912,2299809,2482209,615894,70.26749383,69.57683288,66.17072212,-1.010643994,33.63636392
2/3/2018,65.48,67.26,65.04,65.48,34.69,2.86,1.126,7,3373330,1397463,1540465,435402,69.89913613,69.41612742,66.16383776,-1.237824973,33.03571401
5/3/2018,65.7,67.26,64.81,65.04,34.45,2.84,1.126,7,6171849,1520822,3953306,697721,69.52484944,69.24425611,66.15258972,-1.437242743,25.24271037
6/3/2018,65.7,66.15,62.36,63.03,33.39,2.75,1.126,7,6696038,2325401,3751936,618700,69.02516514,69.00051876,66.12150876,-1.737002492,25.74256653
7/3/2018,62.81,63.48,61.03,62.59,33.16,2.73,1.126,7,9583230,3956673,5116175,510383,68.52965389,68.74887171,66.08630488,-1.987595337,25.99999246
8/3/2018,63.25,65.26,62.14,64.81,34.34,2.83,1.126,7,7898866,3657762,3575934,665170,68.24357989,68.59443328,66.07361221,-1.983611894,36.73469744
9/3/2018,65.26,65.26,62.59,64.14,33.98,2.8,1.126,7,6218094,3123583,2431249,663262,67.92811528,68.41984923,66.05439756,-2.011185562,33.67346974
12/3/2018,64.59,66.59,63.92,66.59,35.28,2.91,1.126,7,6174992,3642496,2026602,505893,67.82537027,68.34818573,66.05975112,-1.814436538,41.90477029
13/3/2018,66.37,67.93,65.7,67.93,35.99,2.96,1.126,7,8606016,4701089,3121675,783253,67.83332072,68.33173634,66.07834789,-1.533011985,44.54544775
14/3/2018,67.26,68.82,67.26,67.93,35.99,2.96,1.126,7,8604669,4030980,3863397,710293,67.84065961,68.31593202,66.09675961,-1.295052441,48.03921305
15/3/2018,67.49,67.93,66.82,66.82,35.4,2.92,1.126,7,2807049,784824,1725334,296891,67.76177405,68.25707772,66.10390775,-1.182690965,55.05618756
16/3/2018,66.82,67.26,66.59,66.59,35.28,2.91,1.126,7,2323718,694354,1050062,579302,67.67182452,68.19179742,66.10876867,-1.098947131,46.75324098
19/3/2018,67.04,67.93,66.82,67.04,35.52,2.92,1.126,7,4615782,1917499,2346167,352116,67.62305838,68.14654516,66.11801341,-0.985279009,41.42858331
20/3/2018,67.04,68.15,67.04,67.71,35.87,2.95,1.126,7,3946346,1955326,1637670,353351,67.62943977,68.12926953,66.13381443,-0.831694674,47.05884427
21/3/2018,67.93,69.27,67.71,69.04,36.58,3.01,1.126,7,11132899,5464474,4335503,1332922,67.7381223,68.16507514,66.16275471,-0.595287947,61.29031367
22/3/2018,69.27,69.94,68.6,68.6,36.34,2.99,1.126,7,5347738,2200247,2423729,723762,67.80418044,68.18200859,66.18697485,-0.438818335,61.29031367
23/3/2018,67.71,68.38,67.26,68.15,36.11,2.97,1.126,7,4220451,2110001,1728252,382198,67.83089298,68.18080995,66.2065218,-0.346760647,61.29031367
26/3/2018,68.38,68.82,67.71,68.82,36.46,3,1.126,7,2191828,1096532,800202,295095,67.90694701,68.20586036,66.23252253,-0.217384126,73.21429773
27/3/2018,68.82,69.49,68.38,68.82,36.46,3,1.126,7,8944550,1998429,1390728,5555393,67.97715072,68.2299284,66.25826455,-0.113543443,75.92594355
28/3/2018,68.6,69.04,67.04,67.26,35.63,2.93,1.126,7,4814570,1270962,2984173,559434,67.92203005,68.19191481,66.26823785,-0.155258579,60.7843427
29/3/2018,67.71,67.93,65.48,67.26,35.63,2.93,1.126,7,7061960,3055899,3328095,677966,67.87114943,68.15539196,66.27811193,-0.186172049,64.58337496
30/3/2018,67.49,67.71,65.04,67.71,35.87,2.95,1.126,7,8831743,3492648,3548659,1790437,67.8584469,68.13776939,66.29231993,-0.172737144,56.41027893
2/4/2018,66.59,67.49,66.15,66.82,35.4,2.92,1.126,6,2750926,1053654,1180492,516781,67.77819309,68.08590186,66.29752219,-0.23130919,43.24327077
3/4/2018,66.59,66.59,63.25,64.59,34.22,2.82,1.126,6,5433831,1985408,3054103,394320,67.53279166,67.94872824,66.28051177,-0.452229178,34.04255474
4/4/2018,64.37,65.48,60.8,63.92,33.86,2.79,1.126,6,12185655,4892468,5686497,1606690,67.25487097,67.79073195,66.25702233,-0.673460894,35.55553356
5/4/2018,63.92,64.37,63.03,63.48,33.63,2.77,1.126,6,2248962,708834,939612,600516,66.9640646,67.62146356,66.22933442,-0.874649059,34.78258603
9/4/2018,63.03,64.81,62.14,63.92,33.86,2.79,1.126,6,3324054,1773375,1345381,205298,66.72989215,67.47630117,66.20635421,-0.986774362,34.78258603
10/4/2018,64.14,65.26,63.25,65.26,34.57,2.85,1.126,6,2446515,1150297,817600,478617,66.61652555,67.3892355,66.19689921,-0.956776803,38.77549451
11/4/2018,65.04,65.93,64.14,65.26,34.57,2.85,1.126,6,2930744,1195084,1170614,565047,66.51187946,67.30558416,66.18753828,-0.922371003,30.23258222
12/4/2018,65.04,68.15,64.59,67.71,35.87,2.95,1.126,6,4727691,3046470,1371871,309350,66.60373616,67.32128739,66.20264752,-0.68947071,46.15387656
17/4/2018,67.26,67.49,65.7,65.7,34.81,2.87,1.126,6,1973398,615894,1063756,293748,66.53433807,67.25776871,66.19766158,-0.659041344,40.67798972
18/4/2018,65.93,66.37,65.48,65.7,34.81,2.87,1.126,6,1459423,787630,493658,178134,66.47027829,67.19674095,66.19272526,-0.627690229,37.50002294
19/4/2018,66.15,68.38,65.7,67.71,35.87,2.95,1.126,6,8729824,4811539,3432821,485464,66.56533508,67.21671255,66.20778288,-0.436074636,46.15387048
20/4/2018,67.71,68.82,67.04,67.71,35.87,2.95,1.126,6,7813223,2607588,4157257,1048378,66.65307981,67.23590094,66.22269068,-0.280978948,51.72413793
23/4/2018,67.93,68.15,66.15,66.37,35.16,2.9,1.126,6,5198227,1960153,2768212,469862,66.63128235,67.20193278,66.22415359,-0.262862918,46.875
