Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,14.3,14.5,14.1,14.5,40.74,11.14,0.356,8,25022400,9821700,9589100,5611600,13.74180523,13.48158453,13.20960675,0.334854419,70.58823199
24/1/2018,14.4,15,14.3,15,42.15,11.53,0.356,8,45178700,29950600,10675700,4552400,13.83858945,13.54113024,13.22742161,0.385039678,76.31579476
25/1/2018,14.9,14.9,14.5,14.5,40.74,11.14,0.356,8,36757600,14194300,18734700,3828600,13.88946718,13.57873297,13.24008408,0.380084657,67.44186356
26/1/2018,14.3,14.5,14.1,14.4,40.46,11.07,0.356,8,22590800,9415200,10408700,2766900,13.92873891,13.61093951,13.25162553,0.36389383,63.41462904
29/1/2018,14.5,14.6,14.3,14.4,40.46,11.07,0.356,8,18718300,9984800,6335800,2397700,13.96498973,13.64188304,13.26305214,0.347061772,55.88234799
30/1/2018,14.3,14.4,14.1,14.2,39.9,10.91,0.356,8,23489900,8764600,11270000,3455300,13.98306743,13.66376998,13.272375,0.313964741,59.37499162
31/1/2018,14.1,14.5,14,14.2,39.9,10.91,0.356,8,28998300,12552900,12903400,3542000,13.99975454,13.6847986,13.2816051,0.284456072,59.37499162
1/2/2018,14.2,14.4,14.1,14.2,39.9,10.91,0.356,8,21960900,9966600,7831000,4163300,14.01515802,13.70500257,13.29074336,0.258095081,51.85184139
2/2/2018,14.2,14.3,14.1,14.2,39.9,10.91,0.356,8,11991000,4223500,4106400,3661100,14.02937662,13.72441422,13.29979068,0.234500628,50
5/2/2018,13.8,14,13.7,13.8,38.78,10.61,0.356,8,24572700,4449500,12642100,7481100,14.01173228,13.72737838,13.30476789,0.181433772,39.28572523
6/2/2018,13.4,14,13.3,14,39.34,10.76,0.356,8,36211900,14888900,13658800,7664200,14.01082979,13.73806942,13.31168563,0.153743955,39.28570455
7/2/2018,14.1,14.1,13.8,13.9,39.06,10.68,0.356,8,17810800,6113600,7975200,3722000,14.0023044,13.74441963,13.3175395,0.122320348,42.30767961
8/2/2018,13.8,13.9,13.7,13.9,39.06,10.68,0.356,8,20323600,10459900,6598300,3265400,13.9944348,13.7505208,13.32333512,0.096306748,45.83331678
9/2/2018,13.6,14,13.6,14,39.34,10.76,0.356,8,16295100,7713900,4389000,4192200,13.99486289,13.7603043,13.3300681,0.082805448,45.8333383
12/2/2018,14.1,14.1,13.8,14,39.34,10.76,0.356,8,9283700,2704200,4895700,1683800,13.99525805,13.76970413,13.33673409,0.071283855,38.09524026
13/2/2018,13.9,14,13.6,13.7,38.5,10.53,0.356,8,20536600,6213200,11156700,3166700,13.97254588,13.76697063,13.34034868,0.037512975,15.78947897
14/2/2018,13.7,14.1,13.7,13.9,39.06,10.68,0.356,8,24235000,14982400,7229100,2023500,13.9669654,13.77218745,13.34591734,0.026581211,31.24999255
15/2/2018,14,14.1,13.8,14,39.34,10.76,0.356,8,7982100,2825000,3285900,1871200,13.96950652,13.78112128,13.35242563,0.025690757,37.5000149
16/2/2018,14,14.3,13.9,14.2,39.9,10.91,0.356,8,16279400,10142300,4652000,1485100,13.98723677,13.79754789,13.3608592,0.040654737,44.44445033
19/2/2018,14.3,14.5,14.2,14.3,40.18,10.99,0.356,8,19130600,9264300,8025800,1840500,14.0112955,13.8172519,13.37020389,0.059892589,52.94118637
20/2/2018,14.3,14.5,14.1,14.2,39.9,10.91,0.356,8,20137100,6466400,11198600,2472100,14.02581121,13.83226162,13.37846056,0.066305205,50
21/2/2018,14.2,14.3,13.9,14.1,39.62,10.84,0.356,8,14771900,4660900,6925900,3185100,14.03151807,13.84276118,13.38564006,0.062596557,47.3684369
22/2/2018,14.3,14.6,14.2,14.4,40.46,11.07,0.356,8,41524700,19737300,19431200,2356200,14.05986281,13.86461367,13.39573319,0.082909134,54.5454506
23/2/2018,14.5,14.8,14.4,14.6,41.02,11.22,0.356,8,27355500,14955400,9138000,3262100,14.10141185,13.89345236,13.40771595,0.113833189,69.99999523
26/2/2018,14.7,14.7,14.3,14.4,40.46,11.07,0.356,8,22138400,8646300,9205300,4286800,14.12438014,13.91331696,13.41758942,0.120809716,59.99998093
27/2/2018,14.6,14.7,14.4,14.5,40.74,11.14,0.356,8,30069800,11245800,13339500,5484500,14.15327398,13.93632414,13.42835968,0.132876145,64.99999523
28/2/2018,14.5,14.7,14.3,14.4,38.76,11.07,0.356,8,39508700,11426800,15073200,13008700,14.17225287,13.95450749,13.43802774,0.132838404,61.90474893
2/3/2018,14.4,14.5,14,14,37.68,9.88,0.372,8,24290300,6429400,11607300,6253600,14.15900265,13.95629151,13.4436195,0.099386206,50
5/3/2018,14.1,14.3,13.9,14.2,38.22,10.02,0.372,8,40038900,17605700,20216400,2216800,14.16215628,13.9658487,13.45114567,0.087999012,53.8461482
6/3/2018,14.3,14.4,14.1,14.2,38.22,10.02,0.372,8,22426800,11392000,7273900,3760900,14.16506732,13.97503109,13.45859696,0.078074585,60.86955981
7/3/2018,14.2,14.3,13.9,14.1,37.95,9.95,0.372,8,40815800,19380700,13589500,7845600,14.16006217,13.97993185,13.46497908,0.061432135,54.54547031
8/3/2018,13.9,14,13.8,14,37.68,9.88,0.372,8,26753800,7873900,13388000,5491900,14.1477497,13.98071884,13.47030267,0.039715858,50
9/3/2018,14.1,14.2,13.7,14.2,38.22,10.02,0.372,8,34905000,14314600,15983800,4606600,14.15176894,13.98931809,13.47756334,0.03820348,50
12/3/2018,14.2,14.5,14.2,14.5,39.03,10.23,0.372,8,42482800,26294800,11690500,4497500,14.17855594,14.00934483,13.48773684,0.06051484,54.1666617
13/3/2018,14.5,14.5,14.3,14.4,38.76,10.16,0.372,8,25023100,9212600,12843400,2967100,14.19559007,14.02466463,13.49681408,0.069328384,54.1666617
14/3/2018,14.4,14.6,14.3,14.6,39.29,10.3,0.372,8,27238700,13989300,10060700,3188700,14.22669856,14.04722681,13.50779106,0.091397992,59.99999237
15/3/2018,14.5,14.6,14.4,14.5,39.03,10.23,0.372,8,12614100,4077700,4453600,4082800,14.24772174,14.06498263,13.51766378,0.099670185,52.17391845
16/3/2018,14.4,14.6,14.3,14.5,39.03,10.23,0.372,8,19878900,4711500,5576100,9591300,14.26712776,14.08204213,13.52743827,0.105015405,47.61904113
19/3/2018,14.5,14.5,14.2,14.3,38.49,10.09,0.372,8,13082700,6095300,4259700,2727700,14.26965641,14.09058951,13.53512546,0.092052098,47.61906276
20/3/2018,14.2,14.4,13.9,14,37.68,9.88,0.372,8,38660900,12802700,19451000,6407200,14.24891361,14.08703698,13.53975107,0.056914995,39.13044019
21/3/2018,14,14.2,14,14.1,37.95,9.95,0.372,8,10622900,4076100,3171500,3375300,14.23745875,14.08754534,13.54532569,0.03671456,43.4782807
22/3/2018,14.1,14.2,14,14.2,38.22,10.02,0.372,8,8977100,3332900,3799600,1844600,14.23457729,14.09195532,13.55183986,0.028446771,54.99999285
23/3/2018,13.9,14.1,13.9,14,37.68,9.88,0.372,8,17746300,7968700,6091500,3686100,14.21653288,14.08834923,13.55629917,0.005690578,45.00000715
26/3/2018,14,14.2,13.9,14.1,37.95,9.95,0.372,8,12073300,5200800,4998100,1874400,14.20756884,14.08880614,13.56170913,-0.004225959,47.61906276
27/3/2018,14.2,14.2,13.9,13.9,37.41,9.81,0.372,8,17227400,5880800,8479200,2867400,14.18390967,14.08140196,13.56507521,-0.027901644,45.45453363
28/3/2018,13.9,14,13.8,13.9,37.41,9.81,0.372,8,14867600,4242300,7775200,2850100,14.16207044,14.07428815,13.56840779,-0.046133002,47.61904113
29/3/2018,13.9,14,13.8,13.9,37.41,9.81,0.372,8,23993400,9328200,8283900,6381300,14.14191114,14.0674533,13.57170721,-0.059891097,42.10526844
30/3/2018,14,14.2,13.8,14.2,38.22,10.02,0.372,8,17865000,9691700,4816900,3356400,14.1463795,14.0726512,13.57795888,-0.046056073,42.10526844
2/4/2018,14.1,14.2,13.9,14,37.68,9.88,0.372,8,19319500,8451200,8693000,2175300,14.13511954,14.06980214,13.58215829,-0.050646212,40.00001907
3/4/2018,14,14.1,13.9,14,37.68,9.88,0.372,8,16876400,7485700,4659700,4731000,14.12472573,14.0670648,13.58631592,-0.053665309,33.33333333
4/4/2018,14,14.2,13.8,14.2,38.22,10.02,0.372,8,32681100,8888700,13706500,10085900,14.13051604,14.07227794,13.59242223,-0.039464728,42.10526052
5/4/2018,14.1,14.2,13.9,14.1,37.95,9.95,0.372,8,25892700,12763600,10355200,2773900,14.12816869,14.07336509,13.59747276,-0.035866339,40.00000954
9/4/2018,14.1,14.4,14,14.4,38.76,10.16,0.372,8,21647800,12062600,5979400,3605800,14.14907876,14.08617429,13.6054581,-0.008706791,52.38093941
10/4/2018,14.4,14.6,14.3,14.5,39.03,10.23,0.372,8,22987400,12604200,7076500,3306700,14.1760727,14.10240275,13.61435901,0.020648518,63.15789738
11/4/2018,14.5,14.6,14.5,14.6,39.29,10.3,0.372,8,14381500,1545100,6766800,6069600,14.20868252,14.12191638,13.62416639,0.051389619,63.15789738
12/4/2018,14.5,14.6,14.3,14.4,38.76,10.16,0.372,8,15137300,6080300,6765800,2291200,14.22339922,14.1328216,13.63188612,0.058934414,54.99999285
17/4/2018,14.4,14.5,14,14.1,37.95,9.95,0.372,8,25247400,9216600,11764200,4266600,14.213907,14.1315345,13.63654398,0.040242398,52.38096103
18/4/2018,14.1,14.3,14,14.2,38.22,10.02,0.372,8,25007400,10319700,12362100,2325600,14.21283722,14.13421941,13.6421505,0.033116215,52.38093941
19/4/2018,14.2,14.3,14.1,14.3,38.49,10.09,0.372,8,21334400,11235900,6311700,3786800,14.21954206,14.14072062,13.64869627,0.035132869,60.00001907
20/4/2018,14.3,15.1,14.3,15,40.37,10.59,0.372,8,72335400,51718800,14051400,6565200,14.27957729,14.17441785,13.66214208,0.092152935,70.37038607
