Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,20.1,20.4,20.1,20.4,11.38,1.01,1.794,4,41938700,20752500,14821800,6364400,20.04831725,19.80335805,19.52035992,0.262164497,70.83332009
24/1/2018,20.4,20.4,20.2,20.3,11.32,1,1.794,4,20064300,5162700,8641500,6260100,20.0676774,19.82283418,19.52811753,0.243089145,63.63632423
25/1/2018,20.3,20.3,20,20,11.15,0.99,1.794,4,36922100,10661500,18781500,7479100,20.06247145,19.82978186,19.53281287,0.201442259,52.17392025
26/1/2018,20,20.2,19.9,20.1,11.21,0.99,1.794,4,38580000,20268500,12700000,5611500,20.06535829,19.84037866,19.53845653,0.174494532,54.16667991
29/1/2018,20.1,20.2,20,20.1,11.21,0.99,1.794,4,19796800,4755300,8660800,6380700,20.06802306,19.85055991,19.54404403,0.151393099,38.88890655
30/1/2018,20.1,20.1,19.9,20,11.15,0.99,1.794,4,27893800,10432600,12692900,4768300,20.06279052,19.8564203,19.54858091,0.12359117,41.17649699
31/1/2018,19.9,20.1,19.9,20,11.15,0.99,1.794,4,18939300,6313400,7580500,5045400,20.05796048,19.86205088,19.55307264,0.100400586,41.17649699
1/2/2018,20.1,20.3,20,20.1,11.21,0.99,1.794,4,25929800,13380900,6122700,6426200,20.06119432,19.87138223,19.55851471,0.089064396,41.17649699
2/2/2018,20.1,20.2,19.9,20,11.15,0.99,1.794,4,23561400,5586100,14291600,3683700,20.05648706,19.87642607,19.56290759,0.071190549,31.24999255
5/2/2018,19.9,20,19.7,19.8,11.04,0.98,1.794,4,33850300,13995700,13240100,6614500,20.03675723,19.87342893,19.56526672,0.040421058,27.77776012
6/2/2018,19.6,19.7,19.5,19.6,10.93,0.97,1.794,4,76520400,26234600,35943400,14342400,20.00316055,19.86270625,19.56561232,-0.000101057,21.05261573
7/2/2018,19.7,19.9,19.6,19.7,10.98,0.97,1.794,4,42374800,17978000,13569500,10827300,19.97984057,19.85632564,19.56694952,-0.023870763,27.77778955
8/2/2018,19.7,19.8,19.6,19.6,10.93,0.97,1.794,4,20723500,4859700,9654800,6209000,19.95062209,19.84627367,19.56727839,-0.050198958,27.77778955
9/2/2018,19.5,19.7,19.4,19.6,10.93,0.97,1.794,4,22458200,10626900,5812200,6019100,19.92365119,19.83661589,19.56760398,-0.070254394,31.24999255
