Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,43.92,44.17,42.93,43.67,39.87,5.23,0.911,7,9986599,3978438,5054207,953955,43.58580939,43.5927855,43.68913206,0.142133945,51.61290323
24/1/2018,43.67,43.92,43.42,43.67,39.87,5.23,0.911,7,2878489,705189,1023778,1149521,43.61767021,43.6087547,43.69222528,0.153502304,64
25/1/2018,43.67,43.92,42.93,42.93,39.19,5.15,0.911,7,7575214,1818136,4166650,1590428,43.58938789,43.59468588,43.68782502,0.100830764,66.66666667
26/1/2018,42.68,43.17,42.43,43.17,39.42,5.17,0.911,7,8631033,3652594,3598287,1380151,43.5825119,43.59097271,43.68595612,0.078357839,63.63636364
29/1/2018,43.17,43.67,42.93,43.42,39.64,5.2,0.911,7,4339950,2001209,1469421,869320,43.5953956,43.59720908,43.68659337,0.0798009,61.9047619
30/1/2018,43.42,43.67,42.68,43.42,39.64,5.2,0.911,7,8437481,3792645,3275970,1368866,43.60728824,43.60320088,43.68722428,0.080022091,60
31/1/2018,43.17,43.67,42.93,43.67,39.87,5.23,0.911,7,7347909,2117985,2847355,2382569,43.63749684,43.61876163,43.69033648,0.099226477,60
1/2/2018,43.67,44.17,43.42,43.92,40.1,5.26,0.911,7,14084030,6765038,4678690,2640302,43.68461247,43.64351607,43.69590527,0.133084881,65
2/2/2018,43.92,44.17,42.93,43.67,39.87,5.23,0.911,7,9079395,3445239,3938237,1695919,43.70887305,43.65749584,43.69893109,0.138152465,46.66666667
5/2/2018,42.68,43.42,42.68,43.17,39.42,5.17,0.911,7,8626801,3088766,3526952,2011083,43.69280589,43.65131953,43.69695167,0.100662367,43.75
6/2/2018,41.69,42.43,40.94,42.18,38.51,5.06,0.911,7,20864181,6676071,10035869,4152242,43.60105159,43.60616974,43.68504171,-0.009629447,27.77777778
7/2/2018,42.18,42.68,41.93,42.18,38.51,5.06,0.911,7,8487254,2776322,4069320,1641612,43.51635531,43.56279054,43.67325025,-0.095930674,27.77777778
8/2/2018,41.93,42.68,41.69,42.68,38.96,5.12,0.911,7,6956574,2486146,2138640,2331788,43.47663567,43.54072032,43.66655124,-0.122566329,41.17647059
9/2/2018,41.69,42.43,41.69,42.18,38.51,5.06,0.911,7,6634861,1772897,3023879,1838086,43.40150985,43.49990776,43.65494377,-0.181923992,33.33333333
12/2/2018,42.18,42.43,41.93,42.18,38.51,5.06,0.911,7,4869118,1333602,2523526,1011990,43.33216294,43.46069569,43.64345179,-0.226356076,33.33333333
13/2/2018,42.43,42.93,42.43,42.68,38.96,5.12,0.911,7,6548312,2788212,2105491,1654610,43.30661195,43.44262919,43.63704928,-0.218701941,40
14/2/2018,42.93,43.67,42.68,43.42,39.64,5.2,0.911,7,12220655,7380453,2947909,1892292,43.34071872,43.45468295,43.63817317,-0.150383723,55
15/2/2018,43.42,43.42,42.43,43.17,39.42,5.17,0.911,7,9393753,3188816,4771788,1433149,43.35297113,43.45646009,43.63679831,-0.115087298,50
16/2/2018,42.93,43.17,41.93,42.43,38.74,5.09,0.911,7,9156474,2923023,4348312,1885139,43.30658873,43.42875577,43.62797445,-0.145950928,40.90909091
19/2/2018,42.43,42.68,41.69,41.93,38.28,5.03,0.911,7,12555063,3005642,8323123,1226297,43.22531267,43.38253005,43.61426326,-0.208354615,37.5
20/2/2018,41.44,41.69,40.44,40.44,34.76,4.85,0.911,7,34627103,9320101,17599698,7707305,43.03490401,43.27929358,43.58576313,-0.374530102,27.5862069
21/2/2018,40.44,40.94,39.45,39.7,34.12,3.9,0.911,7,20228816,5975416,11243123,3010277,42.80144985,43.15069383,43.55008389,-0.560285482,22.58064516
22/2/2018,39.45,40.2,38.96,39.2,33.69,3.85,0.911,7,23804131,7023678,11072645,5707809,42.54749217,43.00752937,43.50978455,-0.739321344,21.875
23/2/2018,39.7,40.69,39.45,40.44,34.76,3.98,0.911,7,19402922,10441511,5514861,3446549,42.40922354,42.91899881,43.48232401,-0.771451192,34.28571429
26/2/2018,40.69,40.94,40.2,40.69,34.97,4,0.911,7,10977431,5707204,2288262,2981965,42.30082173,42.84374395,43.45762427,-0.767889663,40.625
27/2/2018,40.94,41.19,40.2,40.44,34.76,3.98,0.911,7,15254106,5918388,7077179,2258539,42.18152775,42.76163634,43.43068273,-0.776291432,39.39393939
28/2/2018,40.2,40.69,39.7,40.2,34.54,3.95,0.911,7,22492091,5365239,8316776,8810076,42.05217946,42.67294472,43.40152171,-0.793970409,34.375
2/3/2018,39.95,40.2,38.96,39.45,33.9,3.88,0.968,7,17884836,4612393,9529673,3742771,41.87508874,42.55831944,43.36518816,-0.858602423,33.33333333
5/3/2018,38.96,39.2,38.71,39.2,33.69,3.85,0.968,7,15654307,6931486,5508312,3214509,41.6923896,42.43838534,43.32672858,-0.919398418,32.35294118
6/3/2018,39.2,39.95,38.21,38.71,33.26,3.81,0.968,7,17827204,4723426,10997078,2106700,41.48528271,42.3035467,43.28367655,-0.996439172,26.47058824
7/3/2018,38.71,38.96,37.96,38.71,33.26,3.81,0.968,7,13111537,5462670,5097229,2551637,41.29410712,42.17399585,43.2410529,-1.045443306,19.35483871
8/3/2018,38.46,38.96,37.96,38.71,33.26,3.81,0.968,7,10074458,4163627,4042317,1868514,41.11763734,42.04952543,43.19885337,-1.071922974,20
9/3/2018,38.96,39.2,38.21,38.71,33.26,3.81,0.968,7,9092695,2799295,3874559,2418841,40.95474216,41.92993619,43.15707374,-1.080453506,22.22222222
12/3/2018,38.96,39.2,38.21,38.46,33.05,3.78,0.968,7,10224282,4120806,4027506,2075970,40.78514661,41.80523281,43.11322226,-1.094767131,23.07692308
13/3/2018,37.96,37.96,36.47,37.22,31.98,3.66,0.968,7,41541159,11903375,19586700,10051083,40.53244302,41.63640015,43.0573693,-1.19322063,24
14/3/2018,37.22,38.96,36.97,38.96,33.48,3.83,0.968,7,30973401,14969370,7243325,8760705,40.43379356,41.54281584,43.01948503,-1.117157468,44.82758621
15/3/2018,38.96,39.2,38.46,38.71,33.26,3.81,0.968,7,14877884,4284736,4912343,5680806,40.32350175,41.44309757,42.97949015,-1.064775702,46.42857143
16/3/2018,38.71,38.71,37.22,37.72,32.41,3.71,0.968,7,37115365,10936927,16905189,9273249,40.14477084,41.30807413,42.92994299,-1.091373741,29.62962963
19/3/2018,37.47,38.21,37.22,37.72,32.41,3.71,0.968,7,7810680,3201209,3567657,1041814,39.97978847,41.17834574,42.88088883,-1.099775353,26.92307692
20/3/2018,37.72,38.71,37.47,38.46,33.05,3.78,0.968,7,11854207,6481511,2190126,3182569,39.88518936,41.08311649,42.83978546,-1.0339957,35.71428571
21/3/2018,38.21,38.46,37.22,37.72,32.41,3.71,0.968,7,13299144,4462166,6580856,2256121,39.74017479,40.96220996,42.79162839,-1.030504568,33.33333333
22/3/2018,37.96,37.96,37.22,37.47,32.2,3.68,0.968,7,6835264,2374610,3628212,832443,39.58708442,40.83624094,42.74146293,-1.035968729,35.71428571
23/3/2018,37.22,37.47,36.72,36.97,31.77,3.64,0.968,7,8239597,2177834,3581965,2479798,39.4073087,40.69560404,42.68682151,-1.068329895,34.48275862
26/3/2018,36.97,37.22,36.72,36.97,31.77,3.64,0.968,7,9611788,2721310,4770479,2120000,39.24136188,40.56048232,42.63272378,-1.081509386,37.03703704
27/3/2018,37.22,38.71,36.97,38.21,32.84,3.76,0.968,7,17224282,10212796,4537531,2473955,39.18433404,40.47967909,42.59160215,-0.979795204,46.875
28/3/2018,38.21,38.46,37.47,37.47,32.2,3.68,0.968,7,9169370,1171889,2750932,5246549,39.07400065,40.37263285,42.54342701,-0.948767908,42.85714286
29/3/2018,37.47,38.46,37.22,37.72,32.41,3.71,0.968,7,14416322,4552846,6409471,3454005,38.99138522,40.27958842,42.49821878,-0.893703584,44.44444444
30/3/2018,37.96,38.21,36.97,37.96,32.62,3.73,0.968,7,8580453,3312343,3879395,1388715,38.93435558,40.19999672,42.45594794,-0.820434343,47.22222222
2/4/2018,38.21,38.46,37.72,38.21,32.84,3.76,0.968,6,5920000,1670730,2025189,2224081,38.90094362,40.13333018,42.41658528,-0.733736968,56.25
