Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,40.25,40.5,39.5,40,37.85,10.29,1.057,-,7874700,2664500,3434300,1775900,39.80543562,39.89379119,39.97254495,-0.121079497,50
24/1/2018,40,40,39.5,39.75,37.61,10.23,1.057,-,4792400,1689100,1872300,1231000,39.80117135,39.88815232,39.97033057,-0.107351732,29.41176471
25/1/2018,39.75,41.25,39.5,40.5,38.32,10.42,1.057,-,15966600,8443400,5178400,2344800,39.8549274,39.91214635,39.97560091,-0.035543919,50
26/1/2018,40.75,42.5,40.5,42,39.74,10.81,1.057,-,22125000,11278000,8961200,1885800,40.01993298,39.99402296,39.99574419,0.140778943,70
29/1/2018,42.5,42.75,41.5,42,39.74,10.81,1.057,-,15289400,8103100,5129800,2056500,40.17224583,40.07268873,40.01568703,0.277319316,70
30/1/2018,42,42.75,41.75,42.75,40.45,11,1.057,-,7744000,4295600,1972100,1476300,40.37053461,40.17768133,40.04289413,0.440964118,80.95238095
31/1/2018,42.5,43,42.25,42.75,40.45,11,1.057,-,5084100,3026200,1400000,657900,40.55357041,40.27855657,40.0698305,0.564150625,85
1/2/2018,42.75,43,41.5,42.25,39.97,10.87,1.057,-,8732200,2093300,4831700,1807200,40.68406499,40.35586808,40.09152373,0.614349163,76.19047619
2/2/2018,42,42.25,41.75,41.75,39.5,10.74,1.057,-,3213100,1014400,1536100,662600,40.76605999,40.41053992,40.10802598,0.606791332,68.18181818
5/2/2018,41,42,40.75,41.5,39.26,10.68,1.057,-,8817400,2943500,4213000,1660900,40.82251692,40.45326384,40.12187647,0.574011934,65.2173913
6/2/2018,40.75,40.75,39.75,40.25,38.08,10.36,1.057,-,16103000,6547100,6433600,3122300,40.77847716,40.44529271,40.12315133,0.442073523,57.69230769
7/2/2018,40.5,41.25,40.5,40.75,38.55,10.49,1.057,-,4416600,1886300,1873500,656800,40.7762866,40.45724202,40.12938863,0.373551138,60.71428571
