Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,116,118.5,115.5,117,45.25,1.24,2.586,6,20481100,9558600,9269100,1653400,108.6207628,105.7830128,102.746595,3.623917178,89.74358974
24/1/2018,116.5,118.5,116,117.5,45.44,1.24,2.586,6,18621200,7755600,7163300,3702300,109.303781,106.2425025,102.8933951,3.789115059,87.09677419
25/1/2018,118.5,120.5,117,117.5,45.44,1.24,2.586,6,20604300,8488100,9488300,2627900,109.9342594,106.683973,103.0387344,3.8753628,86.20689655
26/1/2018,117,119.5,116,119.5,46.21,1.27,2.586,6,16929700,7856000,6896000,2177700,110.6700856,107.1865623,103.2025281,4.058316297,96.66666667
29/1/2018,120,120.5,119,120.5,46.6,1.28,2.586,6,11856100,5207400,4574400,2074300,111.4262329,107.7086579,103.3746423,4.235179392,96.55172414
30/1/2018,119.5,119.5,117,118,45.63,1.25,2.586,6,16049400,5783500,8155800,2110100,111.9319073,108.11224,103.5201682,4.126052993,82.35294118
31/1/2018,116,120,114.5,119,46.02,1.26,2.586,6,32731200,19614800,9761200,3355200,112.4756067,108.5392109,103.6741964,4.073306634,81.81818182
1/2/2018,120.5,122,120,121.5,46.99,1.29,2.586,6,18023300,8744300,7614500,1664500,113.1697908,109.0474772,103.8515676,4.18499189,81.81818182
2/2/2018,123,123.5,121.5,122.5,47.37,1.3,2.586,6,11108800,5296700,3567300,2244800,113.8874992,109.5750271,104.0371241,4.304574448,80.64516129
5/2/2018,118.5,121,118.5,119.5,46.21,1.27,2.586,6,14664800,5878900,5693600,3092300,114.31923,109.9642417,104.1909836,4.109893267,69.44444444
6/2/2018,117,118,115,118,45.63,1.25,2.586,6,37044000,11261800,15995100,9787100,114.6023662,110.2793695,104.3283867,3.790870767,62.16216216
7/2/2018,116,117,114.5,115.5,44.67,1.22,2.586,6,24905500,6881100,8910200,9114200,114.6714149,110.4841001,104.439547,3.298293357,53.65853659
8/2/2018,114,115,112.5,113.5,43.89,1.2,2.586,6,19124600,6455900,10083600,2585100,114.5813061,110.6023707,104.5297008,2.715239337,46.51162791
9/2/2018,111.5,113,111,112,43.31,1.19,2.586,6,16958700,7435500,6237500,3285700,114.3827441,110.6571797,104.6040321,2.107829614,42.22222222
12/2/2018,112,115.5,111.5,115.5,44.67,1.22,2.586,6,17784100,9435300,6262400,2086400,114.4686869,110.8470942,104.7124497,1.887120234,46.93877551
13/2/2018,115,115.5,113,114,44.09,1.21,2.586,6,14602800,6687100,6707900,1207800,114.432634,110.9707376,104.8048632,1.573036016,43.1372549
14/2/2018,113.5,114,110,110,42.54,1.17,2.586,6,18814200,3974700,10551100,4288400,114.0916622,110.9326694,104.8565561,0.989943982,37.28813559
15/2/2018,112.5,113.5,111.5,112.5,43.51,1.19,2.586,6,12213300,5954500,4165600,2093200,113.9692266,110.9941334,104.9326102,0.721254281,38.33333333
16/2/2018,113,113.5,112.5,112.5,43.51,1.19,2.586,6,6866100,2642000,2884600,1339500,113.8562092,111.053187,105.0079077,0.502522984,36.20689655
19/2/2018,113.5,114.5,112.5,112.5,21.7,1.19,2.586,6,10056200,5144700,3921400,990100,113.7518854,111.1099247,105.0824558,0.325425553,39.62264151
