Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,97,99.75,97,99.75,10.75,1.7,9.283,8,27424900,14808600,9555600,3060700,91.5407884,89.45003452,87.18655,2.65342846,85.52631579
24/1/2018,99.25,99.5,97.5,98.25,10.58,1.68,9.283,8,23435400,9738300,10473700,3223400,92.0568816,89.7951312,87.29663408,2.790977742,75.36231884
25/1/2018,98.25,99.5,94.25,94.25,10.15,1.61,9.283,8,52008600,19920000,27743000,4345600,92.22558301,89.96983194,87.3658218,2.547849939,59.75609756
26/1/2018,94.5,97,93.5,96.5,10.4,1.65,9.283,8,34390100,15047300,16604000,2738800,92.55438432,90.22591696,87.45670915,2.507817046,66.66666667
29/1/2018,97.5,98.25,96.75,97.5,10.5,1.66,9.283,8,16036800,7557700,6009800,2469300,92.93481629,90.51117512,87.55664239,2.527645212,61.84210526
30/1/2018,96.5,97,95.25,97,10.45,1.66,9.283,8,24202400,10702000,10910600,2589800,93.24752273,90.76563884,87.65060615,2.474488987,61.03896104
31/1/2018,96.25,97.25,96,96.25,10.37,1.64,9.283,8,18732100,7584500,7158800,3988800,93.47848252,90.98071183,87.73617226,2.344814006,58.75
1/2/2018,96.5,97,96,96.25,10.37,1.64,9.283,8,15789000,7219100,5573900,2996000,93.69167618,91.18735058,87.82088696,2.216495273,59.49367089
2/2/2018,96.75,97,95,95,10.23,1.62,9.283,8,15263400,3313500,9262200,2687700,93.79231647,91.33686624,87.89232092,1.990986347,54.87804878
5/2/2018,93,94.25,92.25,93.5,10.07,1.6,9.283,8,21473500,9110000,8809600,3553900,93.76983059,91.42169502,87.94811872,1.671958142,50
6/2/2018,91,94,90.5,93.5,10.07,1.6,9.283,8,41718300,18208200,18811800,4698300,93.74907439,91.50319717,88.00336132,1.402953615,47.56097561
7/2/2018,94.25,94.5,91.25,91.75,9.88,1.57,9.283,8,26370100,9098300,12881600,4390200,93.59529944,91.51287572,88.04064131,1.036605868,41.86046512
8/2/2018,91.5,91.75,89.75,90.25,9.72,1.54,9.283,8,29868800,11470400,15326600,3071800,93.33796871,91.46335118,88.06262498,0.618109988,41.37931034
9/2/2018,89.25,91.75,89,91.75,9.88,1.57,9.283,8,18720700,7698800,7332100,3689800,93.21581727,91.47459231,88.09931528,0.402842731,38.55421687
12/2/2018,92,92.5,91.5,92.25,9.94,1.58,9.283,8,13345300,4754600,5478900,3111800,93.14152363,91.50500045,88.14061562,0.269481288,29.16666667
13/2/2018,92.5,92.75,91.75,92,9.91,1.57,9.283,8,12023600,5592800,5074500,1356300,93.05371412,91.5244122,88.17901746,0.141981795,31.34328358
14/2/2018,92,93,91.25,91.25,9.83,1.56,9.283,8,12942500,5386300,5737000,1819200,92.91496688,91.51365094,88.2095745,-0.019358056,38.88888889
15/2/2018,92,92.5,91.75,92.5,9.96,1.58,9.283,8,10042300,4740500,3638200,1663600,92.88304635,91.55233129,88.2522653,-0.045828217,34
16/2/2018,92.25,94.25,92.25,93.75,10.1,1.6,9.283,8,13541700,7901200,3769500,1871000,92.9497351,91.63851438,88.30696913,0.03367041,35.29411765
19/2/2018,94.25,95.25,94,94.25,10.15,1.61,9.283,8,17913300,9177200,6755600,1980500,93.04975547,91.74092558,88.36610376,0.135457992,39.21568627
20/2/2018,94.25,95,93.25,93.5,10.73,1.6,9.283,8,12169000,5063800,5465000,1640200,93.08438967,91.80990889,88.41718731,0.153833356,39.21568627
21/2/2018,93.75,94,92.75,93.25,10.7,1.53,9.283,8,16955800,6539900,7029000,3386900,93.09712892,91.86638305,88.46527499,0.146533902,38.46153846
22/2/2018,93.25,96.5,93.25,93.75,10.76,1.54,9.283,8,38036700,21204600,14788100,2044000,93.14734978,91.94025038,88.51785932,0.179031095,44.89795918
23/2/2018,94.5,94.75,93.75,94.75,10.87,1.55,9.283,8,7769300,3371800,2608700,1788800,93.27063056,92.05043664,88.57987067,0.282223698,55.31914894
26/2/2018,95.25,97.75,95.25,97.5,11.19,1.6,9.283,8,23980400,13230100,7486100,3264200,93.59596667,92.26414501,88.66862818,0.579229598,63.79310345
27/2/2018,99,100.5,98.5,99.25,11.39,1.63,9.283,8,37700600,18699000,13258200,5743400,94.03089231,92.53810011,88.77391546,0.944926761,75.86206897
28/2/2018,98.5,101,98.5,99.25,11.39,1.63,9.283,8,32328700,13237400,11550800,7540500,94.43236214,92.80131187,88.87815511,1.220673236,84.61538462
