Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,52.44,52.68,52.2,52.44,9.56,1.27,3.855,6,1028975,524813,274997,229164,54.87498134,54.72770774,54.56639769,0.169368498,63.63636364
24/1/2018,52.68,52.91,52.44,52.68,9.6,1.27,3.855,6,1037825,480455,354230,203140,54.9230597,54.75799371,54.57568726,0.193901089,66.66666667
25/1/2018,52.68,52.68,52.44,52.44,9.56,1.27,3.855,6,849858,350437,275313,224107,54.94820895,54.77728807,54.58239684,0.190969061,61.53846154
26/1/2018,52.44,52.68,52.2,52.2,9.51,1.26,3.855,6,598146,206090,194500,197556,54.95219288,54.78602188,54.5865521,0.166552583,57.14285714
29/1/2018,52.2,52.68,52.2,52.44,9.56,1.27,3.855,6,564851,291434,183015,90401,54.97510112,54.8042171,54.59315357,0.165467848,60
30/1/2018,52.44,52.68,52.2,52.2,9.51,1.26,3.855,6,979876,173006,491413,315457,54.97701642,54.81189486,54.59720179,0.142789291,50
31/1/2018,52.2,52.44,51.96,51.96,9.47,1.26,3.855,6,1592140,148351,463492,980297,54.95955362,54.80946761,54.59872217,0.103450943,42.85714286
1/2/2018,51.96,52.44,51.96,52.2,9.51,1.26,3.855,6,652724,465178,99041,88505,54.96266488,54.81693947,54.60271499,0.091394391,42.85714286
2/2/2018,52.2,52.2,51.96,52.2,9.51,1.26,3.855,6,534506,55842,416711,61953,54.96553681,54.82411831,54.60666807,0.080906844,42.85714286
5/2/2018,51.73,52.2,51.73,51.96,9.47,1.26,3.855,6,671373,329891,189337,152144,54.94895706,54.82121171,54.60809426,0.051825069,42.85714286
6/2/2018,51.49,51.73,51.25,51.49,9.38,1.25,3.855,6,1747761,426615,928459,392688,54.89519113,54.79881125,54.60453113,-0.011436437,33.33333333
7/2/2018,51.73,52.2,51.01,51.49,9.38,1.25,3.855,6,9893478,649352,3771995,5472131,54.84556104,54.77728924,54.60100346,-0.060869964,38.46153846
8/2/2018,51.49,51.73,51.25,51.49,9.38,1.25,3.855,6,746075,359498,305974,80603,54.79974865,54.75661123,54.59751089,-0.098906261,41.66666667
9/2/2018,51.25,51.49,51.01,51.25,9.34,1.24,3.855,6,2687810,1012749,1284375,390686,54.73822953,54.7269402,54.5915655,-0.147522662,33.33333333
12/2/2018,51.01,51.49,51.01,51.49,9.38,1.25,3.855,6,670425,138868,321989,209567,54.70067341,54.70823667,54.58816684,-0.163988245,33.33333333
13/2/2018,51.49,51.73,51.25,51.49,9.38,1.25,3.855,6,681593,191339,277526,212728,54.66600622,54.6902666,54.584802,-0.175019818,27.27272727
