Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
12/11/2020,34.5,37.75,34.25,37.25,25.69,0,-,-,214264500,131808400,72094600,10361500,35.13440753,35.07195985,35.0193922,0.129588526,64.51612903
13/11/2020,37,37.25,36.5,37.25,25.69,0,-,-,71768200,33299900,33144000,5324300,35.29714542,35.15737319,35.04158731,0.278785498,62.06896552
16/11/2020,37.5,39,37.25,39,26.9,0,-,-,93021400,54287000,32090200,6644200,35.58198038,35.30806444,35.0809745,0.532101809,68.57142857
17/11/2020,38.75,40,38.25,39,26.9,0,-,-,97827000,39016700,53581700,5228600,35.84490497,35.45284622,35.11996978,0.724505167,82.75862069
18/11/2020,38.75,39.75,37.75,38.5,26.55,0,-,-,69866900,29023300,34302100,6541500,36.04914305,35.57234245,35.15360192,0.827106029,76.66666667
19/11/2020,38.5,39.25,38.25,38.5,26.55,0,-,-,33333000,14196500,16093800,3042700,36.23767051,35.68715255,35.18689941,0.89806561,74.07407407
20/11/2020,38.75,39.5,38.5,39.5,27.24,0,-,-,40568400,18000000,16063400,6505000,36.48861893,35.83667598,35.22981584,1.023198437,80
23/11/2020,40,40.25,39.5,40,27.59,0,-,-,59016600,36012700,17219700,5784200,36.75872517,35.99994359,35.27728035,1.149462636,81.25
24/11/2020,39.75,40,38.75,39,26.9,0,-,-,49422800,12969800,30853300,5599700,36.93113092,36.11759286,35.31432234,1.155516209,72.22222222
25/11/2020,39.25,39.75,38.25,39,26.9,0,-,-,39431500,19983800,14730500,4717200,37.0902747,36.23062843,35.35099575,1.147090761,70.58823529
26/11/2020,39.75,41.75,39.75,41.5,28.62,0,-,-,83381600,48001200,26587500,8792900,37.42948434,36.43727045,35.41217987,1.326847566,80.95238095
27/11/2020,41.75,42,40.5,41.5,28.62,0,-,-,69808200,35746000,29757300,4304900,37.74260093,36.63580887,35.4727552,1.4525619,80.95238095
30/11/2020,41.5,42.75,41.25,42.25,29.41,0,-,-,61334900,31236000,26449500,3649400,38.08932393,36.85597323,35.54019047,1.594331685,86.04651163
1/12/2020,42.75,43.5,42.25,43.5,30.28,0,-,-,35403400,20015900,11466800,3920700,38.50552978,37.1165233,35.61939255,1.786950955,87.5
2/12/2020,43.5,44,42.75,43.25,30.1,0,-,-,36579500,14448000,18152100,3979400,38.87048903,37.35705179,35.695319,1.897556356,81.57894737
3/12/2020,43.5,44.25,43.25,44.25,30.8,0,-,-,19190100,12964200,3830600,2395300,39.28429757,37.62736349,35.7804402,2.042360514,83.33333333
4/12/2020,44.25,44.25,42.75,43,29.93,0,-,-,42620300,15243200,24768400,2608700,39.57012083,37.83805512,35.85227662,2.032821202,70
8/12/2020,43,44.25,42.75,43,29.93,0,-,-,47710100,21641900,23402700,2665500,39.83395769,38.04048433,35.92339824,2.002181329,70
9/12/2020,43.25,44,42.25,42.5,29.58,0,-,-,55737600,19026800,32704800,4006000,40.03903787,38.21536729,35.98883707,1.915472809,70
14/12/2020,43,44,42.5,44,30.63,0,-,-,45021600,25351500,16649100,3021000,40.34372726,38.44221564,36.06855013,1.945368153,73.91304348
15/12/2020,44,44.5,43.25,44,30.63,0,-,-,39891000,20941400,15683400,3266200,40.62497901,38.66016796,36.14747003,1.946620994,71.42857143
16/12/2020,44,44.25,43.25,43.5,30.28,0,-,-,25480100,11780400,10442100,3257600,40.84613447,38.8499653,36.22062953,1.885532809,66.66666667
17/12/2020,43.5,44,42.25,42.25,29.41,0,-,-,52393500,18263200,28397200,5733100,40.95412413,38.98329999,36.28062327,1.716469043,65.11627907
18/12/2020,42.25,43,41.75,42.5,29.58,0,-,-,36047700,10679800,21795100,3572800,41.07303766,39.1212098,36.34250761,1.584393795,65.90909091
21/12/2020,41.25,42,40.5,40.5,28.19,0,-,-,40941700,11858100,22990200,6093400,41.02895784,39.17528,36.3838757,1.303316108,45.23809524
22/12/2020,40.75,42,40.25,42,29.23,0,-,-,37628900,22321100,12275900,3031900,41.10365339,39.28605333,36.43975753,1.187904061,52.08333333
23/12/2020,42,42.75,41.5,42,29.23,0,-,-,33132800,15498300,15007600,2626900,41.17260313,39.39248262,36.49508333,1.083944148,48.88888889
24/12/2020,42,42.5,41.25,42.5,29.58,0,-,-,21657000,11185600,8824000,1647400,41.27471058,39.51434604,36.55483374,1.030027475,45.23809524
25/12/2020,42.75,43.25,42,42.75,29.76,0,-,-,31520100,15891000,13614200,2014900,41.38819438,39.64123443,36.61647719,0.995989882,47.61904762
28/12/2020,42.75,43,41.25,41.25,28.71,0,-,-,33365200,10997900,17393600,4973700,41.37756404,39.70432328,36.66258189,0.83831382,36.36363636
29/12/2020,41.5,41.75,41,41.5,28.89,0,-,-,18211200,6814900,10020600,1375700,41.38698219,39.77474197,36.7107154,0.725168031,42.5
30/12/2020,41.5,42,41.25,41.5,28.89,0,-,-,19297900,8336000,7723000,3238900,41.39567587,39.84239915,36.75836998,0.628257021,42.5
4/1/2021,40.75,42,40.75,42,29.23,0,-,-,17249900,8280900,6618800,2350200,41.44216234,39.92701095,36.8105255,0.585056008,47.5
5/1/2021,42,42.75,41.5,42.75,29.76,0,-,-,37230500,25521700,9227900,2480900,41.54276524,40.0377164,36.86962475,0.604370815,43.24324324
6/1/2021,43,43,41.75,42.25,29.41,0,-,-,36717700,13128800,21107300,2481600,41.59716791,40.12447262,36.92316082,0.572730042,41.02564103
7/1/2021,42.5,44,42.25,43.5,30.28,0,-,-,85397700,46696600,31642100,7059000,41.74353961,40.25684624,36.98860201,0.641128524,50
8/1/2021,44.5,45,43,43.75,30.45,0,-,-,105476300,47195500,45965600,12315200,41.89788272,40.39383267,37.0558796,0.707353791,57.89473684
11/1/2021,43.5,43.75,43.25,43.75,30.45,0,-,-,21081600,8302200,10192600,2586800,42.04035328,40.52544707,37.12248776,0.751178671,56.75675676
12/1/2021,43.75,44.5,43.25,44,30.63,0,-,-,21486500,13102300,5733100,2651100,42.19109533,40.66170405,37.19092072,0.796896983,73.33333333
13/1/2021,44.25,44.75,43.75,44.25,30.8,0,-,-,45102400,21232900,18484000,5385500,42.34947262,40.80242154,37.26116031,0.843577747,68
14/1/2021,44.5,46,44.25,45.75,31.84,0,-,-,70185300,44198400,21279800,4707100,42.61105165,40.99644422,37.34562638,0.990195692,74.19354839
15/1/2021,45.75,46.75,45.25,46,32.02,0,-,-,56125600,24487800,28187600,3450200,42.87173998,41.1926621,37.43173955,1.11372604,73.33333333
18/1/2021,45.75,46.75,45.75,46.5,32.37,0,-,-,19179100,5102800,11576700,2499600,43.15083691,41.40079299,37.521971,1.237703082,74.19354839
19/1/2021,46.5,47.25,46.25,46.75,32.54,0,-,-,32242900,16449000,13303800,2490100,43.42769561,41.61056582,37.61379218,1.340674233,92.30769231
20/1/2021,47,48.25,46.75,48,33.41,0,-,-,35621200,19746900,11945800,3928500,43.77941133,41.86113186,37.71713753,1.505786398,93.33333333
21/1/2021,48.25,48.25,46,46.25,32.19,0,-,-,57942200,18954000,35723000,3265200,43.96945661,42.03324434,37.80204164,1.478386681,75.67567568
22/1/2021,46,46.75,45.75,46.5,32.37,0,-,-,25877400,9436000,13870200,2571200,44.16411379,42.20841123,37.88858849,1.460014976,75
25/1/2021,46.75,49,46.5,49,34.11,0,-,-,45445600,28283400,13015100,4147100,44.53610504,42.47474804,37.9991498,1.628413041,79.06976744
26/1/2021,48.75,48.75,46.25,46.75,32.54,0,-,-,91620300,46906400,39326600,5387300,44.70640465,42.64240498,38.08622293,1.562304255,68
27/1/2021,47,47.75,46.75,47,32.71,0,-,-,39557200,15675000,19106400,4775800,44.88283506,42.81329106,38.17491723,1.512648604,65.2173913
