Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
31/5/2021,34.87,35.49,34.67,35.49,39.91,7.96,-,-,15729087,10261044,3858098,1609944,40.2318463,41.0232925,42.03146684,-0.699223517,39.62264677
1/6/2021,35.29,36.32,35.29,36.11,40.61,8.1,-,-,58587223,34367921,19412731,4806571,40.26208918,41.00767333,42.01747218,-0.563867234,53.33334064
2/6/2021,36.53,36.94,35.91,35.91,40.38,8.05,-,-,39927309,12192759,20537475,7197075,40.27214851,40.98356302,42.00130689,-0.469911589,68.5714165
4/6/2021,35.91,36.11,35.08,35.08,39.45,7.86,-,-,21458931,6782020,10194776,4482135,40.2100053,40.92398356,41.97606291,-0.465018746,58.33332192
7/6/2021,35.08,35.29,34.46,34.46,38.75,7.73,-,-,28210664,9440626,14241503,4528535,40.09907108,40.83942971,41.9441405,-0.511441345,56.75676876
8/6/2021,34.46,35.08,34.26,34.46,38.75,7.73,-,-,14338785,6607445,5021610,2709731,39.99667026,40.7581917,41.91253572,-0.541983936,51.51515453
9/6/2021,34.67,35.91,34.46,35.91,40.38,8.05,-,-,31780429,18529921,7527569,5722939,40.02714642,40.74386499,41.89741457,-0.430107232,52.94118216
10/6/2021,36.11,36.32,35.7,36.11,40.61,8.1,-,-,17668070,6844412,7745757,3077901,40.07313545,40.73920376,41.88475377,-0.319034474,55.88236431
11/6/2021,36.32,37.76,36.11,37.56,42.23,8.42,-,-,95698190,52196634,35504537,7997019,40.24058687,40.79845082,41.8883881,-0.098746308,65.00001027
14/6/2021,37.56,37.56,36.73,37.14,41.77,0,-,-,26909891,9243638,14506334,3159919,40.35944303,40.83716714,41.8873665,0.037932326,66.66665262
15/6/2021,36.94,37.14,35.49,36.11,40.61,0,-,-,29263930,7873205,17285483,4105242,40.37987078,40.82884701,41.87480567,0.051991942,60.46511717
16/6/2021,35.49,36.53,35.29,36.53,41.07,0,-,-,22664723,10275582,8741114,3648027,40.43444125,40.83906034,41.86698956,0.09945163,58.53658243
17/6/2021,36.32,36.73,35.91,36.11,40.61,0,-,-,9131697,3289427,4575662,1266609,40.44909991,40.83066597,41.8546315,0.098464975,54.76191594
18/6/2021,36.11,36.32,35.49,35.91,40.38,0,-,-,10420234,4002265,5189400,1228568,40.44477379,40.81349712,41.84008651,0.078051284,56.09757564
21/6/2021,35.29,35.7,35.08,35.29,39.68,0,-,-,16067334,5851114,7897193,2319027,40.3872089,40.76969057,41.8187566,0.005612493,48.78048487
22/6/2021,35.7,35.7,34.46,35.08,39.45,0,-,-,13283944,4088644,6965802,2229498,40.31621489,40.71849827,41.79532904,-0.069724068,43.58972738
23/6/2021,35.08,35.29,34.26,34.67,38.99,0,-,-,15232499,2961478,6182819,6088202,40.21496789,40.65110633,41.76751486,-0.164990683,42.49999897
24/6/2021,34.46,34.67,33.43,34.05,38.29,0,-,-,27464025,8349198,15612057,3502770,40.06793756,40.55904622,41.73304778,-0.293305218,43.58974575
25/6/2021,34.26,34.67,33.64,34.05,38.29,0,-,-,18078522,6656631,9212746,2209145,39.93221725,40.47059632,41.69892366,-0.39049404,47.22221461
28/6/2021,33.64,34.05,33.22,34.05,38.29,0,-,-,12509078,4908699,5167836,2432543,39.80693697,40.38561503,41.66513908,-0.462189054,47.22221461
29/6/2021,33.84,34.46,33.84,34.46,38.75,0,-,-,11621422,5272751,4862542,1486130,39.72700801,40.32217368,41.63631044,-0.476056125,38.709674
30/6/2021,34.46,34.87,34.05,34.26,38.52,0,-,-,9150596,3440136,4233538,1476923,39.63537024,40.25211655,41.60545876,-0.500014061,35.483859
1/7/2021,34.26,34.87,33.84,34.46,38.75,0,-,-,17890136,7887864,7610313,2391958,39.56863871,40.19391043,41.57722395,-0.494567795,19.99998685
2/7/2021,34.26,34.46,33.43,33.43,37.59,0,-,-,20245628,6187665,10411148,3646815,39.41775446,40.09246859,41.53772066,-0.577257488,17.85712609
5/7/2021,33.43,33.64,33.22,33.43,37.59,0,-,-,8953003,3399188,2813919,2739897,39.27847668,39.99500485,41.49861044,-0.635464426,21.73910558
6/7/2021,33.64,34.46,33.64,34.05,38.29,0,-,-,13855039,8473012,4548403,833624,39.20348414,39.92867422,41.46681903,-0.618270708,25.00003423
7/7/2021,33.84,34.05,33.22,33.64,37.83,0,-,-,8832824,3362237,3771719,1698867,39.09854588,39.84673745,41.43072418,-0.634791149,25.00001712
8/7/2021,33.22,33.43,31.99,32.19,36.2,0,-,-,29619986,11251798,15862956,2505232,38.8766798,39.70428841,41.37881933,-0.770130057,20.00002191
9/7/2021,31.99,32.4,31.78,32.4,36.43,0,-,-,28737539,13014510,12288466,3434563,38.68973752,39.57652926,41.32974083,-0.848869842,25.00002934
12/7/2021,32.4,32.4,31.16,31.57,35.5,0,-,-,26317111,8378395,14586534,3352182,38.44574698,39.41736578,41.27191118,-0.974960769,22.58068107
13/7/2021,31.78,32.4,31.57,32.4,36.43,0,-,-,31099210,18929712,10243478,1926021,38.29195338,39.3008585,41.22389644,-0.98856535,33.33333333
14/7/2021,32.19,33.84,31.99,33.84,38.06,0,-,-,29227828,18826857,8386997,2013974,38.27499006,39.25264563,41.19252862,-0.858328878,48.64864625
15/7/2021,34.26,34.46,33.02,33.43,37.59,0,-,-,54715798,24035520,25457683,5222595,38.22361724,39.18811613,41.15685314,-0.783547354,46.15383967
16/7/2021,33.43,34.46,33.43,34.46,38.75,0,-,-,28282142,14957612,8961362,4363167,38.2654821,39.17163551,41.13308207,-0.623435716,52.27273067
19/7/2021,33.84,34.26,33.64,33.84,38.06,0,-,-,13919732,4404236,7036917,2478579,38.25055503,39.12849021,41.10261787,-0.546443131,46.6666618
20/7/2021,33.64,33.84,33.02,33.43,37.59,0,-,-,13775565,4294233,7460694,2020638,38.20106183,39.06882955,41.06783703,-0.516931157,45.6521677
21/7/2021,33.64,33.64,33.02,33.22,37.36,0,-,-,10567308,4177931,4362440,2026937,38.1375189,39.00240501,41.03109242,-0.506436544,43.47826708
22/7/2021,33.43,33.64,32.6,33.22,37.36,0,-,-,13188237,6121154,5140578,1926505,38.0788639,38.93858535,40.99471343,-0.492442913,48.7805054
23/7/2021,33.22,33.22,32.6,33.02,37.13,0,-,-,5544729,1437428,2192911,1914390,38.00686363,38.86816477,40.95638654,-0.494385918,47.61906252
27/7/2021,32.81,33.02,32.19,32.6,36.66,0,-,-,7601106,2209751,3716839,1674516,37.90468747,38.78229845,40.91382123,-0.527311312,41.46341757
29/7/2021,32.6,32.81,31.99,32.6,36.66,0,-,-,12433966,5172319,5028273,2233375,37.81037102,38.69979944,40.87167947,-0.547098316,43.58975115
30/7/2021,32.4,32.6,31.78,32.19,36.2,0,-,-,11055900,3343580,4700687,3011633,37.68759531,38.60232835,40.82533725,-0.593403339,50
2/8/2021,31.78,32.4,31.78,32.19,36.2,0,-,-,7055089,3813879,2626502,614708,37.57426389,38.50867966,40.77945615,-0.622919772,48.48484547
3/8/2021,31.99,32.81,31.99,32.6,36.66,0,-,-,18585286,9187547,7754116,1643623,37.50536464,38.4369108,40.73865135,-0.601909258,58.06450245
4/8/2021,33.02,33.64,32.81,33.43,37.59,0,-,-,37010293,17455212,14280513,5274568,37.51319377,38.4043709,40.70749207,-0.50451472,58.06450245
5/8/2021,33.43,33.64,33.02,33.22,37.36,0,-,-,20214977,7508669,10197320,2508988,37.50256378,38.36400356,40.67433298,-0.440977261,44.00002103
6/8/2021,33.22,33.43,31.99,32.19,36.2,0,-,-,31533649,11316007,16929548,3288094,37.40346555,38.27970095,40.62995441,-0.478764628,39.28572477
9/8/2021,32.19,32.4,31.78,32.19,36.2,0,-,-,14298685,6475393,5455200,2368092,37.31199026,38.19870431,40.58601742,-0.502914108,26.08694099
10/8/2021,32.19,32.4,31.57,31.78,35.74,0,-,-,17155127,6498653,8369309,2287164,37.19183746,38.10267684,40.53789788,-0.553140246,27.27273406
11/8/2021,31.57,31.57,30.13,30.54,34.34,0,-,-,64021343,25059831,34210670,4750843,36.97378407,37.95579318,40.47639784,-0.697298988,23.07691822
13/8/2021,30.54,30.54,29.92,30.13,33.88,0,-,-,20736764,6123335,11303286,3310143,36.73678994,37.79646248,40.41089,-0.839334263,22.22221546
16/8/2021,30.13,30.54,29.92,30.54,28.65,0,1.416,-,18471407,10878297,5107989,2485121,36.55374021,37.66158722,40.35065372,-0.90401358,27.58617173
17/8/2021,30.75,30.75,29.92,30.33,28.46,0,1.416,-,29846170,11117686,10150315,8578169,36.36691433,37.52289768,40.28870695,-0.962904366,27.58618736
