Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,90.25,91.25,90,90.5,12.36,2.19,7.321,7,5437500,2926900,2205800,304800,90.53417858,90.22447067,89.73551408,0.081547559,53.125
24/1/2018,90,91,90,90.5,12.36,2.19,7.321,7,7523900,4101900,2701300,720700,90.53154946,90.23527574,89.74312091,0.067409362,50.81967213
25/1/2018,91,92.25,90.5,90.75,12.4,2.2,7.321,7,6961900,3956700,2464000,541200,90.54835335,90.25546101,89.7531396,0.075507249,48.27586207
26/1/2018,90.5,91,89.25,90.5,12.36,2.19,7.321,7,3703000,1595900,1520900,586200,90.54463386,90.26505077,89.76057105,0.061048246,39.21568627
29/1/2018,90.75,91,90,90.5,12.36,2.19,7.321,7,4209000,1684600,1955400,569000,90.54120049,90.27426447,89.76792855,0.049024261,36.73469388
30/1/2018,90.5,90.5,89.75,89.75,12.26,2.17,7.321,7,2598800,855400,912300,831100,90.48033891,90.25370507,89.76775016,-0.020783981,35.29411765
31/1/2018,89.5,90.5,88.5,88.5,12.09,2.14,7.321,7,8434100,4018200,3226800,1189100,90.32800515,90.18493233,89.75513573,-0.174955294,37.5
1/2/2018,88.5,88.75,87.25,87.75,11.99,2.13,7.321,7,10901700,4459900,5506300,935500,90.12969706,90.08944478,89.73518413,-0.353580051,17.5
2/2/2018,87.5,88.25,87,87.5,11.95,2.12,7.321,7,4684600,1709700,2215000,759900,89.92741267,89.98789793,89.71294349,-0.50944184,22.58064516
5/2/2018,86.25,86.75,86,86.5,11.82,2.1,7.321,7,4081400,1850200,1501500,729700,89.66376554,89.85111762,89.6809739,-0.705522252,21.875
6/2/2018,84,87.5,83.75,87,11.88,2.11,7.321,7,9039500,4302500,3469500,1267500,89.4588605,89.73930908,89.65429755,-0.811220327,34.61538462
7/2/2018,87.25,87.75,86.5,86.75,11.85,2.1,7.321,7,3764600,1596000,1632300,536300,89.25048662,89.62208128,89.62539906,-0.904730553,33.33333333
8/2/2018,86.75,87.75,86.5,87.5,11.95,2.12,7.321,7,2679700,1306600,990400,382700,89.1158338,89.5388624,89.60425082,-0.907854171,35.71428571
9/2/2018,86.25,87.75,86.25,87.75,11.99,2.13,7.321,7,3164600,1343100,1369800,451700,89.01076966,89.46871094,89.58580056,-0.880012514,30.76923077
12/2/2018,88,88.75,87.5,88.75,12.12,2.15,7.321,7,2532900,1339000,784100,409800,88.99071046,89.44052619,89.57748413,-0.768398537,37.93103448
13/2/2018,89,89,87.5,87.5,11.95,2.12,7.321,7,2612400,612200,1304500,695700,88.87604042,89.36442713,89.55681265,-0.77191011,32.35294118
14/2/2018,87.25,87.75,86.75,87,11.88,2.11,7.321,7,2228500,674200,1273500,280800,88.73172962,89.2717045,89.53137173,-0.805750687,28.57142857
15/2/2018,86.75,88.5,86.5,88.5,12.09,2.14,7.321,7,4703100,1721300,1343700,1638100,88.71390426,89.24144157,89.52110932,-0.703423495,40
16/2/2018,89,90.25,89,89.5,12.23,2.17,7.321,7,4531100,3186700,1018000,326400,88.77437317,89.25158112,89.52089928,-0.535464316,45.45454545
19/2/2018,89.5,90,89.25,89.25,12.19,2.16,7.321,7,1656200,733900,711100,211200,88.81095985,89.25151912,89.51820377,-0.41771323,47.61904762
20/2/2018,89,90,88.25,88.5,12.09,2.14,7.321,7,5532100,2460300,2632100,439700,88.78703986,89.22204778,89.50807238,-0.3805269,50
21/2/2018,88,88,85.75,86.25,11.78,2.09,7.321,7,12150800,4252900,7284200,613700,88.59188295,89.10549688,89.47565375,-0.526543002,43.47826087
