Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,101,102,99.5,102,8.77,1.8,10.631,7,7210100,3484700,2543000,1182400,103.3390853,104.7707219,106.3469071,-1.669046687,35.29411765
24/1/2018,101.5,103,100.5,101,8.68,1.78,10.631,7,5436200,2210600,2541100,684500,103.1591557,104.6228504,106.293704,-1.605966856,34.28571429
25/1/2018,102.5,103,101.5,101.5,8.73,1.79,10.631,7,4787900,1567300,2594700,625900,103.0315283,104.5003857,106.2460055,-1.498357679,34.28571429
26/1/2018,102.5,105.5,101.5,105,9.03,1.85,10.631,7,10047100,6013100,2712000,1322000,103.1829492,104.5199784,106.2336074,-1.117770915,51.35135135
29/1/2018,106,106.5,103,105,9.03,1.85,10.631,7,8974700,3171200,4295200,1508300,103.3227224,104.5388028,106.2213327,-0.806852271,52.77777778
30/1/2018,104.5,104.5,102,103.5,8.9,1.83,10.631,7,5761700,1953000,3043900,764800,103.3363591,104.4980654,106.1942548,-0.673718266,63.33333333
31/1/2018,102,103,101.5,102.5,8.81,1.81,10.631,7,5852400,2615100,2119900,1117400,103.2720238,104.4197099,106.157496,-0.641505375,55.17241379
1/2/2018,103.5,104,101.5,104,8.94,1.84,10.631,7,4515700,1971700,1551200,992800,103.328022,104.4032507,106.1360284,-0.489298633,56.66666667
2/2/2018,104,104.5,101.5,102,8.77,1.8,10.631,7,3437000,1059700,1588700,788600,103.2258664,104.3090056,106.0948739,-0.524016443,51.51515152
5/2/2018,99.5,101.5,99.25,100.5,8.64,1.77,10.631,7,5680800,2771500,2019800,889500,103.0161844,104.1596328,106.0392035,-0.664903429,47.22222222
6/2/2018,97.75,101,96.5,100.5,8.64,1.77,10.631,7,8527400,3827300,3686400,1013700,102.8226317,104.0161178,105.9840871,-0.767707724,53.125
7/2/2018,101,101.5,99,101,8.68,1.78,10.631,7,7973400,2852900,3626800,1493700,102.6824293,103.8978387,105.9344942,-0.799617553,56.25
8/2/2018,99.5,100.5,99.25,99.25,8.53,1.75,10.631,7,4488300,1167000,2414900,906400,102.4183963,103.7155705,105.8679818,-0.955106821,46.15384615
9/2/2018,97.75,99.25,97.5,99,8.51,1.75,10.631,7,5081100,1958400,2103000,1019700,102.1554427,103.5306462,105.7996437,-1.085987508,45.45454545
12/2/2018,98.75,99.5,98.25,99,8.51,1.75,10.631,7,3290000,1074100,1431300,784600,101.9127164,103.3529738,105.7319855,-1.176153431,40
13/2/2018,99,99.25,98.25,99,8.51,1.75,10.631,7,3738300,1316800,1684600,736900,101.6886613,103.1822689,105.6650006,-1.23339279,42.85714286
14/2/2018,99,101,99,101,8.68,1.78,10.631,7,4678100,2051800,1604300,1022000,101.6356873,103.0966897,105.6185827,-1.104638524,48.38709677
15/2/2018,101.5,101.5,99.75,100,8.6,1.76,10.631,7,2328700,1143200,823700,361800,101.5098652,102.9752509,105.5626764,-1.070946282,30.76923077
16/2/2018,101,101.5,100,101,8.29,1.78,10.631,7,3052700,1404400,980500,667800,101.4706448,102.8977901,105.5172766,-0.952572629,35.71428571
19/2/2018,101,102.5,101,102,8.37,1.7,10.631,7,4457800,2846300,1008200,603300,101.5113644,102.8625826,105.4822788,-0.769202131,44.44444444
20/2/2018,102,102.5,101,102,8.37,1.7,10.631,7,2518900,1308200,639400,571300,101.5489518,102.8287559,105.4476293,-0.61676995,48
21/2/2018,102,102.5,99.75,101,8.29,1.69,10.631,7,5732000,849600,3667400,1215000,101.5067247,102.75704,105.4033743,-0.57008639,37.5
22/2/2018,101,101,99.5,99.5,8.17,1.66,10.631,7,8241300,3065900,3903200,1272200,101.3523613,102.6293129,105.3446342,-0.64667236,39.13043478
23/2/2018,99.75,101.5,99.75,100.5,8.25,1.68,10.631,7,3881800,1608600,1262800,1010400,101.286795,102.5458104,105.2964289,-0.619534047,50
26/2/2018,101,104.5,101,104.5,8.58,1.74,10.631,7,13435000,3720500,2418200,7296300,101.5339646,102.6224453,105.2885042,-0.272123301,63.33333333
27/2/2018,102,103,101,101.5,8.33,1.69,10.631,7,14637500,3173800,4429000,7034700,101.531352,102.5784279,105.2508077,-0.236150513,51.42857143
28/2/2018,101.5,103,101,103,8.45,1.72,10.631,7,6439300,1680200,1632900,3126200,101.6443249,102.5949601,105.2284116,-0.085617411,60.86956522
2/3/2018,102,103,99.25,99.75,8.19,1.66,11.135,7,6278200,1892400,3373600,1012200,101.4986076,102.483393,105.1739,-0.225961933,51.85185185
5/3/2018,100,100,96.25,98,8.04,1.64,11.135,7,6707100,2563600,3579600,563900,101.2294839,102.3075737,105.1025179,-0.472944543,47.72727273
6/3/2018,98.5,99,97.25,98,8.04,1.64,11.135,7,2454000,811600,1199100,443300,100.9810621,102.1386492,105.0318461,-0.661059755,47.72727273
7/3/2018,97,97.25,96.5,96.5,7.92,1.61,11.135,7,2474400,911400,1122800,440200,100.636365,101.9175257,104.9469521,-0.920568143,39.53488372
8/3/2018,96.75,98.25,96.5,97,7.96,1.62,11.135,7,2358000,979300,932400,446300,100.3566446,101.7246816,104.867878,-1.073509836,42.85714286
9/3/2018,97,97.75,94.75,96.5,7.92,1.61,11.135,7,5280100,2122000,2247000,911100,100.0599797,101.5197921,104.7846155,-1.220988258,39.02439024
12/3/2018,97.75,99.25,97.25,98.5,8.08,1.64,11.135,7,4020100,2000600,1359700,659800,99.93998122,101.4013689,104.722082,-1.163075475,41.86046512
13/3/2018,98.5,99.25,98.25,99,8.13,1.65,11.135,7,1948300,758400,666600,523300,99.86767498,101.3071976,104.6651459,-1.06456175,43.18181818
14/3/2018,99.25,101,99,100.5,8.25,1.68,11.135,7,4147900,2155100,1332400,660400,99.91631536,101.2755428,104.6237016,-0.855588755,48.88888889
15/3/2018,100.5,100.5,99.5,99.5,8.17,1.66,11.135,7,2461000,844200,781600,835200,99.8842911,101.2059136,104.5727195,-0.761885255,50
16/3/2018,99,99.5,98.5,99.25,8.15,1.66,11.135,7,6114400,933100,930800,4250500,99.83549948,101.1292111,104.5197572,-0.699731398,47.05882353
19/3/2018,98.75,99.25,98,98.5,8.08,1.64,11.135,7,1609500,510400,785300,313800,99.73276875,101.0261048,104.4598591,-0.70289027,33.33333333
20/3/2018,97.25,97.75,95.5,96.5,7.92,1.61,11.135,7,6569800,2355400,3209300,1005100,99.48409423,100.8486105,104.3806565,-0.856899183,35.29411765
21/3/2018,96.5,97,96,96.25,7.9,1.61,11.135,7,2578400,845500,1031400,701500,99.23531775,100.6682728,104.2997544,-0.987739224,28.57142857
22/3/2018,96.25,97.5,96,96.25,7.9,1.61,11.135,7,6859400,2785600,3002700,1071100,99.00567793,100.4950072,104.2196574,-1.078992941,36
23/3/2018,95.25,96,95.25,95.25,7.82,1.59,11.135,7,3894100,1471100,1434300,988700,98.71677962,100.2893207,104.1304071,-1.217963881,38.29787234
26/3/2018,95.25,96.25,95,95.75,7.86,1.6,11.135,7,13378500,2306600,570100,10501800,98.48856581,100.1113081,104.0470199,-1.273078278,40.81632653
27/3/2018,96.25,96.25,94.75,95.25,7.82,1.59,11.135,7,3531700,910200,1762700,858800,98.23944536,99.92066858,103.9594874,-1.341637098,44.44444444
28/3/2018,95.25,95.75,94,94.25,7.74,1.57,11.135,7,3107200,1050100,1474300,582800,97.93256495,99.69828942,103.8628756,-1.459834042,38.29787234
29/3/2018,94.75,94.75,89,90.75,7.45,1.51,11.135,7,12560500,4104500,7005700,1450300,97.38005995,99.34737611,103.7323992,-1.815004479,30.50847458
30/3/2018,91.75,92.75,88.75,91.75,7.53,1.53,11.135,7,6827000,2712200,2722800,1392000,96.94697842,99.04943979,103.6131713,-1.992816023,25.45454545
2/4/2018,92.25,92.5,91.5,92,7.55,1.54,11.135,6,2800400,1019900,1102600,677900,96.56644162,98.77299117,103.4976174,-2.089473889,24.07407407
3/4/2018,91.75,92,90,90,7.39,1.5,11.135,6,2589700,772400,1173100,644200,96.06133072,98.4289523,103.3633128,-2.300935477,12.5
4/4/2018,90.5,90.75,88,89,7.3,1.49,11.135,6,3950800,1464400,1691200,795200,95.51815144,98.05918947,103.2203942,-2.520161103,12.5
5/4/2018,89,92.25,88,91.5,7.51,1.53,11.135,6,6207400,3682400,1912800,612200,95.20906286,97.80196635,103.1037734,-2.463769088,26.15384615
9/4/2018,91.25,92.75,91,92,7.55,1.54,11.135,6,3933600,1725700,1219000,988900,94.96221187,97.57443826,102.9932881,-2.351624129,29.6875
10/4/2018,92,92.25,89.25,90.75,7.45,1.51,11.135,6,6338800,2475000,3240700,623100,94.63819558,97.30681323,102.8714643,-2.336677235,31.14754098
11/4/2018,91.5,92.25,90.75,92,7.55,1.54,11.135,6,4054400,1737800,1171600,1145000,94.43525746,97.0987029,102.7632905,-2.198622804,36.92307692
12/4/2018,92.25,94,92,93.75,7.69,1.56,11.135,6,4616400,2634800,1162100,819500,94.38254534,96.96738122,102.6736061,-1.925803831,43.05555556
17/4/2018,95,95,92.25,92.5,7.59,1.54,11.135,6,6408000,2043400,2568200,1796400,94.23773416,96.7921898,102.5723761,-1.78982539,42.46575342
18/4/2018,92.5,94.5,92.5,94,7.71,1.57,11.135,6,3945100,2361300,964200,619600,94.21944692,96.68269216,102.4870789,-1.543234584,45.45454545
19/4/2018,94.75,96.25,94.5,95.75,7.86,1.6,11.135,6,7997800,4826300,2271500,900000,94.33718177,96.646116,102.4200433,-1.1928488,51.2195122
20/4/2018,95.5,95.75,90.75,93,7.63,1.55,11.135,6,9847200,4582200,4410900,854100,94.23432164,96.50313106,102.3263115,-1.124109525,47.19101124
23/4/2018,93.25,94,92,93,7.63,1.55,11.135,6,4046200,1633200,1998300,414700,94.13937382,96.36575337,102.2335124,-1.057443602,56
24/4/2018,94,94,92.25,92.5,7.59,1.54,11.135,6,2782900,915800,1122100,745000,94.01326814,96.2141552,102.1366615,-1.033047867,52.05479452
25/4/2018,92,92.5,89.5,90.5,7.43,1.51,11.135,6,6390600,2271200,3295400,824000,93.74301674,95.99007068,102.0208738,-1.161705933,46.25
26/4/2018,91.25,93,91,92.5,7.59,1.54,11.135,6,4275300,2005400,1673400,596500,93.64740007,95.85320516,101.9261388,-1.089723439,56.25
27/4/2018,94,94,91.75,93,7.63,1.55,11.135,6,2987300,1271400,1192000,523900,93.59760007,95.74131476,101.8373215,-0.981022357,60.25641026
30/4/2018,93.25,95,93.25,94.25,7.74,1.57,11.135,6,4040500,1666600,1015200,1358700,93.64778468,95.68283183,101.7618257,-0.784962851,57.53424658
2/5/2018,93.25,93.75,92.25,93.5,7.67,1.56,11.135,6,2995100,1073600,1328900,592600,93.63641662,95.59723058,101.6796185,-0.682238589,54.05405405
3/5/2018,93,95,92.75,94,7.71,1.57,11.135,6,3782000,1514600,1507300,760100,93.66438458,95.53459409,101.6032044,-0.554095779,59.15492958
4/5/2018,93.5,95.5,93.5,94.25,7.74,1.57,11.135,6,4270800,1980100,1680700,610000,93.70943192,95.48421785,101.5300382,-0.427441489,56.71641791
7/5/2018,95.25,96.25,95.25,96.25,7.9,1.61,11.135,6,4375800,1625900,2104800,645100,93.90486023,95.51424852,101.4775005,-0.163795632,57.35294118
8/5/2018,96,96.25,94.25,96,7.88,1.6,11.135,6,5701400,1600700,3260500,840200,94.06602483,95.5332976,101.422998,0.024688109,60.9375
9/5/2018,95.75,96,94,94,7.71,1.57,11.135,6,4396700,1587000,1844500,965200,94.060946,95.47316828,101.3491373,0.01253505,50
10/5/2018,94.5,94.75,90.75,91.25,7.49,1.52,11.135,6,8720300,2944700,4962400,813200,93.84471938,95.30755384,101.2486484,-0.216502646,37.14285714
11/5/2018,90,91,89,90,7.85,1.44,11.135,6,9320800,4002300,3562500,1756000,93.54897174,95.09941448,101.1367215,-0.493195968,40.625
14/5/2018,90.75,91.5,89.75,90,7.85,1.44,11.135,6,3617400,1390500,1688900,538000,93.27597391,94.89943744,101.0259084,-0.704358018,40.625
15/5/2018,90,90.75,88,88.5,7.72,1.41,10.478,6,6606800,1978300,3712000,916500,92.9085913,94.64847911,100.9012725,-0.981429618,38.23529412
16/5/2018,88,88.25,85,85.5,7.46,1.36,10.478,6,12260700,4425700,6279400,1555600,92.33869966,94.28971522,100.748026,-1.426640363,36.11111111
17/5/2018,87.5,88.5,86.75,88,7.68,1.4,10.478,6,9382300,3294500,4281600,1806200,92.00495353,94.04305972,100.62118,-1.559763991,37.83783784
18/5/2018,87.5,89,86.75,88,7.68,1.4,10.478,6,3850200,1471500,1612000,766700,91.69688019,93.80607699,100.4955961,-1.646288042,36.11111111
21/5/2018,88,89.25,88,88.5,7.72,1.41,10.478,6,4176700,1621800,1778800,776100,91.45096633,93.59799554,100.3762369,-1.655430383,33.33333333
22/5/2018,88.5,88.75,87.75,88.5,7.72,1.41,10.478,6,2145500,650100,1037000,458400,91.22396892,93.39807414,100.2580654,-1.643727883,34.84848485
23/5/2018,88.25,88.5,87,87.5,7.63,1.4,10.478,6,3900900,1461500,1706400,733000,90.93750977,93.16677712,100.1311195,-1.695599395,30.88235294
24/5/2018,87.25,87.75,85.5,86,7.5,1.37,10.478,6,5880100,1639500,2562100,1678500,90.55770132,92.88572703,99.99051132,-1.836574518,27.39726027
25/5/2018,86.25,89.25,86,88.5,7.72,1.41,10.478,6,7712400,4239300,1899000,1574100,90.39941661,92.71373774,99.87617787,-1.72666529,29.33333333
28/5/2018,88.75,91,88.75,90,7.85,1.44,10.478,6,8615900,4668200,3102700,845000,90.36869225,92.60731665,99.77790745,-1.501218854,35
30/5/2018,89,92,88,91,7.94,1.45,10.478,6,12250900,5754700,4957500,1538700,90.41725439,92.54428463,99.69056508,-1.227707044,42.10526316
31/5/2018,91,92,90.5,92,8.02,1.47,10.478,6,10231700,2713400,3100600,4417700,90.53900405,92.52294013,99.61404205,-0.919654122,52.17391304
1/6/2018,88.5,88.75,86.25,87,7.59,1.39,10.478,6,14442900,6374600,6096700,1971600,90.26677297,92.30635424,99.48852919,-1.066682127,42.85714286
4/6/2018,87.25,89,87.25,88.75,7.74,1.42,10.478,6,4053000,2019900,1084500,948600,90.15009813,92.16688937,99.38167815,-1.030117947,47.25274725
5/6/2018,87.5,87.75,85.75,86.5,7.54,1.38,10.478,6,9516600,4438900,4089900,987800,89.86932135,91.94465842,99.25350225,-1.169218741,45.74468085
6/6/2018,86.75,88.5,86.75,88.25,7.7,1.41,10.478,6,6121400,2405100,2645400,1070900,89.74475817,91.79976985,99.14401467,-1.125275275,56.17977528
7/6/2018,88.25,89.25,88,88,7.68,1.4,10.478,6,3554200,1676500,1075400,802300,89.610546,91.65075927,99.03312895,-1.097966004,50
8/6/2018,88,88.75,87,87.5,7.63,1.4,10.478,6,3479500,1316700,1724500,438300,89.44819631,91.48798439,98.91837145,-1.103943458,48.7804878
11/6/2018,87.5,88.25,86.75,88,7.68,1.4,10.478,6,2144500,510200,639300,995000,89.33679659,91.35120069,98.80973094,-1.056160056,48.7804878
12/6/2018,89,89,87,87,7.59,1.39,10.478,6,5408000,804800,1642400,2960800,89.15704301,91.18056537,98.69222118,-1.086458986,46.51162791
13/6/2018,86.5,86.5,85.25,85.5,7.46,1.36,10.478,6,8231100,2064100,3376700,2790300,88.87573201,90.9577981,98.56095529,-1.217474284,45.45454545
14/6/2018,83.5,83.75,81.25,81.5,7.11,1.3,10.478,6,17238100,7027500,7098800,3111800,88.30836801,90.58690406,98.39119454,-1.625335566,40.81632653
15/6/2018,81.5,82.75,80.5,82,7.15,1.31,10.478,6,12644500,5703600,3730300,3210600,87.82310893,90.25016272,98.22809808,-1.886476621,35.55555556
18/6/2018,81.25,81.75,79.75,79.75,6.96,1.27,10.478,6,8446400,4101500,3353300,991600,87.20210055,89.83839164,98.04423641,-2.249063184,27.95698925
19/6/2018,78.5,79.75,77,77,6.72,1.23,10.478,6,11314600,5218900,4259900,1835800,86.41732358,89.3349253,97.83484102,-2.726883845,22
20/6/2018,78,81.75,77,81.75,7.13,1.3,10.478,6,12123400,6374800,4276600,1472000,86.05829869,89.03747725,97.67479285,-2.691251783,32.17391304
21/6/2018,81.25,81.5,78.25,78.25,6.82,1.25,10.478,6,9731000,3986400,4695000,1049600,85.45766033,88.61443892,97.48151133,-2.911867669,33.94495413
22/6/2018,79.5,80.75,79,80,6.98,1.28,10.478,6,6052300,2889500,2252500,910300,85.03784031,88.27661779,97.30756594,-2.911930057,33.94495413
25/6/2018,80,80.75,77,77,6.72,1.23,10.478,6,4749400,1409200,2236700,1103500,84.4195449,87.83439748,97.10550061,-3.118110787,33.03571429
26/6/2018,77,80,76.25,78.5,6.85,1.25,10.478,6,7016700,3842500,2329700,844500,83.96419529,87.46834268,96.92037125,-3.12445625,32.43243243
27/6/2018,79,79.5,76.75,77.25,6.74,1.23,10.478,6,7452900,2586100,3488500,1378300,83.44771873,87.06762336,96.72464617,-3.193536528,31.30434783
28/6/2018,77.75,78.75,77.25,77.5,6.76,1.24,10.478,6,7336700,3575300,3016700,744700,82.9902019,86.69242244,96.53335615,-3.191322654,32.45614035
29/6/2018,78,78,76.5,77.75,6.78,1.24,10.478,6,6127000,1408200,2617800,2101000,82.58710945,86.34173921,96.34645709,-3.133276768,31.85840708
2/7/2018,77.25,78,72.25,73.75,6.43,1.18,10.478,6,9220600,3784700,3987700,1448200,81.9073318,85.84794552,96.12161672,-3.371180683,28.8
3/7/2018,74,75.5,73.5,75.25,6.56,1.2,10.478,6,8491600,4093700,3526800,871100,81.39522935,85.43233981,95.91393894,-3.399496507,33.6
4/7/2018,74.5,74.75,71.5,72.25,6.3,1.15,10.478,6,9676200,3520800,5060600,1094800,80.69175017,84.91538531,95.67847686,-3.622256807,34.7107438
5/7/2018,71.25,71.5,69.75,70.25,6.13,1.12,10.478,6,9444600,3483600,5119300,841700,79.88853862,84.34027216,95.42545719,-3.915048987,31.49606299
6/7/2018,70.25,70.75,68.25,69,6.02,1.1,10.478,6,17466400,8985200,7205000,1276200,79.05095873,83.73869286,95.16251732,-4.199543727,32.5203252
9/7/2018,70.25,71,69.75,70.5,6.15,1.13,10.478,6,9103700,4461400,3921400,720900,78.39319267,83.21952843,94.91711914,-4.254922299,38.98305085
