Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,21.1,21.3,21,21.2,18.33,2.27,1.157,5,16111300,9670100,4922400,1518800,20.71755051,20.70623172,20.70112362,0.040409106,59.25926972
24/1/2018,21.1,21.2,20.8,21,18.16,2.25,1.157,5,11438000,4511600,4497900,2428500,20.73927739,20.71775205,20.70409751,0.056807714,51.8518597
25/1/2018,21,21,20.4,20.9,18.07,2.24,1.157,5,20033000,8332300,9766500,1934200,20.75164064,20.72489901,20.70604679,0.061031006,51.8518597
26/1/2018,20.7,21,20.6,20.9,18.07,2.24,1.157,5,7430700,2857700,3366400,1206600,20.76305287,20.7317657,20.70797666,0.063644343,58.33332671
29/1/2018,21,21,20.7,20.7,17.9,2.22,1.157,5,5759500,2656400,2020800,1082300,20.75820271,20.73052002,20.7078973,0.049012213,47.82611941
30/1/2018,20.6,20.9,20.6,20.8,17.98,2.23,1.157,5,14360800,4813900,3885600,5661300,20.76141782,20.73324469,20.70881374,0.044966835,47.82607614
31/1/2018,20.6,20.9,20.6,20.7,17.9,2.22,1.157,5,8273800,3451700,3323100,1499000,20.75669343,20.73194101,20.70872605,0.033307852,50
1/2/2018,20.7,20.8,20.7,20.8,17.98,2.23,1.157,5,8328400,3052000,3197700,2078700,20.76002465,20.73460996,20.70963424,0.03177083,52.1738842
2/2/2018,20.7,20.7,20.1,20.2,17.47,2.16,1.157,5,17674300,4330800,10893200,2450300,20.71694589,20.71364489,20.70456326,-0.017658576,50
5/2/2018,20.2,20.6,20.2,20.5,17.72,2.2,1.157,5,11319200,6675000,3199400,1444800,20.70025774,20.70526666,20.7025278,-0.032252519,55.55555556
6/2/2018,20.1,20.6,20,20.5,17.72,2.2,1.157,5,11946400,5104000,4459300,2383100,20.6848533,20.69721699,20.7005126,-0.043318969,47.82607253
7/2/2018,20.6,20.6,20.3,20.3,17.55,2.18,1.157,5,7404500,2613000,3300200,1491300,20.65524914,20.68163982,20.69652739,-0.067450079,41.66661368
8/2/2018,20.3,20.6,20.2,20.5,17.72,2.2,1.157,5,4703400,2565000,1260200,878200,20.6433069,20.67451669,20.6945719,-0.06963308,46.15382358
9/2/2018,20.5,20.5,20.1,20.3,17.55,2.18,1.157,5,5820700,1680900,2705200,1434600,20.61689862,20.65982973,20.6906458,-0.086504345,35.99996338
12/2/2018,20.3,20.5,20.3,20.4,17.64,2.19,1.157,5,3812500,1399800,1597500,815200,20.60021408,20.64964032,20.6877538,-0.090759531,33.33328035
13/2/2018,20.4,20.6,20.2,20.2,17.47,2.16,1.157,5,4401600,1036800,2362700,1002100,20.56942844,20.63200739,20.68290054,-0.109013394,33.33330684
14/2/2018,20.2,20.5,20.2,20.4,17.64,2.19,1.157,5,5080200,1833600,2385700,860900,20.55639545,20.62290905,20.6800856,-0.10611821,39.99996948
15/2/2018,20.4,20.5,19.7,20,17.29,2.14,1.157,5,17611700,5779200,9080900,2751600,20.5135958,20.59848124,20.67331858,-0.134549382,34.48272233
16/2/2018,20,20.5,20,20.1,17.38,2.15,1.157,5,7299400,4071800,1507000,1720600,20.48178077,20.57893297,20.66761392,-0.147313951,39.28568266
19/2/2018,20.2,20.3,19.8,19.9,17.21,2.13,1.157,5,11033700,3140300,6740300,1153100,20.43702838,20.55230814,20.65997597,-0.171590367,34.48274274
20/2/2018,19.9,20.5,19.9,20.4,17.64,2.19,1.157,5,11308200,4983400,4608800,1716000,20.43418001,20.54633525,20.65738914,-0.148768866,45.45452444
21/2/2018,20.4,20.7,20.2,20.7,16.41,2.22,1.157,5,13003500,8283500,2474200,2245800,20.45462776,20.55236135,20.65781314,-0.105261686,48.57145037
22/2/2018,20.7,20.7,20,20.2,16.01,2.17,1.157,5,18920000,5425300,9014400,4480300,20.43504107,20.53854329,20.65325779,-0.10986134,50
23/2/2018,20.3,20.5,20.2,20.4,16.17,2.19,1.157,5,7945000,3832900,2811700,1300400,20.43234557,20.5331102,20.65073781,-0.096258752,48.48484323
