Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
23/1/2018,4.44,4.46,4.22,4.28,15.48,2.91,0.265,6,281484400,118001500,143824100,19658800,4.287577812,4.236773045,4.182240669,0.060755365,59.37503027
24/1/2018,4.28,4.32,4.22,4.22,15.27,2.87,0.265,6,231970700,87455600,119980500,24534600,4.282379503,4.236115271,4.182616381,0.046272839,51.51514933
25/1/2018,4.22,4.28,4.18,4.18,15.12,2.84,0.265,6,121571500,29937600,69870400,21763500,4.274504143,4.233914665,4.182590346,0.031207924,50
26/1/2018,4.16,4.24,4.04,4.24,15.34,2.88,0.265,6,400274300,174435100,199676000,26163200,4.271849961,4.234153297,4.183161584,0.023835603,54.05404883
29/1/2018,4.24,4.26,4.2,4.24,15.34,2.88,0.265,6,155537500,60227200,50756400,44553900,4.269399946,4.23438257,4.183727138,0.017787936,51.42856948
30/1/2018,4.24,4.24,4.12,4.22,15.27,2.87,0.265,6,175019100,61630800,97584400,15803900,4.265599934,4.233818539,4.18408806,0.011251585,48.57143052
31/1/2018,4.18,4.24,4.16,4.22,15.27,2.87,0.265,6,91449900,52515400,33066700,5867800,4.262092231,4.233276628,4.184445391,0.006002288,43.7499674
1/2/2018,4.24,4.24,4.18,4.2,15.19,2.86,0.265,6,65854800,32516000,25734300,7604500,4.257315891,4.231971654,4.184600161,0.00022575,36.66663753
2/2/2018,4.24,4.32,4.24,4.28,15.48,2.91,0.265,6,296128400,151795500,123284800,21048100,4.259060838,4.233855127,4.185549415,0.002079197,34.48278414
5/2/2018,4.18,4.26,4.16,4.26,15.41,2.9,0.265,6,180314900,85077900,58796700,36440300,4.259133099,4.234880425,4.186290219,0.001912194,34.48278414
6/2/2018,4.16,4.24,4.1,4.2,15.19,2.86,0.265,6,271324600,119530500,118049200,33744900,4.254584385,4.233512558,4.186426633,-0.003026799,26.66668256
7/2/2018,4.26,4.26,4.16,4.16,15.05,2.83,0.265,6,191038200,72008300,85374700,33655200,4.247308651,4.230629707,4.18616368,-0.010052767,27.58622107
8/2/2018,4.22,4.24,4.16,4.18,15.12,2.84,0.265,6,148648600,73462900,57943500,17242200,4.242131049,4.228644221,4.186102348,-0.013847441,31.03448843
9/2/2018,4.14,4.22,4.14,4.2,15.19,2.86,0.265,6,126379900,72102800,42514000,11763100,4.238890185,4.227520911,4.186240632,-0.015067231,31.03448843
12/2/2018,4.2,4.26,4.18,4.26,15.41,2.9,0.265,6,90754500,48091900,32851300,9811300,4.240514034,4.22879461,4.186974558,-0.011064842,48.00000763
13/2/2018,4.28,4.34,4.24,4.26,15.41,2.9,0.265,6,165830000,80884300,67789700,17156000,4.242012972,4.230018359,4.187701181,-0.007802972,54.54549395
14/2/2018,4.28,4.28,4.2,4.2,15.19,2.86,0.265,6,67019100,25085600,33111500,8822000,4.23878119,4.228841161,4.187823556,-0.009944812,52.17390403
15/2/2018,4.22,4.24,4.18,4.24,15.34,2.88,0.265,6,52721000,26785200,20152200,5783600,4.238874927,4.229278754,4.188342722,-0.00831868,50
16/2/2018,4.24,4.26,4.22,4.22,15.27,2.87,0.265,6,35111600,16340900,15340300,3430400,4.237422994,4.228914873,4.188657718,-0.008545285,47.82609597
19/2/2018,4.24,4.24,4.2,4.22,15.27,2.87,0.265,6,40648600,18776400,16752600,5119600,4.236082747,4.228565262,4.188969579,-0.008625443,50
20/2/2018,4.22,4.3,4.2,4.28,15.48,2.91,0.265,6,105426400,49474400,45629400,10322600,4.239461014,4.230582319,4.189875357,-0.00380359,56.00001907
21/2/2018,4.3,4.3,4.22,4.22,18.51,2.87,0.265,6,52196600,13190600,26838700,12167300,4.237963996,4.230167318,4.190175102,-0.004768798,51.85184204
22/2/2018,4.24,4.26,4.16,4.18,18.33,2.37,0.265,6,56176900,14966300,35010900,6199700,4.233505214,4.228199965,4.190073856,-0.00866155,40
23/2/2018,4.2,4.24,4.16,4.2,18.42,2.38,0.265,6,68182900,39512900,22022100,6647900,4.230927875,4.227094077,4.190172622,-0.01001728,43.99998093
26/2/2018,4.22,4.24,4.2,4.22,18.51,2.39,0.265,6,62005400,17839500,37536000,6629900,4.230087254,4.226815869,4.190469409,-0.009369864,52.17390403
27/2/2018,4.24,4.24,4.12,4.12,18.07,2.34,0.265,6,141564800,46715800,74971400,19877600,4.221618994,4.222627007,4.18976822,-0.016733051,46.15386026
28/2/2018,4.12,4.18,4.1,4.12,18.07,2.34,0.265,6,78033900,39804100,25067400,13162400,4.21380214,4.218602414,4.189074008,-0.022311239,44.00002289
2/3/2018,4.12,4.12,4.06,4.08,17.89,2.32,0.219,6,71479100,16173000,46847500,8458600,4.203509662,4.213167022,4.187988693,-0.029618236,38.46158078
5/3/2018,4.06,4.08,3.98,4.04,17.72,2.29,0.219,6,79053100,24888500,46095300,8069300,4.190931993,4.206376157,4.186516169,-0.038196441,28.00001526
6/3/2018,4.06,4.1,3.92,3.92,17.19,2.22,0.219,6,110191200,38781000,54008300,17401900,4.170091076,4.195145723,4.183864267,-0.054054611,22.58066997
7/3/2018,3.92,3.92,3.8,3.84,16.84,2.18,0.219,6,101907900,35251900,52937700,13718300,4.144699448,4.181218436,4.180442731,-0.072244875,21.87503376
8/3/2018,3.86,4.06,3.84,4.04,17.72,2.29,0.219,6,113625400,59626500,36238400,17760500,4.136645641,4.175680457,4.179045291,-0.069718783,37.50002235
9/3/2018,4.04,4.04,3.92,3.94,17.28,2.24,0.219,6,75912500,34166700,30491900,11253900,4.121519058,4.166438088,4.176666731,-0.074922335,34.09093495
12/3/2018,3.98,3.98,3.88,3.94,17.28,2.24,0.219,6,47454500,19826100,19508800,8119600,4.107556058,4.157558165,4.174311839,-0.078145377,34.09093495
